Sweep Expansion, 1
P,0.001
I,0.003
D,0.0
All,1.0
t (s), Frequency Drift (GHz), Active Current (mA) 
2.066, -0.010466576318182838, 128.57357495881382, 
17.401, -0.001775579911120303, 128.56514003294893, 
32.725, -0.00953206057548794, 128.60731466227347, 
48.086, -0.010840382615260796, 128.56514003294893, 
63.407, -0.02298908727029445, 128.55670510708404, 
78.731, -0.004579127139204992, 128.5482701812191, 
94.064, -0.007195771218750701, 128.556705107084, 
109.381, -0.02196111995333006, 128.59887973640855, 
124.731, -0.021774216804791083, 128.59887973640855, 
140.058, -0.010746931040991307, 128.59044481054366, 
155.375, -0.01682128336850813, 128.5482701812191, 
170.707, -0.022802184121755466, 128.55670510708404, 
186.049, -0.023456345141641896, 128.56514003294893, 
201.382, -0.030558664786123107, 128.55670510708404, 
216.711, -0.020278991616479246, 128.556705107084, 
232.044, -0.02644679551826556, 128.556705107084, 
247.369, -0.02298908727029445, 128.57357495881382, 
262.722, -0.025045021904223218, 128.61574958813839, 
278.051, -0.02298908727029445, 128.58200988467877, 
293.372, -0.01775579911120303, 128.57357495881382, 
308.696, -0.028502730152194337, 128.56514003294893, 
324.019, -0.018877218002436906, 128.58200988467874, 
339.374, -0.018783766428167415, 128.56514003294893, 
354.701, -0.017101638091316602, 128.5482701812191, 
370.03, -0.01990518531940129, 128.58200988467874, 
385.348, -0.028783084875002803, 128.58200988467877, 
400.684, -0.022895635696024957, 128.58200988467877, 
416.006, -0.025605731349840156, 128.556705107084, 
431.336, -0.04214665999553982, 128.59044481054366, 
446.669, -0.01906412115097588, 128.58200988467877, 
461.999, -0.03644611396510095, 128.58200988467874, 
477.355, -0.03196043840016546, 128.60731466227347, 
492.689, -0.026072989221187604, 128.58200988467877, 
508.021, -0.02644679551826556, 128.59887973640855, 
523.341, -0.028222375429385868, 128.57357495881382, 
538.699, -0.02925034274635025, 128.59887973640855, 
554.039, -0.029343794320619742, 128.59044481054366, 
569.369, -0.029156891172080764, 128.60731466227347, 
584.693, -0.04298772416396523, 128.58200988467874, 
600.047, -0.04345498203531267, 128.59044481054366, 
615.379, -0.03747408128206534, 128.56514003294893, 
630.724, -0.04392223990666012, 128.57357495881382, 
646.055, -0.029997955340506168, 128.56514003294893, 
661.387, -0.028689633300733312, 128.58200988467874, 
676.727, -0.039343112767455134, 128.59044481054366, 
692.063, -0.039903822213072065, 128.59887973640855, 
707.395, -0.042613917866887265, 128.61574958813839, 
722.812, -0.036633017113639935, 128.59887973640855, 
738.136, -0.04270736944115676, 128.59044481054366, 
753.461, -0.037193726559256866, 128.59887973640855, 
768.786, -0.045043658797893994, 128.59044481054366, 
784.11, -0.025418828201301175, 128.57357495881382, 
799.455, -0.041585950549922875, 128.57357495881382, 
814.802, -0.028783084875002803, 128.59887973640855, 
830.13, -0.0431746273125042, 128.59044481054366, 
845.477, -0.030184858489045147, 128.59887973640855, 
860.818, -0.03859550017329921, 128.60731466227347, 
876.155, -0.03597885609375351, 128.59887973640855, 
891.485, -0.04401569148092961, 128.57357495881382, 
906.805, -0.04345498203531267, 128.60731466227347, 
