Sweep Expansion, 1
P,0.001
I,0.003
D,0.0
All,1.0
t (s), Frequency Drift (GHz), Active Current (mA) 
2.036, 0.0009345157426948963, 166.7163097199341
17.376, -0.003738062970779585, 166.73317957166392
32.735, -0.0028035472280846883, 166.75004942339373
48.059, 0.0018690314853897925, 166.7331795716639
63.383, -0.009345157426948962, 166.75848434925865
78.821, -0.008410641684254065, 166.74161449752881
94.149, -0.0056070944561693765, 166.7331795716639
109.478, -0.009345157426948962, 166.73317957166392
124.797, -0.00747612594155917, 166.72474464579898
140.131, -0.009345157426948962, 166.74161449752881
155.465, -0.011214188912338753, 166.7078747940692
170.784, -0.01027967316964386, 166.7500494233937
186.121, -0.009345157426948962, 166.75004942339373
201.438, -0.011214188912338753, 166.7163097199341
216.759, -0.014017736140423443, 166.7163097199341
232.096, -0.01027967316964386, 166.73317957166392
247.43, -0.011214188912338753, 166.7500494233937
262.762, -0.011214188912338753, 166.73317957166392
278.095, -0.01682128336850813, 166.7331795716639
293.465, -0.01495225188311834, 166.74161449752881
308.792, -0.015886767625813234, 166.7500494233937
324.307, -0.015886767625813234, 166.73317957166392
339.634, -0.011214188912338753, 166.7331795716639
354.954, -0.01775579911120303, 166.74161449752881
370.288, -0.01495225188311834, 166.7078747940692
385.641, -0.021493862081982614, 166.76691927512354
400.962, -0.01962483059659282, 166.69943986820428
416.288, -0.021493862081982614, 166.74161449752881
431.62, -0.01962483059659282, 166.73317957166392
446.949, -0.01775579911120303, 166.72474464579898
462.286, -0.015886767625813234, 166.7500494233937
477.607, -0.021493862081982614, 166.7500494233937
492.934, -0.0242974093100673, 166.7331795716639
508.385, -0.023362893567372405, 166.7163097199341
523.718, -0.025231925052762196, 166.75848434925865
539.19, -0.02616644079545709, 166.7500494233937
554.518, -0.021493862081982614, 166.74161449752881
569.855, -0.025231925052762196, 166.74161449752881
585.184, -0.023362893567372405, 166.76691927512354
600.545, -0.0242974093100673, 166.7331795716639
615.974, -0.025231925052762196, 166.74161449752881
631.293, -0.0242974093100673, 166.75848434925865
646.641, -0.0242974093100673, 166.74161449752881
661.968, -0.0242974093100673, 166.73317957166392
677.288, -0.021493862081982614, 166.74161449752881
692.61, -0.023362893567372405, 166.724744645799
707.94, -0.025231925052762196, 166.73317957166392
723.283, -0.022428377824677506, 166.724744645799
738.612, -0.0242974093100673, 166.7500494233937
753.94, -0.0242974093100673, 166.69943986820428
769.258, -0.02990450376623668, 166.72474464579898
784.578, -0.02616644079545709, 166.75848434925865
799.945, -0.02896998802354178, 166.75848434925865
815.359, -0.02710095653815199, 166.75848434925865
830.775, -0.02710095653815199, 166.74161449752881
846.095, -0.025231925052762196, 166.73317957166392
861.549, -0.02990450376623668, 166.75004942339373
876.871, -0.02990450376623668, 166.72474464579898
892.208, -0.02896998802354178, 166.7500494233937
907.536, -0.028035472280846886, 166.7078747940692
922.908, -0.028035472280846886, 166.74161449752881
938.231, -0.02616644079545709, 166.7078747940692
953.559, -0.02710095653815199, 166.74161449752881
968.879, -0.02896998802354178, 166.75848434925865
984.2, -0.02616644079545709, 166.73317957166392
999.552, -0.02896998802354178, 166.72474464579898
1014.878, -0.018690314853897924, 166.73317957166392
1030.212, -0.02990450376623668, 166.72474464579898
1045.545, -0.03177353525162647, 166.7331795716639
1060.911, -0.03177353525162647, 166.74161449752881
1076.232, -0.030839019508931576, 166.7163097199341
1091.551, -0.03270805099432137, 166.7163097199341
1106.875, -0.03270805099432137, 166.76691927512354
1122.199, -0.030839019508931576, 166.76691927512354
1137.553, -0.03177353525162647, 166.75004942339373
1152.879, -0.03177353525162647, 166.7163097199341
1168.211, -0.03270805099432137, 166.73317957166392
1183.533, -0.03270805099432137, 166.7163097199341
1198.851, -0.03270805099432137, 166.75848434925865
1214.181, -0.03364256673701626, 166.74161449752881
1229.503, -0.03364256673701626, 166.72474464579898
1244.844, -0.03457708247971116, 166.72474464579898
1260.162, -0.03364256673701626, 166.7500494233937
1275.534, -0.03270805099432137, 166.74161449752881
1290.867, -0.036446113965100946, 166.74161449752881
1306.25, -0.03551159822240606, 166.75848434925865
1321.718, -0.036446113965100946, 166.74161449752881
1337.05, -0.036446113965100946, 166.72474464579898
1352.368, -0.03551159822240606, 166.75848434925865
1367.743, -0.036446113965100946, 166.7163097199341
1383.065, -0.03551159822240606, 166.74161449752881
1398.553, -0.03270805099432137, 166.75848434925865
1413.938, -0.03551159822240606, 166.7500494233937
1429.366, -0.038315145450490744, 166.73317957166392
1444.7, -0.036446113965100946, 166.74161449752881
1460.033, -0.03270805099432137, 166.7078747940692
1475.364, -0.02990450376623668, 166.7331795716639
1490.725, -0.02990450376623668, 166.72474464579898
1506.052, -0.03738062970779585, 166.75848434925865
1521.377, -0.03738062970779585, 166.74161449752881
1536.703, -0.03738062970779585, 166.73317957166392
1552.035, -0.03924966119318564, 166.72474464579898
1567.374, -0.038315145450490744, 166.75848434925865
1582.753, -0.040184176935880535, 166.74161449752881
1598.079, -0.03738062970779585, 166.73317957166392
1613.411, -0.03924966119318564, 166.724744645799
1628.753, -0.040184176935880535, 166.73317957166392
1644.081, -0.03738062970779585, 166.75004942339373
1659.413, -0.04111869267857544, 166.78378912685338
1674.744, -0.040184176935880535, 166.73317957166392
1690.104, -0.03924966119318564, 166.724744645799
1705.549, -0.04111869267857544, 166.75004942339373
1720.908, -0.03924966119318564, 166.7163097199341
1736.24, -0.040184176935880535, 166.74161449752881
1751.57, -0.04298772416396523, 166.74161449752881
1766.897, -0.043922239906660124, 166.72474464579898
1782.229, -0.042053208421270326, 166.75848434925865
1797.559, -0.04485675564935501, 166.75848434925865
1812.892, -0.04485675564935501, 166.72474464579898
1828.23, -0.04298772416396523, 166.74161449752881
1843.693, -0.04485675564935501, 166.75848434925865
1859.021, -0.04485675564935501, 166.73317957166392
1874.345, -0.04485675564935501, 166.72474464579898
1889.814, -0.045791271392049915, 166.74161449752881
1905.133, -0.047660302877439706, 166.7078747940692
1920.465, -0.04672578713474481, 166.7163097199341
1935.817, -0.04672578713474481, 166.724744645799
1951.154, -0.047660302877439706, 166.7163097199341
1966.476, -0.047660302877439706, 166.724744645799
1981.796, -0.0485948186201346, 166.74161449752881
1997.126, -0.0495293343628295, 166.7163097199341
2012.464, -0.0495293343628295, 166.7500494233937
2027.788, -0.03738062970779585, 166.73317957166392
2043.111, -0.0485948186201346, 166.724744645799
