"Piezo Voltage (V)";"(none) ()";"Fine In 1 (V)";
62.251835;0.300185;0.232264;
62.255505;0.300346;0.232159;
62.259212;0.300357;0.232279;
62.262905;0.299773;0.232550;
62.266598;0.298433;0.232810;
62.270298;0.296863;0.233162;
62.273991;0.296300;0.233790;
62.277676;0.297785;0.234237;
62.281368;0.297755;0.234787;
62.285061;0.296139;0.235442;
62.288761;0.295058;0.236023;
62.292431;0.296957;0.236809;
62.296139;0.298274;0.237495;
62.299831;0.297793;0.238081;
62.303532;0.296800;0.238734;
62.307224;0.298015;0.239330;
62.310917;0.299288;0.239854;
62.314617;0.298347;0.240381;
62.318302;0.296208;0.240741;
62.321995;0.296425;0.241051;
62.325687;0.297333;0.241413;
62.329357;0.295532;0.241607;
62.333080;0.293652;0.241722;
62.336765;0.294940;0.241817;
62.340458;0.296278;0.241949;
62.344151;0.294969;0.241954;
62.347843;0.294635;0.241981;
62.351543;0.296651;0.241994;
62.355228;0.297718;0.242015;
62.358921;0.296310;0.241996;
62.362614;0.295423;0.241974;
62.366291;0.296794;0.242099;
62.370007;0.296330;0.242083;
62.373692;0.293681;0.242244;
62.377384;0.293275;0.242489;
62.381077;0.294849;0.242695;
62.384777;0.293768;0.243023;
62.388470;0.292188;0.243282;
62.392155;0.294097;0.243835;
62.395855;0.295774;0.244351;
62.399548;0.294728;0.244766;
62.403217;0.294096;0.245245;
62.406933;0.295883;0.245936;
62.410618;0.296066;0.246623;
62.414318;0.293814;0.247134;
62.418011;0.292978;0.247729;
62.421703;0.294391;0.248254;
62.425396;0.293004;0.248726;
62.429096;0.290748;0.249145;
62.432781;0.292299;0.249587;
62.436474;0.293615;0.249930;
62.440144;0.292505;0.250122;
62.443859;0.292371;0.250310;
62.447559;0.294716;0.250361;
62.451244;0.294899;0.250388;
62.454937;0.292908;0.250442;
62.458630;0.292889;0.250410;
62.462322;0.294183;0.250217;
62.466022;0.292282;0.249978;
62.469707;0.289991;0.249798;
62.473400;0.291538;0.249666;
62.477085;0.292061;0.249526;
62.480793;0.290047;0.249267;
62.484486;0.290698;0.249051;
62.488171;0.293200;0.248955;
62.491863;0.292946;0.248912;
62.495564;0.291585;0.248876;
62.499256;0.292919;0.248987;
62.502949;0.293719;0.249121;
62.506634;0.291351;0.249339;
62.510319;0.289800;0.249708;
62.514027;0.291553;0.250026;
62.517719;0.290745;0.250432;
62.521412;0.288276;0.250944;
62.525097;0.289907;0.251568;
62.528797;0.291628;0.252012;
62.532490;0.290200;0.252503;
62.536182;0.290178;0.252882;
62.539875;0.292676;0.253224;
62.543560;0.292669;0.253550;
62.547245;0.290293;0.253816;
62.550953;0.290494;0.254090;
62.554646;0.291596;0.254068;
62.558346;0.289097;0.253991;
62.562038;0.287424;0.253788;
62.565723;0.289822;0.253628;
62.569416;0.289550;0.253451;
62.573116;0.287639;0.253150;
62.576809;0.289555;0.252825;
62.580502;0.291652;0.252524;
62.584171;0.290262;0.252146;
62.587879;0.289387;0.251740;
62.591579;0.291280;0.251450;
62.595272;0.290811;0.251233;
62.598965;0.287709;0.251061;
62.602650;0.288070;0.251012;
62.606342;0.289358;0.251022;
62.610043;0.286925;0.251099;
62.613735;0.286259;0.251253;
62.617428;0.289256;0.251566;
62.621105;0.289289;0.251970;
62.624813;0.287728;0.252524;
62.628506;0.289453;0.253069;
62.632198;0.290926;0.253530;
62.635891;0.288783;0.254111;
62.639591;0.287356;0.254575;
62.643276;0.289209;0.255041;
62.646969;0.287856;0.255531;
62.650661;0.284849;0.255926;
62.654362;0.286610;0.256168;
62.658031;0.287986;0.256388;
62.661739;0.285941;0.256466;
62.665432;0.286551;0.256425;
62.669125;0.289282;0.256347;
62.672825;0.288555;0.256165;
62.676517;0.286942;0.256022;
62.680202;0.288531;0.255900;
62.683895;0.288859;0.255640;
62.687588;0.285390;0.255213;
62.691288;0.284872;0.254944;
62.694958;0.287046;0.254690;
62.698666;0.285109;0.254497;
62.702366;0.283645;0.254334;
62.706059;0.286667;0.254099;
62.709751;0.287327;0.253905;
62.713444;0.285540;0.253934;
62.717144;0.286778;0.254075;
62.720829;0.288573;0.254262;
62.724522;0.286367;0.254389;
62.728214;0.284485;0.254689;
62.731884;0.286295;0.255029;
62.735607;0.285268;0.255592;
62.739292;0.282208;0.255956;
62.742985;0.283963;0.256367;
