Timestamp,Instrument Wavelength,Instrument Intensity,Instrument Wavelength
0,0,0.339,384229.0606
10.012,-0.0015,0.356,384229.0591
20.017,0.0012,0.347,384229.0618
30.017,-0.0056,0.347,384229.055
40.018,-0.0001,0.341,384229.0605
50.026,-0.0031,0.344,384229.0575
60.042,-0.0001,0.341,384229.0605
70.052,-0.0011,0.346,384229.0595
80.057,0.0085,0.343,384229.0691
90.06,9.99999E-05,0.341,384229.0607
100.062,0.0058,0.344,384229.0664
110.064,-0.0028,0.352,384229.0578
120.066,0.0063,0.343,384229.0669
130.07,0.0009,0.349,384229.0615
140.071,-0.0003,0.339,384229.0603
150.082,-0.005,0.348,384229.0556
160.087,-0.0069,0.345,384229.0537
170.092,-0.0027,0.341,384229.0579
180.103,0.0002,0.354,384229.0608
190.108,-0.0009,0.35,384229.0597
200.113,-0.0039,0.353,384229.0567
210.116,-0.0005,0.35,384229.0601
220.126,-0.0001,0.342,384229.0605
230.141,-0.001,0.341,384229.0596
240.147,-0.0043,0.347,384229.0563
250.158,0.0026,0.344,384229.0632
260.161,0.0014,0.344,384229.062
270.166,-0.0033,0.354,384229.0573
280.17,-0.0011,0.339,384229.0595
290.171,-0.0031,0.339,384229.0575
300.173,-0.0015,0.341,384229.0591
310.182,-0.012,0.346,384229.0486
320.192,-0.0062,0.342,384229.0544
330.204,-0.0065,0.344,384229.0541
340.21,-0.0061,0.342,384229.0545
350.211,-0.0093,0.341,384229.0513
360.216,-0.0066,0.34,384229.054
370.225,-0.0158,0.35,384229.0448
380.226,-0.0122,0.35,384229.0484
390.237,-0.0167,0.351,384229.0439
400.252,-0.0009,0.344,384229.0597
410.26,-0.0045,0.343,384229.0561
420.262,-0.0035,0.352,384229.0571
430.265,-0.0006,0.353,384229.06
440.275,-0.0071,0.351,384229.0535
450.278,-0.0015,0.346,384229.0591
460.292,-0.0052,0.353,384229.0554
470.3,-0.007,0.354,384229.0536
480.304,-0.0044,0.346,384229.0562
490.311,-0.0033,0.352,384229.0573
500.316,-0.0034,0.343,384229.0572
510.316,-0.0091,0.345,384229.0515
520.321,-0.0049,0.349,384229.0557
530.327,-0.0102,0.35,384229.0504
540.328,-0.0068,0.36,384229.0538
550.338,-0.0089,0.356,384229.0517
560.35,-0.0034,0.35,384229.0572
570.35,-0.0049,0.348,384229.0557
580.352,-0.0033,0.347,384229.0573
590.356,-0.0037,0.35,384229.0569
