Timestamp,Instrument Wavelength,Instrument Intensity,
0,384229.2802,0.362, 
10.01,384229.331,0.365, 
20.015,384229.3172,0.359, 
30.03,384229.3178,0.353, 
40.037,384229.3233,0.355, 
50.04,384229.3168,0.355, 
60.05,384229.3146,0.344, 
70.064,384229.3128,0.348, 
80.069,384229.3137,0.352, 
90.07,384229.3111,0.354, 
100.072,384229.3105,0.353, 
110.077,384229.311,0.359, 
120.081,384229.3155,0.356, 
130.085,384229.3143,0.357, 
140.089,384229.3172,0.358, 
150.093,384229.3164,0.355, 
160.101,384229.3195,0.351, 
170.101,384229.3167,0.348, 
180.115,384229.3184,0.356, 
190.119,384229.3189,0.352, 
200.123,384229.3241,0.347, 
210.125,384229.3192,0.35, 
220.137,384229.3177,0.355, 
230.145,384229.3173,0.362, 
240.146,384229.32,0.358, 
250.147,384229.3326,0.344, 
260.147,384229.3281,0.347, 
270.156,384229.3388,0.337, 
280.167,384229.3296,0.348, 
290.181,384229.3366,0.351, 
300.186,384229.3345,0.348, 
310.194,384229.3416,0.342, 
320.199,384229.3371,0.346, 
330.214,384229.3446,0.345, 
340.22,384229.3433,0.343, 
350.236,384229.3316,0.352, 
360.241,384229.3396,0.338, 
370.244,384229.3406,0.343, 
380.244,384229.3393,0.339, 
390.259,384229.3416,0.349, 
400.264,384229.3378,0.353, 
410.279,384229.3399,0.346, 
420.282,384229.3415,0.346, 
430.284,384229.3393,0.339, 
440.288,384229.3423,0.35, 
450.29,384229.3381,0.35, 
460.291,384229.3431,0.354, 
470.301,384229.3467,0.352, 
480.309,384229.3463,0.355, 
490.313,384229.3506,0.35, 
500.314,384229.3495,0.342, 
510.316,384229.346,0.354, 
520.327,384229.3393,0.352, 
530.336,384229.3407,0.351, 
540.338,384229.3466,0.351, 
550.338,384229.3425,0.351, 
560.343,384229.345,0.341, 
570.356,384229.3506,0.339, 
580.369,384229.3444,0.352, 
590.378,384229.3548,0.34, 
600.38,384229.3558,0.355, 
