Timestamp,Instrument Wavelength,Instrument Intensity
0.0, 384228.8150, 0.214, 
5.004, 384228.8155, 0.216, 
10.006, 384228.8232, 0.217, 
15.012, 384228.8177, 0.212, 
20.016, 384228.8242, 0.216, 
25.016, 384228.8216, 0.216, 
30.019, 384228.8288, 0.216, 
35.021, 384228.8222, 0.214, 
40.036, 384228.8233, 0.213, 
45.047, 384228.8233, 0.219, 
50.049, 384228.8265, 0.212, 
55.057, 384228.8223, 0.216, 
60.065, 384228.8180, 0.211, 
65.074, 384228.8221, 0.216, 
70.089, 384228.8108, 0.220, 
75.091, 384228.8106, 0.218, 
80.095, 384228.8129, 0.219, 
85.098, 384228.8179, 0.224, 
90.106, 384228.8044, 0.225, 
95.107, 384228.8127, 0.227, 
100.121, 384228.8092, 0.225, 
105.128, 384228.8160, 0.226, 
110.132, 384228.8120, 0.233, 
115.132, 384228.8089, 0.237, 
120.138, 384228.7933, 0.239, 
125.143, 384228.7896, 0.240, 
130.158, 384228.7918, 0.236, 
135.163, 384228.8026, 0.228, 
140.165, 384228.7981, 0.227, 
145.176, 384228.8061, 0.223, 
150.176, 384228.8038, 0.221, 
155.182, 384228.8071, 0.220, 
160.197, 384228.8037, 0.220, 
165.206, 384228.8083, 0.221, 
170.207, 384228.7954, 0.227, 
175.207, 384228.8106, 0.220, 
180.212, 384228.8097, 0.224, 
185.225, 384228.7961, 0.231, 
190.225, 384228.8155, 0.231, 
195.228, 384228.7968, 0.233, 
200.238, 384228.8142, 0.234, 
205.248, 384228.8102, 0.232, 
210.254, 384228.8093, 0.236, 
215.269, 384228.7963, 0.238, 
220.275, 384228.8015, 0.233, 
225.279, 384228.8111, 0.238, 
230.289, 384228.8117, 0.236, 
235.301, 384228.8022, 0.240, 
240.316, 384228.8019, 0.243, 
245.32, 384228.7946, 0.244, 
250.326, 384228.8066, 0.239, 
255.335, 384228.8096, 0.239, 
260.341, 384228.8034, 0.244, 
265.344, 384228.8015, 0.243, 
270.356, 384228.8054, 0.242, 
275.359, 384228.8005, 0.245, 
