Timestamp,Instrument Wavelength,Instrument Intensity
2021-07-28T11:42:19.992,384228.8150,0.214
2021-07-28T11:42:24.996,384228.8155,0.216
2021-07-28T11:42:29.998,384228.8232,0.217
2021-07-28T11:42:35.004,384228.8177,0.212
2021-07-28T11:42:40.008,384228.8242,0.216
2021-07-28T11:42:45.008,384228.8216,0.216
2021-07-28T11:42:50.011,384228.8288,0.216
2021-07-28T11:42:55.013,384228.8222,0.214
2021-07-28T11:43:00.028,384228.8233,0.213
2021-07-28T11:43:05.039,384228.8233,0.219
2021-07-28T11:43:10.041,384228.8265,0.212
2021-07-28T11:43:15.049,384228.8223,0.216
2021-07-28T11:43:20.057,384228.8180,0.211
2021-07-28T11:43:25.066,384228.8221,0.216
2021-07-28T11:43:30.081,384228.8108,0.220
2021-07-28T11:43:35.083,384228.8106,0.218
2021-07-28T11:43:40.087,384228.8129,0.219
2021-07-28T11:43:45.090,384228.8179,0.224
2021-07-28T11:43:50.098,384228.8044,0.225
2021-07-28T11:43:55.099,384228.8127,0.227
2021-07-28T11:44:00.113,384228.8092,0.225
2021-07-28T11:44:05.120,384228.8160,0.226
2021-07-28T11:44:10.124,384228.8120,0.233
2021-07-28T11:44:15.124,384228.8089,0.237
2021-07-28T11:44:20.130,384228.7933,0.239
2021-07-28T11:44:25.135,384228.7896,0.240
2021-07-28T11:44:30.150,384228.7918,0.236
2021-07-28T11:44:35.155,384228.8026,0.228
2021-07-28T11:44:40.157,384228.7981,0.227
2021-07-28T11:44:45.168,384228.8061,0.223
2021-07-28T11:44:50.168,384228.8038,0.221
2021-07-28T11:44:55.174,384228.8071,0.220
2021-07-28T11:45:00.189,384228.8037,0.220
2021-07-28T11:45:05.198,384228.8083,0.221
2021-07-28T11:45:10.199,384228.7954,0.227
2021-07-28T11:45:15.199,384228.8106,0.220
2021-07-28T11:45:20.204,384228.8097,0.224
2021-07-28T11:45:25.217,384228.7961,0.231
2021-07-28T11:45:30.217,384228.8155,0.231
2021-07-28T11:45:35.220,384228.7968,0.233
2021-07-28T11:45:40.230,384228.8142,0.234
2021-07-28T11:45:45.240,384228.8102,0.232
2021-07-28T11:45:50.246,384228.8093,0.236
2021-07-28T11:45:55.261,384228.7963,0.238
2021-07-28T11:46:00.267,384228.8015,0.233
2021-07-28T11:46:05.271,384228.8111,0.238
