"Piezo Voltage (V)";"Fine In 1 (V)";"Fine In 2 (V)";
45.459610;0.284053;0.451666;
45.488441;0.282460;0.451119;
45.517281;0.283300;0.451357;
45.546127;0.284637;0.451697;
45.574947;0.285513;0.452329;
45.603798;0.285435;0.453381;
45.632645;0.284750;0.454048;
45.661465;0.283470;0.452257;
45.690315;0.283058;0.450336;
45.719162;0.284402;0.451376;
45.747982;0.285438;0.453546;
45.776833;0.284072;0.453110;
45.805679;0.282584;0.450535;
45.834511;0.283258;0.450241;
45.863358;0.285258;0.452789;
45.892178;0.284429;0.453063;
45.921028;0.282394;0.450867;
45.949875;0.282596;0.449728;
45.978695;0.285026;0.451996;
46.007545;0.284951;0.453044;
46.036392;0.282356;0.450945;
46.065212;0.281927;0.449142;
46.094063;0.284518;0.451256;
46.122910;0.284984;0.452712;
46.151730;0.282986;0.450951;
46.180580;0.281776;0.448596;
46.209427;0.283665;0.450470;
46.238247;0.284182;0.452336;
46.267097;0.282627;0.450631;
46.295925;0.282402;0.448388;
46.324776;0.284004;0.450048;
46.353622;0.283443;0.451762;
46.382442;0.281442;0.449969;
46.411293;0.281820;0.447977;
46.440140;0.284450;0.449755;
46.468960;0.283905;0.451319;
46.497810;0.281146;0.449405;
46.526657;0.280956;0.447527;
46.555477;0.283414;0.449270;
46.584328;0.283397;0.450550;
46.613174;0.281563;0.448940;
46.641994;0.281839;0.447632;
46.670845;0.283198;0.449452;
46.699665;0.281824;0.449604;
46.728512;0.280428;0.447569;
46.757370;0.282328;0.447626;
46.786190;0.283904;0.449813;
46.815041;0.281907;0.449226;
46.843887;0.280062;0.446610;
46.872707;0.281842;0.447320;
46.901558;0.282822;0.449412;
46.930405;0.281218;0.448462;
46.959225;0.280495;0.445988;
46.988075;0.282474;0.447171;
47.016895;0.282494;0.449045;
47.045742;0.280428;0.447693;
47.074593;0.280265;0.445711;
47.103413;0.282212;0.447168;
47.132259;0.281432;0.447879;
47.161110;0.279780;0.446182;
47.189930;0.280703;0.445774;
47.218788;0.282608;0.447883;
47.247635;0.281116;0.447539;
47.276455;0.279363;0.444708;
47.305305;0.280556;0.444869;
47.334152;0.281621;0.447479;
47.362972;0.279899;0.446925;
47.391823;0.279344;0.444464;
47.420643;0.281502;0.445380;
47.449490;0.281619;0.446710;
47.478340;0.279268;0.445456;
47.507160;0.278918;0.443893;
47.536018;0.280792;0.445738;
47.564857;0.280334;0.446167;
47.593678;0.278862;0.443819;
47.622524;0.280184;0.443741;
47.651375;0.281428;0.446088;
47.680202;0.279339;0.445701;
47.709053;0.277561;0.442843;
47.737900;0.279374;0.443270;
47.766720;0.280768;0.445477;
47.795570;0.279273;0.444631;
47.824390;0.278692;0.442581;
47.853237;0.280326;0.444025;
47.882088;0.279082;0.444472;
47.910908;0.277232;0.442610;
47.939774;0.278631;0.442172;
47.968605;0.280785;0.444491;
47.997433;0.279319;0.444147;
48.026272;0.277504;0.441425;
48.055122;0.278759;0.442183;
48.083942;0.279429;0.444098;
48.112789;0.277695;0.442820;
48.141640;0.277549;0.440678;
48.170486;0.279593;0.442318;
48.199318;0.278862;0.443659;
48.228146;0.276726;0.441553;
48.256985;0.277624;0.440529;
48.285835;0.279150;0.442257;
48.314655;0.277910;0.442271;
48.343502;0.276517;0.440421;
48.372353;0.278346;0.441169;
48.401192;0.278706;0.442331;
48.430019;0.276715;0.440717;
48.458889;0.276348;0.439230;
48.487690;0.278579;0.441625;
48.516548;0.277888;0.442044;
48.545387;0.276173;0.439369;
48.574226;0.277209;0.439226;
48.603054;0.278077;0.441595;
48.631905;0.276427;0.440898;
48.660732;0.275916;0.438480;
48.689590;0.278237;0.439777;
48.718403;0.277827;0.441394;
48.747261;0.275211;0.439567;
48.776100;0.275650;0.437947;
48.804939;0.278256;0.440150;
48.833767;0.277231;0.440683;
48.862637;0.275195;0.438368;
48.891438;0.276143;0.438449;
48.920303;0.277053;0.439928;
48.949104;0.276144;0.439355;
48.977974;0.275788;0.437674;
49.006802;0.277196;0.439159;
49.035641;0.275591;0.439155;
49.064480;0.274806;0.437702;
49.093349;0.276576;0.437900;
49.122150;0.277129;0.439306;
49.151016;0.274845;0.438315;
49.179848;0.274235;0.436618;
49.208687;0.277147;0.438389;
49.237514;0.276373;0.438970;
49.266384;0.274239;0.437150;
49.295185;0.275097;0.436831;
49.324051;0.276869;0.438623;
49.352852;0.275186;0.437969;
49.381721;0.274005;0.436149;
49.410549;0.276126;0.437427;
49.439388;0.275960;0.438231;
49.468220;0.274075;0.436538;
49.497086;0.274730;0.436080;
49.525898;0.276526;0.437836;
49.554764;0.274678;0.437234;
49.583595;0.273327;0.435365;
49.612434;0.275727;0.436781;
