"Piezo Voltage (V)";"Fine In 1 (V)";"Fine In 2 (V)";
40.263515;0.296283;0.471903;
40.299137;0.293852;0.470096;
40.334717;0.293947;0.469759;
40.370338;0.295652;0.470617;
40.405956;0.296821;0.472345;
40.441540;0.296179;0.473281;
40.477158;0.293676;0.470780;
40.512741;0.293917;0.469025;
40.548359;0.296109;0.470919;
40.583981;0.295768;0.472490;
40.619560;0.293413;0.470210;
40.655182;0.294305;0.469151;
40.690800;0.296431;0.471144;
40.726383;0.294719;0.471506;
40.762001;0.292479;0.468485;
40.797623;0.295201;0.469841;
40.833202;0.296109;0.471531;
40.868824;0.293089;0.469344;
40.904404;0.293467;0.468491;
40.940025;0.295277;0.470622;
40.975643;0.293994;0.470111;
41.011227;0.293201;0.467783;
41.046844;0.295327;0.469947;
41.082466;0.293664;0.470259;
41.118046;0.291705;0.467029;
41.153667;0.295180;0.469017;
41.189285;0.295165;0.470622;
41.224869;0.291383;0.467168;
41.260487;0.292677;0.467029;
41.296108;0.295186;0.470176;
41.331688;0.292430;0.467893;
41.367310;0.292365;0.466139;
41.402889;0.294203;0.469068;
41.438511;0.292156;0.468195;
41.474129;0.292167;0.465776;
41.509712;0.294399;0.468207;
41.545330;0.292099;0.468206;
41.580952;0.291066;0.465299;
41.616531;0.294230;0.467358;
41.652153;0.292571;0.467943;
41.687771;0.290551;0.465078;
41.723354;0.293582;0.466654;
41.758972;0.292639;0.467438;
41.794594;0.290427;0.464763;
41.830173;0.293148;0.466249;
41.865795;0.292509;0.467063;
41.901375;0.289923;0.464044;
41.936996;0.292749;0.465889;
41.972614;0.292698;0.467097;
42.008198;0.289628;0.463491;
42.043816;0.291996;0.464847;
42.079437;0.292619;0.466871;
42.115017;0.289933;0.463417;
42.150639;0.291539;0.463753;
42.186256;0.291909;0.466293;
42.221840;0.289545;0.463244;
42.257458;0.291668;0.463240;
42.293079;0.291829;0.465740;
42.328659;0.288445;0.462984;
42.364281;0.291244;0.462712;
42.399860;0.292304;0.465305;
42.435482;0.288653;0.462812;
42.471100;0.289849;0.462039;
42.506683;0.291672;0.464443;
42.542301;0.289234;0.462488;
42.577923;0.289970;0.461851;
42.613503;0.290609;0.463736;
42.649124;0.288611;0.461716;
42.684742;0.290572;0.461747;
42.720325;0.290865;0.463730;
42.755943;0.287549;0.460800;
42.791565;0.289940;0.461102;
42.827145;0.291095;0.463623;
42.862766;0.287734;0.460526;
42.898346;0.289342;0.460316;
42.933968;0.290526;0.463163;
42.969585;0.287781;0.460306;
43.005169;0.289353;0.459928;
43.040787;0.290168;0.462650;
43.076408;0.287384;0.459941;
43.111988;0.289178;0.459607;
43.147610;0.289743;0.462092;
43.183220;0.287359;0.459729;
43.218811;0.289144;0.459524;
43.254429;0.289172;0.461294;
43.290020;0.286874;0.458930;
43.325630;0.289497;0.459778;
43.361252;0.289264;0.461245;
43.396832;0.286053;0.457645;
43.432453;0.289051;0.459519;
43.468063;0.289249;0.461331;
43.503654;0.286549;0.457431;
43.539272;0.288580;0.458746;
43.574883;0.287767;0.460673;
43.610474;0.286737;0.457512;
43.646095;0.289495;0.458871;
43.681705;0.287641;0.459832;
43.717297;0.285374;0.456874;
43.752907;0.288812;0.459058;
43.788498;0.287861;0.459260;
43.824116;0.286451;0.456437;
43.859726;0.288623;0.459247;
43.895317;0.286215;0.458767;
43.930939;0.285939;0.455702;
43.966549;0.289373;0.458912;
44.002140;0.286710;0.458434;
44.037750;0.285953;0.455904;
44.073368;0.288003;0.458301;
44.108959;0.285824;0.457083;
44.144569;0.286845;0.455991;
44.180191;0.288492;0.458938;
44.215782;0.285247;0.456519;
44.251392;0.286504;0.455303;
44.287003;0.287921;0.458373;
44.322594;0.285208;0.456068;
44.358212;0.287151;0.455954;
44.393803;0.287476;0.457978;
44.429413;0.284762;0.454966;
44.465034;0.287345;0.456036;
44.500626;0.286831;0.457773;
44.536236;0.284570;0.454363;
44.571854;0.287362;0.455864;
44.607437;0.286501;0.457405;
44.643055;0.284843;0.454325;
44.678677;0.287498;0.456191;
44.714256;0.285400;0.456089;
44.749878;0.284463;0.453325;
44.785469;0.287647;0.456570;
44.821079;0.285633;0.456189;
44.856697;0.285234;0.453393;
44.892281;0.286854;0.455877;
44.927898;0.283915;0.454381;
44.963520;0.284730;0.453333;
44.999100;0.286929;0.456473;
45.034721;0.284420;0.453930;
45.070339;0.286063;0.453107;
45.105923;0.286126;0.455447;
45.141541;0.283013;0.452831;
45.177124;0.285292;0.453692;
45.212742;0.285278;0.455208;
45.248363;0.283619;0.451787;
45.283955;0.286716;0.453526;
45.319565;0.285275;0.454670;
45.355183;0.283390;0.451740;
45.390785;0.285564;0.453718;
45.426384;0.283600;0.453334;
45.462006;0.283351;0.450463;
45.497597;0.286206;0.453708;
45.533207;0.283830;0.452967;
45.568825;0.283832;0.451073;
45.604408;0.285030;0.453424;
45.640026;0.282057;0.450932;
45.675610;0.283797;0.450320;
45.711227;0.284881;0.453192;
45.746849;0.282554;0.450636;
45.782429;0.284709;0.450978;
45.818050;0.283919;0.452471;
45.853668;0.281574;0.449121;
45.889252;0.284220;0.450803;
45.924870;0.282997;0.451852;
45.960491;0.281853;0.448680;
45.996071;0.284609;0.450876;
46.031693;0.282403;0.450586;
46.067310;0.282033;0.448303;
46.102894;0.284352;0.451211;
46.138512;0.281476;0.449456;
46.174095;0.282081;0.447700;
46.209713;0.283329;0.450379;
46.245335;0.280770;0.448377;
46.280926;0.282973;0.448562;
46.316536;0.283220;0.450509;
46.352154;0.280708;0.446973;
46.387756;0.282896;0.448007;
46.423355;0.281530;0.449347;
46.458977;0.280138;0.446596;
46.494576;0.283356;0.448786;
46.530178;0.281557;0.448337;
46.565796;0.280775;0.445591;
46.601379;0.282843;0.448753;
46.636997;0.279849;0.447453;
46.672581;0.280923;0.445756;
46.708199;0.282634;0.448259;
46.743820;0.280322;0.446089;
46.779400;0.281698;0.446296;
46.815022;0.281091;0.448149;
46.850639;0.278651;0.444503;
46.886223;0.282063;0.446108;
46.921841;0.281338;0.447518;
46.957462;0.279867;0.444716;
46.993042;0.281677;0.446800;
47.028664;0.279058;0.445768;
47.064281;0.279652;0.443823;
47.099865;0.282238;0.447243;
47.135483;0.279693;0.445417;
47.171066;0.280238;0.444141;
47.206684;0.280500;0.446342;
47.242306;0.278289;0.443835;
47.277885;0.281230;0.445071;
47.313507;0.280506;0.446173;
47.349125;0.278261;0.442635;
47.384716;0.281164;0.445403;
47.420326;0.279080;0.445193;
47.455948;0.278898;0.442516;
47.491547;0.280969;0.445252;
47.527149;0.278532;0.444045;
47.562729;0.279792;0.443181;
47.598358;0.280145;0.445132;
47.633968;0.277556;0.442220;
47.669552;0.280030;0.443589;
47.705170;0.279777;0.445058;
47.740791;0.277631;0.441423;
47.776371;0.280094;0.443616;
47.811993;0.278268;0.444091;
47.847610;0.278617;0.441830;
47.883194;0.280434;0.444067;
47.918812;0.277302;0.442265;
47.954433;0.278621;0.442000;
47.990013;0.279861;0.444287;
48.025635;0.277602;0.441054;
48.061214;0.279340;0.442408;
48.096836;0.277983;0.443477;
48.132454;0.277344;0.440433;
48.168037;0.280449;0.442866;
48.203655;0.277594;0.442522;
48.239277;0.277046;0.440256;
48.274857;0.279415;0.442711;
48.310478;0.277410;0.441117;
48.346096;0.278590;0.441100;
48.381680;0.277706;0.442407;
48.417297;0.276246;0.439295;
48.452908;0.279549;0.441647;
48.488518;0.277366;0.441968;
48.524120;0.275998;0.438577;
48.559700;0.278573;0.441279;
48.595341;0.276731;0.440718;
48.630939;0.277020;0.439040;
48.666523;0.277989;0.441091;
48.702152;0.275676;0.439081;
48.737751;0.278008;0.439813;
48.773342;0.277102;0.440638;
48.808964;0.275619;0.437736;
48.844574;0.278035;0.440264;
48.880165;0.275982;0.439591;
48.915783;0.275804;0.437172;
48.951393;0.277982;0.440366;
48.986984;0.275023;0.438164;
49.022594;0.276299;0.437439;
49.058186;0.276979;0.439794;
49.093807;0.275175;0.437367;
49.129417;0.277019;0.438109;
49.165009;0.275221;0.438422;
49.200619;0.275178;0.436445;
