"Piezo Voltage (V)";"Fine In 1 (V)";"Fine In 2 (V)";
49.785992;0.807861;0.278206;
49.811638;0.805267;0.278141;
49.837280;0.805674;0.278249;
49.862915;0.808160;0.278462;
49.888580;0.809970;0.278786;
49.914204;0.809654;0.279155;
49.939857;0.806561;0.278729;
49.965511;0.803462;0.277503;
49.991138;0.804098;0.277246;
50.016792;0.806266;0.277805;
50.042416;0.808556;0.278955;
50.068069;0.806301;0.278330;
50.093704;0.801975;0.276693;
50.119339;0.801132;0.276192;
50.144974;0.804473;0.277273;
50.170628;0.807134;0.278390;
50.196255;0.805087;0.277763;
50.221909;0.800885;0.276239;
50.247562;0.800645;0.275973;
50.273186;0.804269;0.277268;
50.298840;0.805459;0.277757;
50.324497;0.802425;0.276724;
50.350121;0.799844;0.275818;
50.375767;0.801455;0.276099;
50.401402;0.804748;0.277335;
50.427044;0.804199;0.277365;
50.452698;0.800860;0.276256;
50.478325;0.799881;0.275592;
50.503979;0.803615;0.276815;
50.529633;0.805526;0.277752;
50.555256;0.803563;0.277438;
50.580910;0.800221;0.275901;
50.606556;0.802581;0.276251;
50.632191;0.805288;0.277391;
50.657833;0.805513;0.278138;
50.683487;0.801284;0.276817;
50.709122;0.802384;0.276618;
50.734776;0.805141;0.277000;
50.760410;0.805656;0.277612;
50.786064;0.801838;0.276956;
50.811718;0.801363;0.276927;
50.837345;0.805209;0.277480;
50.862999;0.807089;0.277882;
50.888641;0.803709;0.277076;
50.914276;0.801192;0.276603;
50.939922;0.803267;0.277221;
50.965565;0.805838;0.277945;
50.991199;0.804666;0.277461;
51.016834;0.802004;0.276505;
51.042488;0.803629;0.277022;
51.068115;0.806345;0.278083;
51.093769;0.805120;0.277948;
51.119392;0.801140;0.276453;
51.145046;0.801672;0.276204;
51.170692;0.805204;0.277306;
51.196327;0.806160;0.278169;
51.221970;0.802551;0.277224;
51.247623;0.801239;0.276435;
51.273251;0.804085;0.276832;
51.298904;0.805225;0.277439;
51.324558;0.802459;0.277024;
51.350182;0.800866;0.276405;
51.375835;0.803665;0.276799;
51.401482;0.805401;0.277380;
51.427116;0.802839;0.276941;
51.452759;0.800211;0.276223;
51.478386;0.802450;0.276658;
51.504040;0.804973;0.277276;
51.529694;0.803262;0.276734;
51.555317;0.800175;0.275938;
51.580971;0.801829;0.276552;
51.606625;0.804682;0.277481;
51.632271;0.803414;0.276901;
51.657913;0.799578;0.275429;
51.683567;0.800431;0.275688;
51.709202;0.803771;0.277177;
51.734848;0.803738;0.277434;
51.760471;0.800152;0.275799;
51.786125;0.799902;0.275254;
51.811779;0.802600;0.276354;
51.837406;0.802807;0.277172;
51.863060;0.800013;0.276135;
51.888695;0.799805;0.275367;
51.914330;0.802684;0.276089;
51.939972;0.802906;0.276872;
51.965618;0.799398;0.276037;
51.991241;0.798571;0.275247;
52.016895;0.802043;0.275904;
52.042549;0.803385;0.276765;
52.068176;0.799954;0.276133;
52.093830;0.797806;0.275133;
52.119453;0.800662;0.275366;
52.145107;0.803113;0.276472;
52.170761;0.800361;0.276195;
52.196388;0.797584;0.275125;
52.222031;0.799484;0.275147;
52.247684;0.801902;0.275940;
52.273312;0.800318;0.275994;
52.298965;0.797738;0.275115;
52.324619;0.799287;0.275097;
52.350243;0.801087;0.275667;
52.375896;0.799657;0.275707;
52.401550;0.797316;0.274918;
52.427177;0.799122;0.274948;
52.452831;0.801030;0.275735;
52.478455;0.799399;0.275577;
52.504120;0.796647;0.274534;
52.529762;0.798544;0.274644;
52.555397;0.801043;0.275766;
52.581051;0.799496;0.275619;
52.606705;0.796131;0.274241;
52.632332;0.797598;0.274327;
52.657986;0.800618;0.275742;
52.683640;0.799445;0.275529;
52.709263;0.796025;0.274013;
52.734909;0.796710;0.273882;
52.760563;0.799859;0.275566;
52.786186;0.799208;0.275353;
52.811821;0.795670;0.273702;
52.837456;0.796393;0.273930;
52.863102;0.799134;0.275357;
52.888756;0.798887;0.275021;
52.914379;0.795670;0.273691;
52.940033;0.795968;0.274016;
52.965687;0.798914;0.275118;
52.991314;0.798592;0.274722;
53.016956;0.795445;0.273751;
53.042610;0.795688;0.274086;
53.068237;0.798618;0.274611;
53.093891;0.798343;0.274356;
53.119545;0.795304;0.273804;
53.145168;0.795468;0.273876;
53.170822;0.798185;0.274178;
53.196449;0.797968;0.274384;
53.222103;0.794910;0.273936;
53.247746;0.795253;0.273564;
53.273380;0.797808;0.273836;
53.299026;0.797617;0.274450;
53.324680;0.794550;0.273683;
53.350304;0.795228;0.273194;
53.375957;0.797630;0.273720;
53.401611;0.797010;0.274295;
53.427258;0.794215;0.273171;
53.452900;0.795263;0.272827;
53.478535;0.797409;0.273814;
53.504189;0.796303;0.273862;
53.529835;0.793792;0.272631;
53.555470;0.795212;0.272655;
53.581112;0.797034;0.273615;
53.606766;0.795332;0.273086;
53.632393;0.792937;0.271861;
53.658047;0.794949;0.272511;
53.683689;0.796438;0.273028;
53.709324;0.794461;0.272183;
53.734959;0.792690;0.271463;
53.760605;0.794804;0.272048;
53.786240;0.796004;0.272173;
53.811882;0.793379;0.271145;
53.837517;0.791988;0.270737;
53.863163;0.794203;0.271046;
53.888817;0.795212;0.271030;
53.914440;0.792276;0.270022;
53.940094;0.790939;0.269461;
53.965748;0.793262;0.269498;
53.991375;0.793869;0.269263;
54.017029;0.790746;0.268381;
54.042671;0.789176;0.267475;
54.068306;0.791619;0.267268;
54.093952;0.791958;0.267122;
54.119606;0.788476;0.266146;
54.145229;0.786950;0.264861;
54.170883;0.789335;0.264347;
54.196510;0.789417;0.264352;
54.222164;0.785736;0.262966;
54.247818;0.784305;0.261247;
54.273441;0.785908;0.260461;
54.299107;0.785512;0.260207;
54.324741;0.781827;0.258618;
54.350384;0.780559;0.256695;
54.376041;0.781333;0.255473;
54.401691;0.779880;0.254518;
54.427319;0.776098;0.252709;
54.452969;0.774879;0.250629;
54.478626;0.775441;0.249198;
54.504253;0.772552;0.247563;
54.529903;0.767921;0.245218;
54.555531;0.766983;0.243200;
54.581181;0.767143;0.241539;
54.606815;0.763585;0.239159;
54.632450;0.758114;0.236136;
54.658085;0.756510;0.233819;
54.683743;0.755802;0.231725;
54.709370;0.752005;0.229328;
54.735020;0.746633;0.226482;
54.760677;0.744458;0.223329;
54.786297;0.741858;0.220290;
54.811954;0.737091;0.216908;
54.837597;0.732677;0.214068;
54.863224;0.730966;0.211976;
54.888874;0.727952;0.209750;
54.914501;0.721719;0.206002;
54.940159;0.717461;0.203454;
54.965809;0.716874;0.202882;
54.991436;0.714357;0.204485;
55.017086;0.708207;0.201379;
55.042744;0.703462;0.195082;
55.068371;0.701727;0.192910;
55.094013;0.699059;0.191593;
55.119663;0.694186;0.190717;
55.145290;0.691073;0.194222;
55.170948;0.689141;0.195248;
55.196568;0.684468;0.184714;
55.222233;0.677962;0.178126;
55.247875;0.674858;0.173364;
55.273525;0.673701;0.170142;
55.299175;0.670618;0.167437;
55.324833;0.666431;0.165324;
55.350452;0.665728;0.164001;
55.376102;0.666307;0.163187;
55.401752;0.664344;0.162234;
55.427380;0.662259;0.163594;
55.453030;0.663870;0.162745;
55.478680;0.665887;0.163615;
55.504314;0.665511;0.163773;
55.529949;0.665827;0.163967;
55.555584;0.669224;0.165381;
55.581226;0.672204;0.167550;
55.606869;0.672783;0.169329;
55.632504;0.674920;0.171218;
55.658146;0.680041;0.173836;
55.683804;0.684293;0.176426;
55.709431;0.686045;0.179001;
55.735081;0.689720;0.182164;
55.760738;0.695125;0.185729;
55.786358;0.698823;0.188792;
55.812016;0.701029;0.191361;
55.837666;0.706560;0.195060;
55.863293;0.713160;0.199680;
55.888935;0.716931;0.203409;
55.914570;0.719008;0.206137;
55.940220;0.723754;0.209539;
55.965870;0.729386;0.213577;
55.991497;0.732933;0.217357;
56.017147;0.736170;0.220729;
56.042805;0.741815;0.224339;
56.068432;0.746503;0.227829;
56.094082;0.747550;0.230204;
56.119724;0.749474;0.232971;
56.145382;0.754411;0.236365;
56.171017;0.758305;0.239351;
56.196682;0.759443;0.241017;
56.222301;0.761272;0.242773;
56.247959;0.764996;0.245476;
56.273586;0.766538;0.247447;
56.299236;0.766336;0.247996;
56.324894;0.767910;0.248750;
56.350513;0.771082;0.250309;
56.376171;0.771465;0.251383;
56.401806;0.769907;0.251244;
56.427441;0.770776;0.251133;
56.453075;0.772221;0.251085;
56.478725;0.770870;0.250188;
56.504353;0.768805;0.249247;
56.530010;0.769111;0.248598;
56.555630;0.768815;0.247350;
56.581287;0.766051;0.244926;
56.606937;0.762957;0.242329;
56.632565;0.762209;0.240638;
56.658222;0.759957;0.238215;
56.683865;0.755675;0.234405;
56.709499;0.752188;0.230483;
56.735142;0.750183;0.227554;
56.760799;0.745676;0.223706;
56.786419;0.739140;0.218329;
56.812077;0.734695;0.213325;
56.837727;0.731795;0.209145;
56.863354;0.725911;0.204302;
56.889011;0.717711;0.198009;
56.914631;0.711622;0.191884;
56.940289;0.706306;0.186481;
56.965931;0.699268;0.181022;
56.991558;0.690981;0.174605;
57.017223;0.683922;0.168110;
57.042873;0.676142;0.161926;
57.068508;0.667590;0.156264;
57.094151;0.659631;0.150395;
57.119816;0.652615;0.144378;
57.145443;0.643911;0.138678;
57.171093;0.634262;0.133428;
57.196743;0.626806;0.128618;
57.222363;0.621004;0.124143;
57.248020;0.612634;0.119926;
57.273647;0.603478;0.116402;
57.299297;0.597499;0.112944;
57.324932;0.592729;0.110577;
57.350567;0.585965;0.108395;
57.376209;0.579944;0.106896;
57.401867;0.577207;0.106516;
57.427494;0.574951;0.107331;
57.453144;0.571304;0.116158;
57.478786;0.568045;0.112897;
57.504414;0.565255;0.113537;
57.530071;0.560910;0.116788;
57.555721;0.555411;0.103086;
57.581348;0.551350;0.097338;
57.606998;0.549588;0.093664;
57.632626;0.546806;0.092677;
57.658283;0.544495;0.090518;
57.683933;0.545510;0.089463;
57.709560;0.547653;0.089287;
57.735203;0.548469;0.090156;
57.760860;0.549629;0.091120;
57.786480;0.554749;0.092634;
57.812138;0.560002;0.095112;
57.837788;0.563415;0.097800;
57.863415;0.567489;0.100116;
57.889072;0.575454;0.103415;
57.914722;0.582890;0.107780;
57.940365;0.588212;0.111582;
57.966015;0.595031;0.115316;
57.991650;0.604235;0.120213;
58.017292;0.612744;0.126048;
58.042942;0.619356;0.130718;
58.068569;0.628168;0.135878;
58.094227;0.638242;0.142524;
58.119877;0.646422;0.148752;
58.145504;0.654020;0.154150;
58.171154;0.663479;0.160551;
58.196789;0.672555;0.167482;
58.222424;0.679763;0.173380;
58.248058;0.687619;0.179203;
58.273693;0.696533;0.186183;
58.299343;0.703891;0.192436;
58.324993;0.710068;0.197806;
58.350620;0.717224;0.203736;
58.376270;0.724670;0.210026;
58.401928;0.729777;0.214748;
58.427555;0.734885;0.219451;
58.453205;0.741555;0.225073;
58.478848;0.746718;0.229600;
58.504482;0.749664;0.232977;
58.530132;0.753975;0.236932;
58.555782;0.759525;0.241441;
58.581409;0.762697;0.244402;
58.607059;0.763940;0.246418;
58.632687;0.767273;0.249600;
58.658344;0.771603;0.252772;
58.683994;0.773126;0.254295;
58.709621;0.773654;0.255825;
58.735271;0.776033;0.258104;
58.760921;0.778905;0.259988;
58.786556;0.779625;0.260729;
58.812199;0.779635;0.261752;
58.837864;0.781298;0.263217;
58.863499;0.782625;0.263942;
58.889149;0.783016;0.264292;
58.914806;0.783659;0.265307;
58.940426;0.784264;0.265973;
58.966084;0.784624;0.266061;
58.991711;0.784862;0.266291;
59.017361;0.786208;0.267386;
59.043003;0.786000;0.267553;
59.068638;0.785382;0.267022;
59.094288;0.785483;0.267275;
59.119923;0.786945;0.268358;
59.145557;0.786460;0.268338;
59.171200;0.785408;0.267448;
59.196850;0.785982;0.267760;
59.222477;0.786950;0.268618;
59.248135;0.786255;0.268457;
59.273777;0.785215;0.267655;
59.299412;0.786236;0.268019;
59.325054;0.786527;0.268658;
59.350681;0.785677;0.268280;
59.376331;0.785335;0.267778;
59.401989;0.786451;0.268113;
59.427616;0.786344;0.268572;
59.453266;0.785177;0.268074;
59.478924;0.785179;0.267650;
59.504543;0.786184;0.268110;
59.530201;0.786251;0.268639;
59.555843;0.785150;0.268182;
59.581478;0.785106;0.267698;
59.607121;0.784891;0.267632;
59.632778;0.784676;0.268019;
59.658405;0.785077;0.268166;
59.684055;0.785704;0.268105;
59.709682;0.784745;0.267618;
59.735355;0.783589;0.267337;
59.760998;0.783880;0.267680;
59.786633;0.785088;0.268165;
59.812290;0.785184;0.267921;
59.837933;0.784194;0.267331;
59.863560;0.784140;0.267457;
59.889210;0.783863;0.267778;
59.914867;0.783425;0.267599;
59.940487;0.783717;0.267194;
59.966145;0.784630;0.267335;
59.991772;0.784180;0.267689;
60.017414;0.783151;0.267616;
60.043056;0.782858;0.267292;
60.068684;0.783477;0.267085;
60.094334;0.783468;0.267106;
60.119984;0.783089;0.267263;
60.145603;0.783545;0.267609;
60.171261;0.783468;0.267599;
60.196911;0.782671;0.266994;
