"Piezo Voltage (V)";"Fine In 1 (V)";"Fine In 2 (V)";
63.220425;0.385672;0.320492;
63.224171;0.386247;0.320448;
63.227917;0.386578;0.321157;
63.231670;0.386129;0.321319;
63.235394;0.386354;0.321164;
63.239155;0.387484;0.322233;
63.242901;0.387740;0.322916;
63.246647;0.387534;0.322878;
63.250401;0.387709;0.322987;
63.254147;0.388885;0.324234;
63.257893;0.388999;0.324521;
63.261639;0.388797;0.324456;
63.265392;0.389045;0.325086;
63.269138;0.389679;0.325690;
63.272884;0.389615;0.325738;
63.276615;0.389521;0.326045;
63.280384;0.389615;0.326569;
63.284130;0.389735;0.326742;
63.287876;0.389820;0.326812;
63.291615;0.389869;0.327450;
63.295361;0.389709;0.327660;
63.299114;0.389398;0.327525;
63.302837;0.389671;0.328084;
63.306606;0.390195;0.328910;
63.310352;0.389855;0.328886;
63.314106;0.389422;0.328963;
63.317852;0.390165;0.330034;
63.321598;0.390791;0.330687;
63.325344;0.390990;0.330860;
63.329082;0.390243;0.331094;
63.332836;0.391067;0.332283;
63.336590;0.392226;0.332964;
63.340336;0.392482;0.333224;
63.344067;0.392192;0.333803;
63.347828;0.392598;0.334845;
63.351574;0.393938;0.335285;
63.355320;0.394471;0.335725;
63.359066;0.394393;0.336463;
63.362820;0.394274;0.337039;
63.366566;0.395340;0.337140;
63.370296;0.395980;0.337632;
63.374058;0.395930;0.338400;
63.377811;0.395524;0.338432;
63.381557;0.395798;0.338246;
63.385296;0.396592;0.338734;
63.389042;0.396660;0.339557;
63.392788;0.396195;0.339547;
63.396526;0.396088;0.339162;
63.400288;0.396199;0.339251;
63.404034;0.396549;0.340168;
63.407780;0.396185;0.340249;
63.411533;0.395954;0.339938;
63.415279;0.395993;0.340060;
63.419025;0.396095;0.340813;
63.422771;0.396088;0.341209;
63.426525;0.396097;0.341134;
63.430271;0.396025;0.341260;
63.434017;0.396207;0.341995;
63.437748;0.396020;0.342468;
63.441502;0.396415;0.342686;
63.445255;0.396983;0.343095;
63.449001;0.397645;0.343974;
63.452747;0.397942;0.344813;
63.456493;0.397776;0.344925;
63.460247;0.397851;0.345019;
63.463970;0.398776;0.345802;
63.467739;0.399873;0.346771;
63.471485;0.400312;0.347164;
63.475239;0.400182;0.347140;
63.478977;0.399682;0.346984;
63.482731;0.400094;0.347633;
63.486477;0.400932;0.348283;
63.490208;0.401587;0.348423;
63.493969;0.401416;0.348299;
63.497715;0.400800;0.348054;
63.501461;0.400316;0.348294;
63.505207;0.400586;0.348642;
63.508961;0.401025;0.348639;
63.512707;0.401251;0.348508;
63.516453;0.400850;0.348446;
63.520199;0.400231;0.348689;
63.523952;0.399804;0.348768;
63.527699;0.399621;0.348548;
63.531414;0.399903;0.348437;
63.535183;0.400143;0.348617;
63.538929;0.400101;0.349240;
63.542683;0.399746;0.349580;
63.546429;0.399474;0.349536;
63.550175;0.399485;0.349398;
63.553921;0.399929;0.349700;
63.557652;0.400581;0.350506;
63.561420;0.400954;0.351163;
63.565166;0.401219;0.351555;
63.568913;0.401258;0.351533;
63.572651;0.401554;0.351640;
63.576412;0.401914;0.352163;
63.580158;0.402155;0.352664;
63.583897;0.402426;0.352927;
63.587643;0.402546;0.352794;
63.591396;0.402904;0.352790;
63.595142;0.403339;0.353038;
63.598881;0.403453;0.353317;
63.602634;0.403293;0.353290;
63.606388;0.402750;0.352853;
63.610134;0.402445;0.352467;
63.613880;0.402549;0.352558;
63.617626;0.403034;0.353011;
63.621380;0.403089;0.353045;
63.625095;0.402687;0.352610;
63.628864;0.401839;0.351827;
63.632618;0.401063;0.351524;
63.636356;0.401016;0.351831;
63.640110;0.401277;0.352093;
63.643856;0.401677;0.352119;
63.647602;0.401186;0.351538;
63.651340;0.400623;0.351309;
63.655102;0.399970;0.351462;
63.658848;0.400069;0.351927;
63.662594;0.400513;0.352117;
63.666332;0.401392;0.352119;
63.670094;0.401540;0.352168;
63.673840;0.401493;0.352731;
63.677578;0.401134;0.352950;
63.681324;0.401129;0.353002;
63.685070;0.401731;0.352742;
63.688824;0.402581;0.352943;
63.692547;0.402894;0.353439;
63.696316;0.402707;0.353509;
63.700062;0.402416;0.353256;
63.703815;0.402338;0.352690;
63.707561;0.402585;0.352540;
63.711308;0.402727;0.352828;
63.715054;0.402763;0.352785;
63.718784;0.402268;0.352239;
63.722553;0.401934;0.351554;
63.726299;0.401587;0.351309;
63.730038;0.401378;0.351322;
63.733784;0.401093;0.350825;
63.737537;0.400584;0.350313;
63.741283;0.400483;0.349932;
63.745022;0.400098;0.349921;
63.748775;0.399510;0.349495;
63.752529;0.398944;0.348869;
63.756275;0.398846;0.348589;
63.760021;0.399163;0.348967;
63.763767;0.398971;0.348958;
63.767521;0.398287;0.348313;
63.771259;0.397953;0.347997;
63.775005;0.398486;0.348462;
63.778759;0.399185;0.348922;
63.782497;0.398928;0.348400;
63.786228;0.398287;0.347984;
63.789997;0.398466;0.348373;
63.793743;0.399377;0.348772;
63.797489;0.400019;0.348475;
63.801243;0.399363;0.347840;
63.804989;0.398728;0.347692;
63.808735;0.398993;0.347872;
63.812466;0.399733;0.347412;
63.816235;0.399532;0.346744;
63.819981;0.398547;0.346546;
63.823719;0.398178;0.346164;
63.827465;0.398363;0.345376;
63.831211;0.398455;0.344750;
63.834965;0.397671;0.344773;
63.838711;0.396762;0.343954;
63.842457;0.396563;0.342912;
63.846203;0.396386;0.342656;
63.849957;0.395989;0.342603;
63.853695;0.395058;0.341716;
63.857449;0.394617;0.340775;
63.861195;0.394573;0.340875;
63.864933;0.394186;0.340764;
63.868694;0.393736;0.339933;
63.872440;0.393507;0.339364;
63.876179;0.393351;0.339526;
63.879910;0.393093;0.339286;
63.883678;0.393256;0.338755;
63.887424;0.393231;0.338584;
63.891171;0.392873;0.338594;
63.894917;0.393081;0.338248;
63.898670;0.393573;0.338005;
