"Piezo Voltage (V)","Fine In 1 (V)","Fine In 2 (V)",
54.866016,0.733417,0.211906,
54.882870,0.732663,0.211315,
54.899685,0.732762,0.211892,
54.916515,0.733700,0.212802,
54.933346,0.735010,0.213555,
54.950138,0.737036,0.214836,
54.966976,0.740035,0.217033,
54.983784,0.742940,0.219384,
55.000637,0.745089,0.221142,
55.017467,0.746407,0.222440,
55.034290,0.747264,0.223712,
55.051128,0.748506,0.225415,
55.067936,0.750174,0.227111,
55.084751,0.752382,0.228678,
55.101582,0.755527,0.230780,
55.118427,0.757938,0.232475,
55.135250,0.759521,0.234201,
55.152081,0.760813,0.236026,
55.168896,0.761370,0.237181,
55.185719,0.762086,0.237956,
55.202541,0.763806,0.239106,
55.219364,0.766503,0.241094,
55.236195,0.769233,0.243321,
55.253040,0.770991,0.244872,
55.269863,0.771243,0.245502,
55.286694,0.770980,0.245838,
55.303509,0.771348,0.246518,
55.320316,0.773030,0.248141,
55.337154,0.775640,0.249763,
55.353985,0.777621,0.250656,
55.370815,0.778339,0.251242,
55.387646,0.777656,0.251475,
55.404461,0.776667,0.252033,
55.421291,0.777068,0.252508,
55.438107,0.778800,0.252961,
55.454929,0.780740,0.253501,
55.471760,0.781757,0.254070,
55.488613,0.781203,0.254639,
55.505428,0.779703,0.254249,
55.522259,0.778570,0.253506,
55.539089,0.779109,0.253033,
55.555889,0.780356,0.253360,
55.572720,0.781343,0.254022,
55.589550,0.780786,0.253689,
55.606380,0.779195,0.252495,
55.623219,0.777375,0.251124,
55.640041,0.776531,0.250541,
55.656872,0.776843,0.250228,
55.673687,0.776989,0.249473,
55.690495,0.776339,0.248297,
55.707333,0.774937,0.247298,
55.724163,0.772696,0.245968,
55.740993,0.770294,0.244012,
55.757824,0.769096,0.242262,
55.774662,0.768665,0.241063,
55.791470,0.768043,0.239968,
55.808285,0.766181,0.238094,
55.825115,0.763145,0.235593,
55.841938,0.760190,0.233294,
55.858791,0.758200,0.231375,
55.875607,0.756566,0.229123,
55.892437,0.754712,0.226517,
55.909267,0.752143,0.224036,
55.926067,0.749705,0.221991,
55.942898,0.746408,0.219110,
55.959728,0.742372,0.215451,
55.976559,0.738681,0.212148,
55.993397,0.736374,0.209873,
56.010227,0.734562,0.207107,
56.027050,0.731376,0.203672,
56.043865,0.726395,0.200118,
56.060673,0.721066,0.196716,
56.077511,0.717268,0.192951,
56.094349,0.714728,0.189426,
56.111172,0.711317,0.186355,
56.128002,0.706910,0.183166,
56.144840,0.701929,0.179043,
56.161640,0.697023,0.174895,
56.178463,0.691992,0.171599,
56.195293,0.687291,0.167990,
56.212132,0.683435,0.163885,
56.228970,0.679608,0.160424,
56.245800,0.674856,0.157581,
56.262615,0.668642,0.153526,
56.279430,0.662773,0.149170,
56.296246,0.658146,0.146132,
56.313076,0.654412,0.143384,
56.329906,0.649940,0.139854,
56.346737,0.645169,0.136503,
56.363575,0.639598,0.133794,
56.380405,0.633753,0.130527,
56.397228,0.628810,0.127360,
56.414043,0.624996,0.124949,
56.430874,0.620868,0.122621,
56.447689,0.616725,0.120159,
56.464535,0.612367,0.118139,
56.481373,0.607313,0.116214,
56.498180,0.602035,0.113878,
56.515018,0.598477,0.112107,
56.531811,0.596538,0.111604,
56.548641,0.593456,0.110467,
56.565472,0.589480,0.108648,
56.582317,0.585959,0.107811,
56.599140,0.584014,0.108116,
56.615971,0.581700,0.107882,
56.632793,0.579896,0.108170,
56.649609,0.578875,0.111083,
56.666439,0.578223,0.119337,
56.683254,0.575459,0.117038,
56.700092,0.571849,0.112452,
56.716938,0.569687,0.113864,
56.733753,0.568502,0.121816,
56.750584,0.566128,0.116646,
56.767399,0.562967,0.107177,
56.784206,0.559852,0.102001,
56.801044,0.556730,0.098099,
56.817867,0.554287,0.095872,
56.834713,0.552724,0.094311,
56.851551,0.552137,0.092922,
56.868359,0.551693,0.093443,
56.885181,0.550790,0.091766,
56.902004,0.549637,0.090768,
56.918819,0.549169,0.089515,
56.935650,0.550044,0.089687,
56.952503,0.551853,0.090635,
56.969318,0.553390,0.090833,
56.986149,0.554461,0.090823,
57.002972,0.555102,0.091939,
57.019787,0.556887,0.093155,
57.036617,0.559991,0.093998,
57.053432,0.563035,0.094996,
57.070286,0.565824,0.096926,
57.087116,0.568803,0.098756,
57.103931,0.572045,0.100024,
57.120762,0.574765,0.101815,
57.137577,0.578252,0.104175,
57.154385,0.582338,0.106247,
57.171223,0.587787,0.108485,
57.188061,0.592464,0.111201,
57.204891,0.595643,0.113908,
57.221729,0.598722,0.116009,
57.238537,0.603790,0.118570,
57.255352,0.610358,0.122140,
57.272182,0.615662,0.125650,
57.288998,0.619864,0.128420,
57.305828,0.623894,0.131118,
57.322681,0.628943,0.134676,
57.339497,0.634885,0.138640,
57.356327,0.640638,0.142064,
57.373150,0.645937,0.145454,
57.389965,0.651244,0.149423,
57.406796,0.656379,0.153401,
57.423611,0.661098,0.156894,
57.440464,0.666134,0.160443,
57.457294,0.671852,0.164545,
57.474110,0.677659,0.168805,
57.490940,0.682816,0.172657,
57.507755,0.687522,0.176299,
57.524563,0.691753,0.180191,
57.541401,0.696517,0.184146,
57.558247,0.701984,0.188007,
57.575069,0.706805,0.191563,
57.591908,0.711574,0.195332,
57.608738,0.715617,0.199448,
57.625530,0.719258,0.203004,
57.642361,0.723109,0.206145,
57.659176,0.727548,0.209174,
57.676029,0.731777,0.212824,
57.692860,0.735763,0.216703,
57.709675,0.739225,0.219987,
57.726505,0.742024,0.222426,
57.743320,0.744910,0.224824,
57.760143,0.748181,0.227915,
57.776974,0.751545,0.231228,
57.793804,0.754542,0.233934,
57.810642,0.757120,0.236092,
57.827473,0.759423,0.238104,
57.844303,0.761719,0.240433,
57.861111,0.764253,0.242950,
57.877934,0.766483,0.245072,
57.894741,0.768419,0.246843,
57.911587,0.770254,0.248276,
57.928425,0.772148,0.250106,
57.945248,0.773850,0.252083,
57.962086,0.775699,0.253673,
57.978909,0.777189,0.254871,
57.995708,0.778332,0.255880,
58.012539,0.779436,0.257202,
58.029377,0.780635,0.258636,
58.046207,0.781427,0.259573,
58.063038,0.782915,0.260523,
58.079868,0.784151,0.261292,
58.096684,0.784879,0.262175,
58.113499,0.785203,0.263075,
58.130314,0.785503,0.263700,
58.147144,0.786033,0.264162,
58.163998,0.787254,0.264665,
58.180820,0.788222,0.265349,
58.197651,0.788782,0.266332,
58.214481,0.788709,0.266753,
58.231274,0.788469,0.266732,
58.248112,0.788583,0.266612,
58.264942,0.789541,0.267048,
58.281773,0.790612,0.267908,
58.298603,0.791035,0.268728,
58.315418,0.790988,0.268770,
58.332249,0.790601,0.268506,
58.349072,0.790272,0.268114,
58.365887,0.790708,0.268596,
58.382717,0.791526,0.269317,
58.399555,0.791963,0.269780,
58.416386,0.792172,0.269583,
58.433216,0.791757,0.269171,
58.450047,0.791294,0.269192,
58.466862,0.791336,0.269569,
58.483677,0.791783,0.269866,
58.500507,0.792018,0.269896,
58.517323,0.792394,0.269791,
58.534176,0.792068,0.269830,
58.550999,0.791635,0.269955,
58.567829,0.791620,0.269992,
58.584660,0.791682,0.269756,
58.601452,0.792140,0.269797,
58.618290,0.792408,0.270222,
58.635120,0.792024,0.270398,
58.651951,0.791441,0.270135,
58.668781,0.791247,0.269676,
58.685619,0.791641,0.269604,
58.702427,0.792206,0.270239,
58.719242,0.792302,0.270539,
58.736073,0.791605,0.270097,
58.752895,0.790981,0.269594,
58.769741,0.790961,0.269524,
58.786564,0.791803,0.270182,
58.803394,0.792357,0.270469,
58.820225,0.792030,0.270141,
58.837032,0.791145,0.269665,
58.853855,0.790610,0.269744,
58.870686,0.791089,0.269951,
58.887508,0.791668,0.269912,
58.904354,0.791719,0.269737,
58.921185,0.791300,0.269925,
58.938007,0.790768,0.270058,
58.954830,0.790433,0.269602,
58.971653,0.790673,0.269201,
58.988468,0.791069,0.269712,
59.005299,0.791133,0.270280,
59.022129,0.790955,0.270021,
59.038960,0.790148,0.269220,
59.055798,0.789527,0.269134,
59.072605,0.790100,0.269771,
59.089420,0.790826,0.269914,
59.106251,0.790928,0.269515,
59.123074,0.790033,0.269530,
59.139927,0.789145,0.269516,
59.156757,0.789567,0.269374,
59.173573,0.790550,0.269259,
59.190403,0.790716,0.269683,
59.207218,0.789632,0.269698,
59.224033,0.789237,0.269253,
59.240864,0.789669,0.268988,
59.257694,0.789906,0.269413,
59.274532,0.789440,0.269364,
59.291363,0.789330,0.268981,
59.308186,0.789958,0.269220,
59.325001,0.789945,0.269773,
59.341831,0.788929,0.269288,
59.358646,0.788269,0.268488,
59.375477,0.789458,0.269041,
59.392330,0.789993,0.269580,
59.409138,0.788965,0.269092,
59.425976,0.788165,0.268544,
59.442783,0.788228,0.268938,
59.459599,0.788757,0.269025,
59.476429,0.788725,0.268646,
59.493252,0.788644,0.268834,
59.510098,0.788445,0.269214,
59.526928,0.788028,0.268808,
59.543751,0.787684,0.268381,
59.560581,0.788062,0.268811,
59.577396,0.788156,0.268812,
59.594212,0.788143,0.268538,
59.611042,0.788107,0.268866,
59.627895,0.788052,0.268986,
59.644711,0.787259,0.268371,
59.661541,0.787101,0.267956,
59.678356,0.787890,0.268759,
59.695164,0.788376,0.268960,
59.712002,0.787198,0.268157,
59.728825,0.786636,0.268300,
59.745670,0.787284,0.268726,
59.762508,0.787844,0.268416,
59.779316,0.787373,0.268055,
59.796154,0.786832,0.268424,
59.812962,0.787492,0.268725,
59.829777,0.787148,0.268137,
59.846607,0.786258,0.267960,
59.863453,0.786313,0.268154,
59.880276,0.787414,0.268138,
59.897106,0.787181,0.268146,
59.913929,0.786179,0.268401,
59.930752,0.785770,0.268051,
59.947575,0.786462,0.267732,
59.964390,0.786942,0.268143,
59.981220,0.786272,0.268228,
59.998074,0.785942,0.267817,
60.014889,0.786256,0.267699,
60.031719,0.786182,0.268248,
60.048542,0.785752,0.267870,
60.065342,0.785828,0.267411,
60.082180,0.786332,0.267769,
60.099010,0.786402,0.268443,
60.115849,0.785785,0.267927,
60.132687,0.785435,0.267406,
60.149494,0.785596,0.267723,
60.166332,0.786043,0.268019,
60.183140,0.785961,0.267802,
60.199955,0.785854,0.267589,
60.216785,0.785313,0.267839,
60.233639,0.785045,0.267643,
60.250454,0.785356,0.267299,
60.267284,0.786204,0.267538,
60.284115,0.785657,0.267829,
60.300922,0.784770,0.267513,
60.317753,0.784874,0.267271,
60.334568,0.785437,0.267549,
60.351421,0.785837,0.267911,
60.368252,0.785074,0.267301,
60.385067,0.784616,0.267021,
60.401897,0.785317,0.267684,
60.418713,0.785519,0.267873,
60.435520,0.784838,0.267347,
60.452358,0.784336,0.266736,
60.469189,0.784962,0.267360,
60.486027,0.785477,0.267759,
60.502865,0.785261,0.267611,
