"Piezo Voltage (V)","Fine In 1 (V)","Fine In 2 (V)",
66.411552,0.213649,0.000565,
66.419205,0.213406,0.000547,
66.426842,0.213362,0.000529,
66.434517,0.213429,0.000547,
66.442215,0.213617,0.000552,
66.449867,0.213739,0.000542,
66.457535,0.213632,0.000559,
66.465202,0.213480,0.000540,
66.472847,0.213141,0.000536,
66.480507,0.212848,0.000527,
66.488174,0.212502,0.000552,
66.495850,0.212283,0.000533,
66.503525,0.211900,0.000551,
66.511192,0.211623,0.000539,
66.518852,0.211450,0.000539,
66.526527,0.211508,0.000538,
66.534195,0.211709,0.000551,
66.541862,0.211814,0.000539,
66.549507,0.211997,0.000530,
66.557175,0.212149,0.000547,
66.564857,0.212385,0.000561,
66.572525,0.212524,0.000521,
66.580200,0.212464,0.000555,
66.587845,0.212287,0.000521,
66.595520,0.211909,0.000536,
66.603188,0.211395,0.000535,
66.610847,0.210963,0.000540,
66.618538,0.210497,0.000572,
66.626198,0.210043,0.000552,
66.633873,0.209762,0.000562,
66.641533,0.209722,0.000566,
66.649185,0.209916,0.000533,
66.656830,0.210034,0.000508,
66.664520,0.210101,0.000536,
66.672173,0.210389,0.000537,
66.679855,0.210569,0.000549,
66.687523,0.210681,0.000534,
66.695190,0.210625,0.000548,
66.702873,0.210288,0.000550,
66.710510,0.210026,0.000529,
66.718163,0.209625,0.000531,
66.725838,0.209173,0.000530,
66.733513,0.208629,0.000529,
66.741158,0.208150,0.000529,
66.748833,0.208008,0.000537,
66.756508,0.207879,0.000530,
66.764206,0.207771,0.000558,
66.771835,0.207801,0.000528,
66.779503,0.208030,0.000516,
66.787201,0.208342,0.000546,
66.794846,0.208408,0.000539,
66.802498,0.208382,0.000532,
66.810165,0.208521,0.000534,
66.817841,0.208476,0.000539,
66.825516,0.208144,0.000535,
66.833183,0.207655,0.000512,
66.840851,0.207121,0.000528,
66.848503,0.206782,0.000524,
66.856178,0.206360,0.000539,
66.863846,0.205897,0.000553,
66.871544,0.205683,0.000543,
66.879181,0.205661,0.000561,
66.886841,0.205734,0.000525,
66.894547,0.205826,0.000569,
66.902176,0.205976,0.000542,
66.909851,0.206198,0.000557,
66.917519,0.206347,0.000536,
66.925163,0.206146,0.000532,
66.932816,0.205816,0.000521,
66.940491,0.205442,0.000523,
66.948181,0.204958,0.000517,
66.955833,0.204221,0.000526,
66.963493,0.203560,0.000521,
66.971184,0.202875,0.000548,
66.978867,0.202565,0.000554,
66.986481,0.202340,0.000525,
66.994156,0.202139,0.000512,
67.001816,0.202255,0.000530,
67.009521,0.202400,0.000556,
67.017166,0.202501,0.000527,
67.024834,0.202341,0.000524,
67.032509,0.202142,0.000531,
67.040169,0.201763,0.000534,
67.047836,0.201416,0.000532,
67.055496,0.200739,0.000537,
67.063156,0.199987,0.000529,
67.070824,0.199202,0.000536,
67.078506,0.198608,0.000542,
67.086182,0.198180,0.000549,
67.093826,0.197772,0.000525,
67.101509,0.197465,0.000537,
67.109161,0.197411,0.000509,
67.116814,0.197359,0.000541,
67.124474,0.197238,0.000521,
67.132172,0.197158,0.000528,
67.139832,0.196871,0.000536,
67.147499,0.196603,0.000522,
67.155174,0.196346,0.000529,
67.162819,0.195716,0.000522,
67.170509,0.194920,0.000545,
67.178146,0.194196,0.000536,
67.185860,0.193557,0.000564,
67.193512,0.192901,0.000552,
67.201172,0.192228,0.000546,
67.208817,0.191726,0.000526,
67.216522,0.191376,0.000548,
67.224159,0.191296,0.000545,
67.231842,0.191219,0.000545,
67.239487,0.191055,0.000545,
67.247147,0.190768,0.000532,
67.254814,0.190475,0.000537,
67.262512,0.190120,0.000542,
67.270149,0.189571,0.000515,
67.277817,0.188844,0.000515,
67.285484,0.187790,0.000535,
67.293198,0.186747,0.000552,
67.300827,0.185814,0.000555,
67.308479,0.185113,0.000550,
67.316147,0.184503,0.000517,
67.323853,0.183978,0.000545,
67.331505,0.183559,0.000558,
67.339165,0.183252,0.000536,
67.346855,0.183043,0.000550,
67.354485,0.182809,0.000521,
67.362160,0.182358,0.000550,
67.369804,0.181694,0.000531,
67.377510,0.180779,0.000541,
67.385162,0.179719,0.000546,
67.392799,0.178747,0.000506,
67.400497,0.177658,0.000540,
67.408142,0.176596,0.000540,
67.415802,0.175552,0.000511,
67.423508,0.174738,0.000558,
67.431137,0.174037,0.000520,
67.438828,0.173449,0.000546,
67.446495,0.172947,0.000525,
67.454185,0.172474,0.000554,
67.461845,0.171916,0.000569,
67.469482,0.171213,0.000525,
67.477135,0.170261,0.000523,
67.484818,0.169287,0.000518,
67.492470,0.168178,0.000533,
67.500175,0.167096,0.000543,
67.507835,0.166002,0.000544,
67.515480,0.164809,0.000532,
67.523155,0.163668,0.000543,
67.530838,0.162620,0.000539,
67.538513,0.161696,0.000560,
67.546143,0.160855,0.000527,
67.553810,0.160226,0.000542,
67.561478,0.159680,0.000536,
67.569145,0.158921,0.000533,
67.576813,0.158218,0.000525,
67.584488,0.157375,0.000529,
67.592186,0.156325,0.000556,
67.599831,0.155199,0.000544,
67.607491,0.153991,0.000538,
67.615150,0.152781,0.000543,
67.622795,0.151553,0.000524,
67.630486,0.150303,0.000541,
67.638130,0.149069,0.000537,
67.645813,0.148099,0.000527,
67.653496,0.147289,0.000544,
67.661156,0.146605,0.000531,
67.668823,0.146116,0.000533,
67.676491,0.145550,0.000548,
67.684135,0.144600,0.000543,
67.691818,0.143465,0.000528,
67.699471,0.142132,0.000522,
67.707161,0.140601,0.000537,
67.714806,0.139147,0.000525,
67.722473,0.137720,0.000518,
67.730156,0.136223,0.000532,
67.737793,0.134821,0.000511,
67.745461,0.133466,0.000528,
67.753120,0.132268,0.000521,
67.760803,0.131148,0.000532,
67.768478,0.130167,0.000528,
67.776146,0.129368,0.000532,
67.783813,0.128503,0.000533,
67.791496,0.127561,0.000560,
67.799149,0.126511,0.000539,
67.806793,0.125422,0.000513,
67.814438,0.124290,0.000509,
67.822136,0.123147,0.000529,
67.829834,0.122052,0.000542,
67.837479,0.120859,0.000547,
67.845154,0.119697,0.000545,
67.852837,0.118168,0.000552,
67.860481,0.116697,0.000532,
67.868118,0.115230,0.000547,
67.875786,0.113849,0.000523,
67.883476,0.112451,0.000534,
67.891151,0.111216,0.000548,
67.898811,0.109889,0.000546,
67.906471,0.108626,0.000517,
67.914139,0.107375,0.000537,
67.921806,0.106120,0.000521,
67.929474,0.104721,0.000537,
67.937141,0.103264,0.000534,
67.944794,0.101904,0.000540,
67.952477,0.100619,0.000519,
67.960152,0.099597,0.000545,
67.967819,0.098654,0.000545,
67.975464,0.097785,0.000532,
67.983147,0.097051,0.000534,
67.990784,0.096471,0.000514,
67.998428,0.096093,0.000490,
68.006042,0.095646,0.000424,
68.013573,0.094877,0.000273,
68.020920,0.094016,-0.000039,
68.027817,0.092987,-0.000815,
68.035561,0.091933,-0.000733,
68.043503,0.090911,-0.000443,
68.051109,0.089802,-0.000482,
68.059044,0.088737,-0.000238,
68.066673,0.088159,-0.000273,
68.074371,0.087771,-0.000235,
68.082176,0.087610,-0.000103,
68.089844,0.087647,-0.000102,
68.097565,0.088202,-0.000066,
68.105217,0.089473,-0.000057,
68.112862,0.091715,-0.000084,
68.120613,0.095668,0.000015,
68.128448,0.102809,0.000190,
68.136078,0.110332,0.000164,
68.143799,0.106517,0.000188,
68.151566,0.096225,0.000301,
68.159233,0.088612,0.000299,
68.166847,0.083659,0.000246,
68.174515,0.080465,0.000255,
68.182144,0.078318,0.000235,
68.189842,0.076598,0.000249,
68.197502,0.075409,0.000231,
68.205170,0.074542,0.000245,
68.212891,0.074069,0.000294,
68.220573,0.073606,0.000300,
68.228226,0.073363,0.000302,
68.235947,0.073414,0.000336,
68.243614,0.073725,0.000350,
68.251305,0.074309,0.000367,
68.258972,0.075266,0.000388,
68.266663,0.077038,0.000392,
68.274323,0.080098,0.000413,
68.281990,0.085076,0.000406,
68.289680,0.093361,0.000430,
68.297348,0.105250,0.000420,
68.305038,0.114554,0.000433,
68.312706,0.108191,0.000451,
68.320389,0.094179,0.000477,
68.328072,0.082837,0.000474,
68.335716,0.074979,0.000450,
68.343414,0.069703,0.000493,
68.351082,0.065635,0.000474,
68.358727,0.062288,0.000460,
68.366386,0.059707,0.000466,
68.374062,0.057705,0.000470,
68.381706,0.055887,0.000434,
68.389374,0.054282,0.000453,
68.397026,0.053035,0.000463,
68.404732,0.052066,0.000499,
68.412422,0.051134,0.000493,
68.420067,0.050203,0.000482,
68.427757,0.049400,0.000493,
68.435432,0.048848,0.000528,
68.443085,0.048275,0.000499,
68.450729,0.047625,0.000499,
68.458435,0.046896,0.000507,
68.466110,0.046386,0.000530,
68.473740,0.045990,0.000490,
68.481430,0.045519,0.000528,
68.489128,0.045049,0.000530,
68.496773,0.044693,0.000538,
68.504433,0.044475,0.000531,
68.512100,0.044409,0.000520,
68.519768,0.044167,0.000510,
68.527435,0.044044,0.000506,
68.535080,0.044048,0.000500,
68.542763,0.044169,0.000501,
68.550438,0.044240,0.000509,
68.558075,0.044298,0.000501,
68.565742,0.044638,0.000508,
68.573441,0.045279,0.000519,
68.581108,0.046541,0.000516,
68.588753,0.048402,0.000502,
68.596451,0.047999,0.000520,
68.604118,0.045960,0.000526,
68.611771,0.044809,0.000522,
68.619423,0.044276,0.000498,
68.627113,0.043981,0.000542,
68.634796,0.043831,0.000544,
68.642456,0.043928,0.000531,
68.650116,0.044167,0.000525,
68.657791,0.044317,0.000545,
68.665443,0.044425,0.000519,
68.673134,0.044523,0.000530,
68.680756,0.044649,0.000505,
68.688446,0.044882,0.000553,
68.696098,0.045129,0.000535,
68.703789,0.045350,0.000540,
68.711449,0.045535,0.000520,
68.719116,0.045835,0.000529,
68.726784,0.046256,0.000527,
68.734489,0.046822,0.000564,
68.742126,0.047258,0.000540,
68.749756,0.047763,0.000531,
68.757469,0.048240,0.000548,
68.765091,0.048625,0.000520,
68.772789,0.049114,0.000535,
68.780457,0.049707,0.000533,
68.788124,0.050124,0.000522,
68.795792,0.050597,0.000538,
68.803436,0.051079,0.000521,
68.811096,0.051551,0.000533,
68.818771,0.052158,0.000547,
68.826447,0.052900,0.000534,
68.834137,0.053703,0.000532,
68.841805,0.054432,0.000551,
68.849434,0.055156,0.000525,
68.857132,0.055850,0.000548,
68.864807,0.056627,0.000548,
68.872444,0.057436,0.000555,
68.880112,0.058216,0.000562,
68.887787,0.058935,0.000541,
68.895447,0.059645,0.000515,
68.903114,0.060310,0.000527,
68.910774,0.060920,0.000536,
68.918449,0.061746,0.000536,
68.926125,0.062681,0.000549,
68.933777,0.063784,0.000548,
68.941483,0.064821,0.000549,
68.949104,0.065768,0.000541,
68.956787,0.066822,0.000546,
68.964455,0.067832,0.000542,
68.972107,0.068822,0.000526,
68.979774,0.069857,0.000527,
68.987442,0.070915,0.000531,
68.995117,0.071894,0.000534,
69.002762,0.072848,0.000547,
69.010414,0.073778,0.000532,
69.018112,0.074743,0.000523,
69.025780,0.075823,0.000528,
69.033447,0.076966,0.000539,
69.041100,0.078256,0.000529,
69.048790,0.079683,0.000536,
69.056450,0.081016,0.000546,
69.064095,0.082262,0.000554,
69.071747,0.083511,0.000523,
69.079468,0.084814,0.000563,
69.087097,0.085990,0.000534,
69.094772,0.087153,0.000540,
69.102432,0.088415,0.000511,
69.110123,0.089575,0.000547,
69.117790,0.090783,0.000538,
69.125420,0.091946,0.000531,
69.133125,0.093243,0.000529,
69.140793,0.094615,0.000546,
69.148438,0.096120,0.000530,
69.156105,0.097661,0.000535,
69.163795,0.099224,0.000549,
69.171410,0.100682,0.000519,
69.179115,0.102029,0.000543,
69.186768,0.103331,0.000542,
69.194427,0.104591,0.000543,
69.202110,0.105865,0.000551,
69.209785,0.107175,0.000549,
69.217445,0.108392,0.000547,
69.225098,0.109594,0.000526,
69.232750,0.110827,0.000514,
69.240440,0.112257,0.000534,
69.248100,0.113754,0.000555,
69.255753,0.115343,0.000543,
69.263443,0.116890,0.000540,
69.271118,0.118403,0.000545,
69.278755,0.119806,0.000528,
69.286438,0.121106,0.000558,
69.294090,0.122454,0.000515,
69.301773,0.123689,0.000547,
69.309441,0.124834,0.000546,
69.317078,0.125816,0.000543,
69.324738,0.126857,0.000527,
69.332451,0.127957,0.000536,
69.340111,0.129262,0.000536,
69.347786,0.130741,0.000559,
69.355431,0.132153,0.000539,
69.363098,0.133513,0.000541,
69.370766,0.134852,0.000525,
69.378426,0.136175,0.000550,
69.386047,0.137517,0.000500,
69.393761,0.138651,0.000542,
69.401451,0.139617,0.000532,
69.409096,0.140436,0.000542,
69.416763,0.141152,0.000531,
69.424438,0.142034,0.000550,
69.432106,0.142987,0.000542,
69.439735,0.143863,0.000541,
69.447395,0.144753,0.000512,
69.455109,0.145772,0.000564,
69.462761,0.147004,0.000515,
69.470444,0.148187,0.000554,
69.478104,0.149180,0.000540,
69.485771,0.150047,0.000554,
69.493431,0.150777,0.000524,
69.501076,0.151573,0.000511,
69.508766,0.152166,0.000539,
69.516426,0.152523,0.000551,
69.524117,0.152739,0.000553,
69.531746,0.153090,0.000515,
69.539406,0.153637,0.000511,
69.547096,0.154092,0.000541,
69.554764,0.154529,0.000520,
69.562416,0.155064,0.000528,
69.570068,0.155779,0.000524,
69.577744,0.156465,0.000520,
69.585449,0.156874,0.000557,
69.593109,0.157193,0.000527,
69.600754,0.157483,0.000542,
69.608421,0.157755,0.000535,
69.616104,0.157575,0.000546,
69.623749,0.157286,0.000544,
69.631386,0.157059,0.000530,
69.639091,0.156878,0.000552,
69.646782,0.156780,0.000575,
69.654427,0.156676,0.000535,
69.662086,0.156632,0.000538,
69.669746,0.156794,0.000523,
69.677422,0.156834,0.000547,
69.685081,0.156767,0.000522,
69.692764,0.156639,0.000569,
69.700432,0.156496,0.000542,
69.708076,0.156100,0.000539,
69.715767,0.155445,0.000544,
69.723412,0.154600,0.000521,
69.731079,0.153859,0.000524,
69.738754,0.153137,0.000539,
69.746414,0.152365,0.000531,
69.754066,0.151561,0.000542,
69.761734,0.150932,0.000536,
69.769424,0.150497,0.000541,
69.777084,0.150057,0.000528,
69.784752,0.149391,0.000550,
69.792427,0.148715,0.000545,
69.800095,0.148042,0.000545,
69.807770,0.147134,0.000555,
69.815399,0.145921,0.000551,
69.823074,0.144552,0.000551,
69.830742,0.143236,0.000534,
69.838432,0.141923,0.000558,
69.846069,0.140439,0.000518,
69.853767,0.139010,0.000551,
69.861389,0.137777,0.000516,
69.869064,0.136747,0.000516,
69.876740,0.135694,0.000530,
69.884407,0.134495,0.000541,
69.892082,0.133313,0.000543,
69.899765,0.132112,0.000551,
69.907440,0.130741,0.000545,
69.915100,0.129197,0.000545,
69.922745,0.127480,0.000533,
69.930412,0.125640,0.000534,
69.938080,0.123832,0.000540,
69.945732,0.121949,0.000534,
69.953377,0.120067,0.000513,
69.961067,0.118251,0.000521,
69.968742,0.116699,0.000535,
69.976440,0.115146,0.000538,
69.984108,0.113524,0.000557,
69.991745,0.111910,0.000538,
69.999413,0.110292,0.000530,
70.007072,0.108584,0.000537,
70.014763,0.106815,0.000533,
70.022415,0.104778,0.000552,
70.030083,0.102679,0.000526,
70.037750,0.100606,0.000534,
70.045410,0.098544,0.000537,
70.053062,0.096430,0.000538,
70.060745,0.094200,0.000517,
70.068413,0.092160,0.000556,
70.076065,0.090281,0.000544,
70.083733,0.088566,0.000534,
70.091415,0.086774,0.000531,
70.099098,0.084866,0.000559,
70.106750,0.083011,0.000527,
70.114418,0.081145,0.000547,
70.122086,0.079258,0.000548,
70.129723,0.077179,0.000536,
70.137390,0.075051,0.000538,
70.145096,0.072836,0.000538,
70.152771,0.070670,0.000562,
70.160423,0.068667,0.000543,
70.168068,0.066768,0.000512,
70.175774,0.064867,0.000574,
70.183411,0.063033,0.000553,
70.191063,0.061309,0.000519,
70.198723,0.059687,0.000541,
70.206360,0.058032,0.000524,
70.214073,0.056369,0.000538,
70.221733,0.054707,0.000529,
70.229431,0.052861,0.000553,
70.237061,0.050983,0.000549,
70.244743,0.049204,0.000528,
70.252403,0.047595,0.000529,
70.260063,0.045910,0.000553,
70.267731,0.044373,0.000527,
70.275421,0.042734,0.000557,
70.283089,0.041276,0.000531,
70.290756,0.039882,0.000565,
70.298401,0.038609,0.000522,
70.306084,0.037373,0.000554,
70.313736,0.036163,0.000554,
70.321411,0.034965,0.000563,
70.329071,0.033699,0.000544,
70.336746,0.032507,0.000547,
70.344406,0.031185,0.000524,
70.352066,0.030038,0.000528,
70.359749,0.028969,0.000532,
70.367378,0.027894,0.000514,
70.375076,0.026857,0.000540,
