Piezo Voltage (V),Fine In 1 (V),Fine In 2 (V),
66.515877,0.353021,0.000545,0
66.523552,0.35288,0.000542,0.003644574
66.531204,0.352818,0.000537,0.007278227
66.538872,0.352753,0.000531,0.010919477
66.54657,0.35278,0.000548,0.014574974
66.554199,0.352655,0.000524,0.018197705
66.561882,0.352479,0.000528,0.021846078
66.569534,0.352298,0.000525,0.02547973
66.577217,0.352188,0.000529,0.029128104
66.584877,0.351919,0.000528,0.032765555
66.592522,0.351545,0.000517,0.036395884
66.60022,0.351484,0.000525,0.04005138
66.607872,0.351541,0.000532,0.043685033
66.615562,0.351426,0.000559,0.04733673
66.62323,0.351208,0.000547,0.050977981
66.630875,0.351102,0.000526,0.054608309
66.638519,0.351122,0.000517,0.058238163
66.646194,0.35112,0.000513,0.061882737
66.653877,0.351089,0.000546,0.065531111
66.661514,0.351086,0.00051,0.06915764
66.66925,0.35116,0.000557,0.072831181
66.676857,0.351291,0.000522,0.076443465
66.684547,0.351151,0.000538,0.080095163
66.692223,0.350944,0.000529,0.083740212
66.69989,0.350856,0.000545,0.087380987
66.707527,0.350673,0.000528,0.091007517
66.715195,0.3504,0.000514,0.094648767
66.722847,0.35002,0.000522,0.09828242
66.730522,0.349826,0.000517,0.101926995
66.738228,0.349759,0.00055,0.10558629
66.745888,0.349798,0.000544,0.109223741
66.753525,0.349771,0.000504,0.112850271
66.761192,0.349723,0.000515,0.116491046
66.768852,0.349821,0.00051,0.120128498
66.776543,0.349965,0.00054,0.12378067
66.784187,0.350124,0.000515,0.127410524
66.791824,0.350196,0.000495,0.131037054
66.799538,0.350111,0.00052,0.134700148
66.807228,0.349976,0.000551,0.138351845
66.81488,0.349795,0.000534,0.141985498
66.82254,0.349547,0.000525,0.145622949
66.830208,0.349221,0.000522,0.1492642
66.837875,0.348852,0.000522,0.152904975
66.845543,0.348772,0.000563,0.156546226
66.853172,0.348652,0.000519,0.160168956
66.86087,0.348625,0.000526,0.163824453
66.868538,0.348605,0.000531,0.167465703
66.876213,0.348688,0.00055,0.171110277
66.883881,0.348613,0.00054,0.174751528
66.891541,0.348649,0.000534,0.178388979
66.899178,0.348675,0.000508,0.182015509
66.906868,0.348735,0.000525,0.185667206
66.91452,0.348632,0.000539,0.189300859
66.922211,0.348388,0.00054,0.192953031
66.929871,0.348133,0.000524,0.196590483
66.937538,0.347772,0.000524,0.200231258
66.945183,0.347484,0.000502,0.203861587
66.952888,0.347257,0.000536,0.207520407
66.960541,0.347028,0.000531,0.211154535
66.968193,0.346759,0.000525,0.214788187
66.975853,0.346492,0.000536,0.218425639
66.983513,0.346377,0.000552,0.22206309
66.991196,0.346349,0.00052,0.225711464
66.998863,0.346371,0.000534,0.229352239
67.006554,0.346444,0.000552,0.233004411
67.014229,0.346319,0.000551,0.236648986
67.021866,0.346176,0.000527,0.240275516
67.029526,0.34606,0.000525,0.243912967
67.037186,0.34584,0.000529,0.247550419
67.044891,0.34557,0.00055,0.251209239
67.052528,0.345203,0.000525,0.254835769
67.060242,0.34472,0.000565,0.258498863
67.067871,0.344299,0.000534,0.262121593
67.075523,0.343875,0.000508,0.265755246
67.083206,0.343684,0.000546,0.269403619
67.090866,0.343657,0.000522,0.273041071
67.098526,0.343655,0.000528,0.276678522
67.106163,0.343587,0.000517,0.280305052
67.113869,0.34349,0.000531,0.283964347
67.121536,0.343424,0.000539,0.287605123
67.129196,0.343373,0.00052,0.291242574
67.136879,0.343175,0.000531,0.294890948
67.144531,0.343028,0.000541,0.2985246
67.152206,0.34279,0.000548,0.302169175
67.159843,0.342421,0.00053,0.305795704
67.167496,0.341983,0.000524,0.309429832
67.175201,0.341549,0.000543,0.313088652
67.182877,0.341268,0.000547,0.316733702
67.190536,0.341,0.000532,0.320370678
67.198219,0.340768,0.000565,0.324019052
67.205872,0.34074,0.000533,0.327653179
67.213539,0.340651,0.000547,0.331293955
67.221176,0.340452,0.000532,0.334920484
67.228836,0.340272,0.00051,0.338557936
67.236496,0.340154,0.000507,0.342195387
67.244202,0.340088,0.000518,0.345854682
67.251869,0.339916,0.000538,0.349495458
67.259521,0.339656,0.000519,0.353129111
67.267181,0.339344,0.000523,0.356766562
67.274841,0.338997,0.000516,0.360404014
67.282509,0.338502,0.00052,0.364045264
67.290169,0.337935,0.000532,0.367682715
67.297859,0.337499,0.000527,0.371334413
67.305511,0.337139,0.000508,0.374968065
67.313194,0.336787,0.000536,0.378616439
67.320877,0.336572,0.000538,0.382264812
67.328514,0.336349,0.000522,0.385891342
67.336189,0.336199,0.00052,0.389535916
67.343849,0.335994,0.000526,0.393173368
67.351494,0.335814,0.000524,0.396803696
67.359184,0.335608,0.000533,0.400455394
67.366859,0.335195,0.000529,0.404099968
67.37455,0.334679,0.000562,0.40775214
67.382187,0.33404,0.000523,0.41137867
67.389847,0.333296,0.000512,0.415016122
67.39753,0.332579,0.000541,0.418664495
67.405197,0.331922,0.000544,0.422305271
67.412849,0.331432,0.000542,0.425938923
67.420502,0.331153,0.00052,0.429573051
67.428169,0.330864,0.000513,0.433213826
67.435867,0.330568,0.000539,0.436869322
67.443504,0.330337,0.00052,0.440495852
67.451164,0.329836,0.000492,0.444133304
67.45887,0.329448,0.000543,0.447792599
67.466537,0.32909,0.000542,0.451433374
67.474174,0.328605,0.000538,0.455059904
67.481827,0.327926,0.000525,0.458694031
67.489532,0.327128,0.000535,0.462352852
67.497177,0.326259,0.000532,0.46598318
67.504845,0.325626,0.000525,0.469624431
67.512512,0.325214,0.000532,0.473265206
67.520203,0.324774,0.000548,0.476917379
67.52787,0.324285,0.000529,0.480558154
67.5355,0.323794,0.000528,0.48418136
67.543175,0.323301,0.000531,0.487825934
67.55085,0.322916,0.000524,0.491470509
67.55854,0.322499,0.000539,0.495122206
67.566185,0.322022,0.000536,0.498752535
67.573845,0.321555,0.000521,0.502389986
67.581512,0.320998,0.00052,0.506030762
67.589172,0.320466,0.000524,0.509668213
67.59684,0.319859,0.000517,0.513309464
67.6045,0.319095,0.000531,0.516946915
67.61219,0.318334,0.000534,0.520598612
67.619843,0.31761,0.000528,0.52423274
67.62751,0.316945,0.000522,0.527873515
67.63517,0.316312,0.000531,0.531510967
67.642838,0.315621,0.00051,0.535152217
67.650505,0.314954,0.000519,0.538792993
67.658173,0.314378,0.000513,0.542434243
67.665817,0.314037,0.000529,0.546064097
67.673508,0.313654,0.000515,0.549716269
67.68119,0.313281,0.000543,0.553364168
67.688843,0.312758,0.000519,0.556998295
67.69651,0.312,0.000526,0.560639071
67.704178,0.311205,0.000524,0.564280321
67.71183,0.310218,0.000529,0.567913974
67.71949,0.309041,0.000505,0.571551425
67.72718,0.307833,0.000555,0.575203123
67.734848,0.306751,0.000534,0.578844373
67.742516,0.30602,0.000519,0.582485624
67.750191,0.305217,0.000528,0.586130198
67.757828,0.304476,0.000526,0.589756728
67.765518,0.30391,0.000524,0.593408425
67.773163,0.303391,0.000514,0.597038754
67.78083,0.302853,0.000517,0.600679529
67.78849,0.302061,0.000495,0.604316981
67.796127,0.301175,0.000482,0.60794351
67.803795,0.300201,0.000486,0.611584761
67.811348,0.29915,0.000367,0.615171402
67.818848,0.298032,0.000202,0.618732875
