Piezo Voltage (V),Fine In 1 (V),Fine In 2 (V)
61.547581,0.401945,0.412484
61.550541,0.401999,0.412797
61.553509,0.402144,0.412906
61.556469,0.402294,0.412715
61.559422,0.402405,0.4129
61.562397,0.402509,0.413402
61.565357,0.402283,0.413069
61.568325,0.402588,0.413
61.571293,0.403133,0.413651
61.574261,0.403044,0.413534
61.577213,0.402653,0.41311
61.580173,0.403036,0.413357
61.583149,0.40391,0.413991
61.586102,0.403613,0.413434
61.589069,0.402873,0.412805
61.592037,0.403454,0.413525
61.594997,0.404169,0.413648
61.597965,0.403645,0.412759
61.600925,0.402922,0.412527
61.603886,0.403443,0.412938
61.606853,0.403979,0.412706
61.609814,0.403477,0.411855
61.612774,0.402587,0.411801
61.615742,0.402723,0.411786
61.61871,0.40327,0.411339
61.621677,0.402608,0.410834
61.62463,0.401924,0.410894
61.627598,0.401625,0.410451
61.63055,0.402143,0.409941
61.633518,0.401889,0.409881
61.636486,0.401024,0.409987
61.639454,0.400513,0.409388
61.642414,0.400793,0.408817
61.645374,0.400915,0.409067
61.648342,0.400355,0.409148
61.651295,0.399781,0.40851
61.65427,0.399664,0.407988
61.657238,0.399919,0.408444
61.660191,0.399899,0.408722
61.663158,0.399681,0.408361
61.666126,0.399699,0.408098
61.669079,0.399513,0.408388
61.672031,0.399551,0.408745
61.675014,0.399797,0.408569
61.677982,0.400089,0.408466
61.680943,0.400227,0.408929
61.683903,0.399924,0.409027
61.686871,0.399927,0.408863
61.689831,0.40055,0.408901
61.692783,0.401195,0.40937
61.695759,0.401037,0.409465
61.698719,0.400602,0.409002
61.701687,0.400421,0.4087
61.704655,0.401227,0.409011
61.707607,0.401668,0.409274
61.710575,0.401523,0.4088
61.713535,0.400845,0.40816
61.716496,0.400384,0.407779
61.719463,0.400878,0.408079
61.722431,0.401304,0.40808
61.725399,0.40115,0.407534
61.728359,0.400394,0.406747
61.731319,0.399651,0.406542
61.734287,0.39959,0.406524
61.737247,0.399958,0.406342
61.740215,0.400036,0.405797
61.743176,0.399593,0.405141
61.746136,0.398678,0.405013
61.749104,0.39813,0.405032
61.752071,0.397931,0.404496
61.755024,0.398099,0.403975
61.757992,0.398101,0.403551
61.76096,0.397885,0.403871
61.763912,0.397377,0.403919
61.76688,0.39698,0.403516
61.769848,0.396735,0.403021
61.772816,0.396513,0.402557
61.775776,0.396784,0.403074
61.778736,0.396782,0.403442
61.781704,0.396781,0.403394
61.784649,0.396708,0.40314
61.787632,0.396867,0.402845
61.790592,0.396761,0.403036
61.793552,0.396977,0.403469
61.79652,0.39707,0.403579
61.799488,0.397265,0.403521
61.802441,0.397443,0.403319
61.805393,0.397946,0.403512
61.808376,0.398028,0.403653
61.811344,0.397775,0.40351
61.814304,0.397574,0.403091
61.817265,0.39762,0.402836
61.820232,0.39795,0.40278
61.823185,0.398377,0.40298
61.826145,0.398316,0.40269
61.829121,0.397803,0.402171
61.832081,0.397163,0.401414
61.835049,0.396764,0.401067
61.838009,0.397019,0.401157
61.840969,0.397515,0.40119
61.843937,0.397497,0.40082
61.846897,0.39705,0.400024
61.849857,0.39609,0.399336
61.852825,0.395287,0.399101
61.855793,0.39506,0.399021
61.858761,0.395188,0.39869
61.861713,0.395322,0.398173
61.864681,0.39518,0.397627
61.867634,0.394379,0.397471
61.870609,0.393917,0.397535
61.873569,0.393244,0.397056
61.876537,0.393359,0.39658
61.879498,0.393532,0.396277
61.882465,0.393708,0.396584
61.885426,0.393308,0.396733
61.888386,0.392966,0.396586
61.891354,0.392828,0.396213
61.894321,0.392851,0.395743
61.897289,0.393219,0.396225
61.900242,0.393481,0.396718
61.90321,0.393394,0.396649
61.906178,0.393268,0.396252
61.90913,0.393281,0.395887
61.912098,0.393578,0.396224
61.915066,0.39378,0.396433
61.918018,0.393938,0.396251
61.920994,0.394036,0.395824
61.923954,0.394099,0.395729
61.926914,0.394041,0.395794
61.929882,0.393758,0.395393
61.932842,0.3936,0.394923
61.935802,0.393693,0.394492
61.938755,0.394018,0.39461
61.941738,0.39381,0.394294
61.944706,0.392968,0.393435
61.947659,0.392334,0.392719
61.950626,0.392411,0.392713
61.953594,0.393027,0.392777
61.956547,0.392543,0.392024
61.959492,0.391616,0.391111
61.962482,0.390698,0.390732
61.965443,0.390944,0.390849
61.96841,0.391333,0.390454
61.971371,0.390723,0.389586
61.974331,0.389773,0.389308
61.977299,0.389168,0.389126
61.980244,0.389603,0.388882
61.983219,0.38971,0.388284
61.986187,0.388996,0.388218
61.989155,0.388441,0.388154
61.992123,0.388254,0.387628
61.995075,0.388736,0.387288
61.998043,0.388716,0.38767
62.000996,0.388211,0.387754
62.003971,0.388021,0.387114
62.006931,0.388388,0.386844
62.009899,0.388772,0.387497
62.012859,0.388613,0.387573
62.015827,0.388402,0.386849
62.018787,0.388493,0.386689
62.021748,0.388983,0.387318
62.024715,0.388999,0.38725
62.027683,0.388893,0.386397
62.030636,0.388657,0.386237
62.033604,0.38884,0.386445
