"Piezo Voltage (V)","Fine In 1 (V)","Fine In 2 (V)",
63.127987,0.367761,0.347574,
63.131786,0.367288,0.347591,
63.135586,0.366854,0.347569,
63.139378,0.367294,0.347699,
63.143169,0.367981,0.347861,
63.146961,0.368264,0.348380,
63.150745,0.368246,0.349146,
63.154522,0.367487,0.349239,
63.158337,0.367106,0.349215,
63.162128,0.367420,0.349484,
63.165920,0.368183,0.350394,
63.169720,0.368901,0.351485,
63.173504,0.368932,0.352005,
63.177296,0.368603,0.352109,
63.181072,0.368600,0.352438,
63.184879,0.368959,0.353282,
63.188679,0.369696,0.354312,
63.192463,0.370609,0.355365,
63.196255,0.371031,0.355888,
63.200047,0.371052,0.356172,
63.203838,0.371377,0.356818,
63.207623,0.371940,0.357854,
63.211422,0.372537,0.358545,
63.215214,0.372965,0.358809,
63.219013,0.373374,0.359094,
63.222797,0.373639,0.359547,
63.226597,0.373886,0.360362,
63.230381,0.374247,0.360954,
63.234173,0.374382,0.361174,
63.237972,0.374343,0.361019,
63.241756,0.374240,0.361105,
63.245556,0.374512,0.361741,
63.249340,0.374809,0.362572,
63.253124,0.375192,0.362871,
63.256931,0.375207,0.362837,
63.260715,0.375050,0.362743,
63.264515,0.374575,0.362909,
63.268307,0.374294,0.363550,
63.272091,0.374545,0.364096,
63.275890,0.374964,0.364366,
63.279659,0.375403,0.364534,
63.283474,0.375526,0.364899,
63.287266,0.375185,0.365675,
63.291050,0.374756,0.366111,
63.294849,0.374931,0.366470,
63.298641,0.375633,0.366845,
63.302433,0.376528,0.367654,
63.306210,0.377049,0.368768,
63.310024,0.377052,0.369424,
63.313808,0.376742,0.369577,
63.317600,0.377092,0.369844,
63.321392,0.377918,0.370577,
63.325184,0.379128,0.371649,
63.328983,0.379360,0.372115,
63.332745,0.379115,0.372106,
63.336559,0.378976,0.372170,
63.340359,0.379131,0.372519,
63.344143,0.380089,0.373284,
63.347942,0.380567,0.373519,
63.351734,0.380467,0.373376,
63.355518,0.379954,0.373354,
63.359295,0.379888,0.373777,
63.363102,0.380010,0.374060,
63.366901,0.380159,0.373956,
63.370693,0.380163,0.373824,
63.374477,0.379988,0.374225,
63.378277,0.379803,0.374667,
63.382069,0.379683,0.374647,
63.385845,0.379470,0.374283,
63.389652,0.379505,0.374714,
63.393436,0.379727,0.375537,
63.397236,0.379920,0.375952,
63.401028,0.379904,0.375701,
63.404819,0.379472,0.375764,
63.408611,0.379731,0.376724,
63.412395,0.380232,0.377487,
63.416195,0.380989,0.377716,
63.419987,0.380998,0.377718,
63.423779,0.380826,0.378432,
63.427570,0.381199,0.379181,
63.431370,0.382059,0.379418,
63.435154,0.382709,0.379499,
63.438938,0.382562,0.380097,
63.442738,0.382261,0.380367,
63.446529,0.382755,0.380281,
63.450329,0.383500,0.380376,
63.454113,0.383601,0.380822,
63.457905,0.382857,0.380894,
63.461697,0.382892,0.380496,
63.465488,0.383572,0.380648,
63.469288,0.383819,0.381135,
63.473072,0.383062,0.380962,
63.476864,0.382279,0.380224,
63.480663,0.382879,0.380512,
63.484440,0.383163,0.380934,
63.488247,0.382400,0.380462,
63.492031,0.381728,0.380028,
63.495823,0.381972,0.380424,
63.499622,0.382229,0.380702,
63.503407,0.381927,0.380413,
63.507206,0.381557,0.380390,
63.510983,0.381622,0.380849,
63.514782,0.381648,0.380939,
63.518581,0.381868,0.381066,
63.522366,0.382064,0.381601,
63.526165,0.382236,0.381978,
63.529957,0.382071,0.381922,
63.533741,0.382601,0.382192,
63.537518,0.383241,0.382969,
63.541332,0.383214,0.382912,
63.545124,0.382870,0.382468,
63.548916,0.383349,0.383079,
63.552715,0.384270,0.383591,
63.556499,0.383903,0.382968,
63.560291,0.383363,0.382659,
63.564068,0.383828,0.383298,
63.567875,0.384465,0.383266,
63.571674,0.383768,0.382328,
63.575459,0.383095,0.382293,
63.579250,0.383546,0.382599,
63.583050,0.383821,0.382054,
63.586834,0.382917,0.381326,
63.590611,0.382275,0.381516,
63.594425,0.382627,0.381347,
63.598209,0.382623,0.380741,
63.602009,0.381846,0.380671,
63.605793,0.381063,0.380734,
63.609592,0.381410,0.380156,
63.613384,0.381505,0.380066,
63.617161,0.380934,0.380427,
63.620968,0.380402,0.380182,
63.624760,0.380786,0.379741,
63.628551,0.381248,0.380265,
63.632343,0.381039,0.380716,
63.636127,0.380842,0.380298,
63.639927,0.381137,0.380153,
63.643711,0.381704,0.380821,
63.647511,0.381655,0.380889,
63.651302,0.381667,0.380316,
63.655087,0.381677,0.380351,
63.658886,0.381896,0.380657,
63.662678,0.382154,0.380482,
63.666470,0.382149,0.379859,
63.670261,0.381747,0.379770,
63.674061,0.381474,0.379548,
63.677845,0.381632,0.378933,
63.681637,0.381752,0.378478,
63.685429,0.381162,0.378330,
63.689213,0.380321,0.377692,
63.693020,0.380255,0.377005,
63.696804,0.380667,0.376949,
63.700596,0.380229,0.376785,
63.704388,0.378960,0.375711,
63.708179,0.378473,0.375055,
63.711979,0.378938,0.375161,
63.715740,0.378753,0.375002,
63.719555,0.377771,0.374052,
63.723354,0.376967,0.373509,
63.727139,0.377545,0.373877,
63.730938,0.377883,0.373812,
63.734722,0.377332,0.373168,
63.738514,0.376612,0.372680,
63.742290,0.376838,0.373174,
63.746098,0.377595,0.373210,
63.749897,0.377592,0.372654,
63.753689,0.377137,0.372339,
63.757473,0.376810,0.372504,
63.761272,0.377255,0.372280,
63.765064,0.377693,0.371616,
63.768833,0.377573,0.371163,
63.772648,0.377181,0.371232,
63.776432,0.376839,0.370752,
63.780231,0.376622,0.369776,
63.784023,0.376506,0.368891,
63.787815,0.376460,0.368810,
63.791607,0.376050,0.368511,
63.795383,0.375548,0.367609,
63.799191,0.374826,0.366280,
63.802982,0.374236,0.365642,
63.806782,0.373867,0.365459,
63.810566,0.373606,0.364972,
63.814365,0.373340,0.364066,
63.818157,0.372734,0.362914,
63.821926,0.371957,0.362397,
63.825741,0.371142,0.362077,
63.829525,0.370859,0.361614,
63.833324,0.370646,0.360854,
63.837116,0.370979,0.360371,
63.840900,0.370757,0.360263,
63.844700,0.370158,0.359905,
63.848476,0.369602,0.359291,
63.852283,0.369419,0.358750,
63.856075,0.370025,0.358477,
63.859859,0.370499,0.358521,
63.863659,0.370213,0.358052,
63.867443,0.369726,0.357361,
63.871243,0.369156,0.356372,
63.875027,0.368931,0.355681,
63.878819,0.369263,0.355395,
63.882618,0.369576,0.355032,
63.886410,0.369302,0.354237,
63.890202,0.368451,0.352961,
63.893993,0.367255,0.351862,
63.897778,0.366655,0.351220,
63.901577,0.366456,0.350560,
63.905369,0.366444,0.349601,
63.909161,0.366165,0.348502,
63.912952,0.365307,0.347470,
63.916737,0.364345,0.346708,
63.920528,0.363383,0.345967,
63.924328,0.362775,0.344983,
63.928120,0.362179,0.343798,
63.931911,0.361935,0.342820,
63.935711,0.361662,0.342358,
63.939495,0.361104,0.342048,
63.943287,0.360588,0.341339,
63.947056,0.360157,0.340363,
63.950871,0.359808,0.339283,
63.954670,0.359605,0.338763,
63.958454,0.359596,0.338677,
63.962246,0.359461,0.338375,
63.966045,0.359164,0.337549,
63.969830,0.359069,0.336455,
63.973606,0.358735,0.335484,
63.977413,0.358499,0.334953,
