"Piezo Voltage (V)";"Fine In 1 (V)";"Fine In 2 (V)";
72.780220;0.301944;0.310807;
72.783272;0.301948;0.310601;
72.786324;0.301393;0.310045;
72.789375;0.301054;0.309790;
72.792427;0.301293;0.310329;
72.795479;0.301923;0.310814;
72.798523;0.302145;0.310615;
72.801575;0.301744;0.310090;
72.804626;0.301182;0.310103;
72.807678;0.301071;0.310670;
72.810730;0.301783;0.310846;
72.813782;0.302271;0.310606;
72.816826;0.302029;0.310396;
72.819878;0.301690;0.310764;
72.822929;0.301373;0.310857;
72.825981;0.302104;0.310642;
72.829033;0.302567;0.310613;
72.832077;0.302642;0.311019;
72.835129;0.302050;0.311092;
72.838181;0.301958;0.310665;
72.841232;0.302618;0.310521;
72.844284;0.303041;0.310975;
72.847336;0.302675;0.311081;
72.850372;0.301964;0.310529;
72.853424;0.302305;0.310217;
72.856476;0.302986;0.310710;
72.859528;0.302923;0.310784;
72.862579;0.302296;0.310300;
72.865631;0.302047;0.309809;
72.868675;0.302421;0.310228;
72.871727;0.302556;0.310257;
72.874779;0.302101;0.309759;
72.877831;0.301754;0.309515;
72.880882;0.301610;0.309623;
72.883926;0.301592;0.309489;
72.886978;0.301537;0.309132;
72.890030;0.301444;0.309276;
72.893082;0.301335;0.309401;
72.896133;0.300712;0.308887;
72.899185;0.300579;0.308585;
72.902229;0.300965;0.309077;
72.905281;0.300823;0.308980;
72.908333;0.300077;0.308303;
72.911385;0.299790;0.308473;
72.914436;0.300670;0.309104;
72.917473;0.300743;0.308827;
72.920525;0.299902;0.308306;
72.923576;0.299684;0.308717;
72.926628;0.300672;0.309279;
72.929680;0.300828;0.308741;
72.932732;0.300069;0.308647;
72.935776;0.300098;0.309069;
72.938828;0.300929;0.309073;
72.941879;0.301226;0.308739;
72.944931;0.300511;0.309019;
72.947983;0.300583;0.309001;
72.951035;0.301298;0.308795;
72.954079;0.301273;0.308794;
72.957130;0.300790;0.309164;
72.960175;0.300864;0.308732;
72.963226;0.301516;0.308555;
72.966278;0.301566;0.309084;
72.969315;0.300898;0.308860;
72.972366;0.300887;0.308293;
72.975418;0.301339;0.308336;
72.978462;0.301362;0.308760;
72.981514;0.300784;0.308211;
72.984566;0.300581;0.307505;
72.987610;0.300788;0.307951;
72.990662;0.300713;0.308068;
72.993713;0.300461;0.307447;
72.996765;0.300061;0.307220;
72.999817;0.299959;0.307458;
73.002869;0.299714;0.307251;
73.005920;0.299949;0.306896;
73.008972;0.299581;0.307030;
73.012024;0.298909;0.306884;
73.015076;0.299161;0.306598;
73.018127;0.299675;0.306821;
73.021179;0.299218;0.306932;
73.024231;0.298286;0.306404;
73.027283;0.298609;0.306268;
73.030334;0.299409;0.306909;
73.033386;0.299313;0.306996;
73.036438;0.298200;0.306198;
73.039490;0.298549;0.306462;
73.042534;0.299493;0.307094;
73.045586;0.299301;0.306744;
73.048637;0.298678;0.306258;
73.051689;0.298663;0.306554;
73.054741;0.299569;0.307026;
73.057793;0.299598;0.306668;
73.060829;0.298911;0.306162;
73.063881;0.298894;0.306535;
73.066933;0.299580;0.306641;
73.069984;0.299772;0.306328;
73.073036;0.299311;0.306177;
73.076088;0.299170;0.306430;
73.079132;0.299383;0.306313;
73.082184;0.299770;0.305965;
73.085236;0.299556;0.305940;
73.088287;0.299271;0.306241;
73.091339;0.299239;0.305815;
73.094391;0.299141;0.305245;
73.097435;0.299227;0.305308;
73.100487;0.299043;0.305711;
73.103539;0.298842;0.305343;
73.106590;0.298404;0.304548;
73.109642;0.298132;0.304397;
73.112694;0.298183;0.304921;
73.115738;0.298199;0.304712;
73.118790;0.297934;0.304063;
73.121841;0.297583;0.303915;
73.124893;0.296936;0.304082;
73.127945;0.297192;0.304223;
73.130981;0.297572;0.303943;
73.134033;0.297622;0.303769;
73.137085;0.297248;0.304000;
73.140137;0.296548;0.303933;
73.143188;0.296510;0.303714;
73.146240;0.297167;0.303628;
73.149284;0.297635;0.303957;
73.152336;0.297603;0.304152;
73.155388;0.296976;0.303939;
73.158440;0.296553;0.303471;
73.161491;0.296945;0.303475;
73.164536;0.297805;0.303988;
73.167587;0.298024;0.304198;
73.170639;0.297703;0.303808;
73.173691;0.296952;0.303160;
73.176743;0.296965;0.303174;
73.179794;0.297570;0.303538;
73.182838;0.298104;0.303732;
73.185890;0.298108;0.303412;
73.188942;0.297532;0.302881;
73.191994;0.297116;0.302950;
73.195045;0.297159;0.303080;
73.198097;0.297458;0.302953;
73.201134;0.297702;0.302711;
73.204185;0.297668;0.302300;
73.207237;0.297237;0.302384;
73.210289;0.296942;0.302488;
73.213341;0.296623;0.302294;
73.216385;0.296380;0.301775;
73.219437;0.296209;0.301156;
73.222488;0.296206;0.301233;
73.225540;0.296189;0.301588;
73.228592;0.295869;0.301573;
73.231644;0.295736;0.301217;
73.234688;0.295339;0.300527;
73.237740;0.295107;0.300339;
73.240791;0.294899;0.300621;
73.243843;0.295035;0.300939;
73.246895;0.294865;0.300814;
73.249939;0.295217;0.300528;
73.252991;0.295172;0.300219;
73.256042;0.295071;0.300348;
73.259094;0.294693;0.300483;
73.262146;0.294534;0.300483;
73.265198;0.294563;0.300179;
73.268234;0.295023;0.300014;
73.271286;0.295449;0.300216;
