"Piezo Voltage (V)","Fine In 1 (V)","Fine In 2 (V)",
49.786098,0.597967,0.522585,
49.811722,0.596201,0.521408,
49.837368,0.596216,0.521212,
49.863010,0.597111,0.521644,
49.888638,0.597572,0.522312,
49.914291,0.596711,0.522074,
49.939945,0.594460,0.520515,
49.965569,0.593526,0.519388,
49.991215,0.595021,0.519970,
50.016850,0.596627,0.521258,
50.042492,0.596408,0.521528,
50.068146,0.593804,0.519923,
50.093773,0.592629,0.518658,
50.119427,0.593845,0.519059,
50.145081,0.596219,0.520862,
50.170704,0.595663,0.520922,
50.196358,0.593579,0.519507,
50.222012,0.592411,0.518437,
50.247639,0.594083,0.519040,
50.273281,0.595616,0.520571,
50.298935,0.594745,0.520383,
50.324562,0.592705,0.518826,
50.350216,0.593338,0.518590,
50.375843,0.595375,0.519765,
50.401497,0.595319,0.520209,
50.427151,0.592727,0.518986,
50.452785,0.591677,0.518194,
50.478428,0.593953,0.519005,
50.504093,0.596123,0.520366,
50.529728,0.594858,0.519595,
50.555370,0.591761,0.517888,
50.581024,0.591908,0.518147,
50.606651,0.594035,0.519559,
50.632305,0.594555,0.519821,
50.657928,0.592694,0.517967,
50.683582,0.592130,0.517521,
50.709229,0.594060,0.519131,
50.734863,0.594618,0.520030,
50.760498,0.592294,0.518407,
50.786140,0.590703,0.516607,
50.811775,0.592945,0.517930,
50.837421,0.595051,0.519785,
50.863075,0.593845,0.519273,
50.888699,0.590733,0.516958,
50.914352,0.591166,0.516663,
50.940006,0.593807,0.518729,
50.965633,0.594188,0.519379,
50.991287,0.591662,0.517508,
51.016911,0.590917,0.516497,
51.042564,0.592922,0.517819,
51.068211,0.593978,0.519105,
51.093845,0.591586,0.517534,
51.119488,0.590285,0.516029,
51.145142,0.592056,0.516798,
51.170769,0.593622,0.518591,
51.196423,0.591974,0.517803,
51.222076,0.589915,0.515958,
51.247700,0.590895,0.516140,
51.273354,0.592952,0.517736,
51.299000,0.592239,0.517787,
51.324642,0.590195,0.516043,
51.350277,0.590627,0.515784,
51.375923,0.592258,0.516955,
51.401577,0.591780,0.517376,
51.427231,0.589884,0.516044,
51.452854,0.590202,0.515436,
51.478508,0.592186,0.516564,
51.504162,0.591948,0.517225,
51.529789,0.589130,0.515744,
51.555443,0.589238,0.514929,
51.581085,0.591866,0.516059,
51.606712,0.592344,0.517159,
51.632355,0.589674,0.515849,
51.658001,0.588008,0.514384,
51.683624,0.590776,0.515337,
51.709278,0.592285,0.516834,
51.734905,0.590066,0.515896,
51.760559,0.587692,0.513937,
51.786213,0.589561,0.514503,
51.811836,0.592063,0.516532,
51.837490,0.590504,0.516012,
51.863136,0.587698,0.513681,
51.888760,0.588869,0.513976,
51.914413,0.591458,0.516139,
51.940067,0.590675,0.515917,
51.965694,0.587718,0.513552,
51.991348,0.588334,0.513548,
52.017002,0.590836,0.515754,
52.042625,0.590621,0.515767,
52.068279,0.587791,0.513343,
52.093906,0.588102,0.513431,
52.119549,0.590165,0.515198,
52.145203,0.590129,0.515210,
52.170830,0.587690,0.513151,
52.196484,0.587821,0.513256,
52.222137,0.589711,0.514667,
52.247772,0.589761,0.514759,
52.273415,0.587879,0.513281,
52.299088,0.587840,0.513132,
52.324715,0.589246,0.514106,
52.350368,0.589456,0.514461,
52.375992,0.587935,0.513442,
52.401638,0.587588,0.512704,
52.427292,0.588750,0.513524,
52.452915,0.589196,0.514337,
52.478569,0.587929,0.513463,
52.504215,0.587278,0.512226,
52.529850,0.588389,0.512931,
52.555485,0.588782,0.514202,
52.581139,0.587932,0.513234,
52.606762,0.586914,0.511773,
52.632408,0.588057,0.512868,
52.658062,0.588882,0.514286,
52.683685,0.587812,0.512929,
52.709339,0.586754,0.511468,
52.734966,0.587884,0.512882,
52.760620,0.589043,0.513937,
52.786274,0.587856,0.512508,
52.811897,0.586563,0.511372,
52.837551,0.587805,0.512806,
52.863197,0.588947,0.513468,
52.888832,0.587710,0.512286,
52.914474,0.586549,0.511639,
52.940128,0.587772,0.512588,
52.965755,0.588918,0.513204,
52.991409,0.587529,0.512378,
53.017063,0.586108,0.511461,
53.042686,0.587776,0.512148,
53.068340,0.588891,0.513075,
53.093967,0.587260,0.512366,
53.119629,0.586093,0.511178,
53.145264,0.587950,0.511857,
53.170918,0.589194,0.513251,
53.196564,0.587092,0.512241,
53.222218,0.585828,0.510754,
53.247841,0.588073,0.511752,
53.273495,0.589252,0.513428,
53.299149,0.586813,0.511995,
53.324776,0.585340,0.510385,
53.350430,0.588212,0.511747,
53.376072,0.589385,0.513339,
53.401707,0.586775,0.511649,
53.427341,0.585152,0.509962,
53.452976,0.587693,0.511389,
53.478611,0.589328,0.513164,
53.504265,0.586773,0.511243,
53.529892,0.585121,0.509587,
53.555546,0.587446,0.511253,
53.581200,0.589118,0.512788,
53.606823,0.586937,0.510888,
53.632477,0.585465,0.509345,
53.658123,0.587223,0.510937,
53.683758,0.588495,0.512086,
53.709400,0.586582,0.510174,
53.735027,0.585668,0.508900,
53.760681,0.587189,0.510426,
53.786335,0.587635,0.511066,
53.811958,0.585879,0.508913,
53.837612,0.585424,0.507934,
53.863266,0.586936,0.509522,
53.888893,0.586890,0.509859,
53.914547,0.584780,0.507375,
53.940189,0.584594,0.506397,
53.965824,0.586282,0.507891,
53.991470,0.586180,0.508210,
54.017124,0.583943,0.505646,
54.042747,0.583703,0.504499,
54.068401,0.584943,0.505460,
54.094048,0.584683,0.505490,
54.119701,0.582714,0.503243,
54.145355,0.582967,0.502183,
54.170979,0.583837,0.502519,
54.196632,0.582415,0.501554,
54.222279,0.579868,0.499186,
54.247902,0.580432,0.498357,
54.273556,0.581927,0.498408,
54.299210,0.580559,0.496689,
54.324833,0.577706,0.493938,
54.350483,0.577215,0.492903,
54.376125,0.577590,0.492428,
54.401752,0.576367,0.490021,
54.427402,0.574427,0.486836,
54.453030,0.574509,0.485870,
54.478680,0.574237,0.484925,
54.504330,0.571040,0.481273,
54.529949,0.568219,0.477072,
54.555607,0.568591,0.475778,
54.581257,0.568808,0.474708,
54.606884,0.565769,0.470748,
54.632542,0.562307,0.466023,
54.658192,0.561161,0.463376,
54.683819,0.559905,0.460703,
54.709469,0.556689,0.456032,
54.735119,0.554060,0.451490,
54.760738,0.553283,0.448430,
54.786396,0.550915,0.444809,
54.812023,0.546186,0.439254,
54.837673,0.542946,0.433927,
54.863331,0.541847,0.430260,
54.888950,0.539604,0.425599,
54.914608,0.535077,0.419168,
54.940258,0.532199,0.414764,
54.965893,0.530803,0.412294,
54.991543,0.528088,0.408677,
55.017200,0.523699,0.403538,
55.042828,0.521064,0.401000,
55.068485,0.519828,0.404475,
55.094135,0.516931,0.405465,
55.119762,0.512530,0.392376,
55.145412,0.510447,0.386685,
55.171040,0.509368,0.384265,
55.196697,0.506496,0.383424,
55.222340,0.502268,0.388583,
55.247974,0.499884,0.397528,
55.273609,0.497640,0.376407,
55.299252,0.493638,0.362505,
55.324879,0.489302,0.351682,
55.350529,0.487738,0.345081,
55.376186,0.486184,0.340377,
55.401814,0.482852,0.335165,
