"Piezo Voltage (V)";"Fine In 1 (V)";"Fine In 2 (V)";
49.785934;0.311538;0.855114;
49.811581;0.312880;0.857312;
49.837204;0.313095;0.856951;
49.862858;0.312494;0.854998;
49.888512;0.311584;0.853244;
49.914139;0.311378;0.853157;
49.939793;0.312014;0.855183;
49.965446;0.312730;0.857241;
49.991089;0.312547;0.856397;
50.016743;0.311883;0.853515;
50.042370;0.311377;0.851825;
50.068024;0.312094;0.853631;
50.093666;0.312514;0.855991;
50.119293;0.312109;0.855792;
50.144947;0.310767;0.852157;
50.170601;0.310860;0.850807;
50.196224;0.312061;0.852753;
50.221878;0.312874;0.855370;
50.247513;0.311814;0.854195;
50.273148;0.310461;0.850831;
50.298794;0.310532;0.850133;
50.324440;0.311841;0.852976;
50.350063;0.312109;0.854440;
50.375717;0.311063;0.852203;
50.401344;0.310308;0.849691;
50.426998;0.311327;0.851013;
50.452652;0.312110;0.853171;
50.478275;0.311331;0.852705;
50.503929;0.309941;0.849499;
50.529583;0.310266;0.849373;
50.555210;0.311699;0.851855;
50.580853;0.312081;0.852846;
50.606506;0.310578;0.850205;
50.632133;0.309717;0.848440;
50.657787;0.310557;0.850096;
50.683441;0.311762;0.852288;
50.709064;0.311198;0.850733;
50.734718;0.310062;0.847979;
50.760345;0.310177;0.848542;
50.785999;0.310786;0.851002;
50.811653;0.310759;0.850857;
50.837276;0.310185;0.847971;
50.862923;0.310334;0.847568;
50.888584;0.311102;0.849949;
50.914219;0.310449;0.850680;
50.939873;0.309523;0.848121;
50.965527;0.309774;0.846721;
50.991154;0.310979;0.848537;
51.016808;0.311235;0.850392;
51.042431;0.309591;0.848423;
51.068085;0.308810;0.845991;
51.093731;0.310127;0.847203;
51.119366;0.311372;0.849634;
51.145008;0.310419;0.848893;
51.170643;0.308743;0.845764;
51.196278;0.309262;0.845814;
51.221924;0.310706;0.848378;
51.247578;0.310567;0.848984;
51.273201;0.308991;0.845948;
51.298855;0.308834;0.844681;
51.324509;0.310069;0.846905;
51.350136;0.310525;0.848836;
51.375778;0.309174;0.846227;
51.401413;0.308793;0.844166;
51.427059;0.309731;0.845955;
51.452713;0.310289;0.848496;
51.478336;0.309376;0.846363;
51.503990;0.308622;0.843596;
51.529644;0.309447;0.844852;
51.555271;0.309947;0.847818;
51.580925;0.309423;0.846293;
51.606567;0.308663;0.843088;
51.632202;0.309232;0.844105;
