Sweep Expansion, 5
Set Current, 128.061
Power (mW), 11.06
t (s), Frequency Drift (GHz), Active Current (mA) 
2.322, 0.003823118729725874, 127.97469522240527
14.651, -0.0026761831108081118, 127.96626029654036
26.968, -0.003823118729725874, 127.94939044481055
39.312, -0.003058494983780699, 127.95782537067544
51.645, -0.002293871237835524, 128.0
63.959, -0.002293871237835524, 127.99156507413508
76.287, -0.003058494983780699, 127.94939044481055
88.621, -0.00573467809458881, 127.97469522240527
100.955, -0.00573467809458881, 127.95782537067547
113.278, -0.004970054348643636, 127.95782537067544
125.604, -0.004970054348643636, 127.97469522240527
137.94, -0.004587742475671048, 127.96626029654036
150.269, -0.004587742475671048, 127.94095551894563
162.601, -0.00573467809458881, 127.97469522240527
174.934, -0.00573467809458881, 127.96626029654036
187.265, -0.00573467809458881, 127.96626029654036
199.592, -0.0072639255864791604, 127.96626029654036
211.92, -0.006116989967561398, 127.98313014827018
355.046, -0.008028549332424336, 127.94095551894563
367.399, -0.006116989967561398, 127.96626029654036
379.714, -0.007646237459451748, 127.96626029654037
392.038, -0.009175484951342096, 127.98313014827018
404.371, -0.009175484951342096, 127.95782537067547
416.701, -0.009557796824314685, 127.96626029654036
429.037, -0.009175484951342096, 127.97469522240527
441.369, -0.009175484951342096, 127.97469522240527
453.7, -0.00879317307836951, 127.95782537067544
466.024, -0.008410861205396924, 127.98313014827019
478.349, -0.0072639255864791604, 128.0
490.683, -0.00879317307836951, 128.0
503.005, -0.009175484951342096, 127.94939044481055
515.335, -0.009175484951342096, 127.97469522240527
527.658, -0.010704732443232447, 128.0
539.987, -0.011851668062150208, 127.97469522240527
552.31, -0.011087044316205035, 127.98313014827018
564.638, -0.01032242057025986, 127.96626029654036
576.963, -0.01032242057025986, 128.0
589.285, -0.009940108697287273, 127.96626029654036
601.617, -0.009940108697287273, 127.99156507413508
613.951, -0.00879317307836951, 127.97469522240527
626.277, -0.009940108697287273, 127.96626029654036
638.658, -0.009557796824314685, 127.95782537067545
650.986, -0.009175484951342096, 127.98313014827019
663.316, -0.009175484951342096, 127.99156507413508
675.643, -0.010704732443232447, 127.98313014827018
687.966, -0.01032242057025986, 127.97469522240527
700.294, -0.00879317307836951, 127.98313014827018
712.623, -0.01032242057025986, 128.00843492586492
1134.238, -0.01146935618917762, 128.0168698517298
1146.58, -0.014145539299985731, 128.0
1158.897, -0.015292474918903495, 127.97469522240527
1171.234, -0.014910163045930907, 128.0
1183.558, -0.012616291808095382, 128.0
1195.883, -0.01146935618917762, 128.00843492586492
1208.219, -0.014145539299985731, 127.97469522240527
1220.552, -0.013763227427013145, 127.97469522240527
1232.874, -0.011851668062150208, 127.97469522240527
1245.206, -0.010704732443232447, 127.98313014827018
1257.532, -0.009940108697287273, 127.97469522240527
1269.861, -0.01032242057025986, 127.99156507413508
1282.189, -0.011087044316205035, 127.99156507413508
1294.518, -0.010704732443232447, 127.98313014827018
1306.854, -0.012233979935122796, 127.9915650741351
1319.176, -0.010704732443232447, 128.0
1331.513, -0.01299860368106797, 128.0084349258649
1343.829, -0.010704732443232447, 127.99156507413508
1356.164, -0.010704732443232447, 127.99156507413508
1368.493, -0.010704732443232447, 127.98313014827019
1380.82, -0.010704732443232447, 128.0084349258649
1393.154, -0.010704732443232447, 127.99156507413508
1405.478, -0.01299860368106797, 128.0168698517298
1417.8, -0.012233979935122796, 128.0168698517298
1430.137, -0.010704732443232447, 127.98313014827019
1442.485, -0.00879317307836951, 128.0084349258649
1454.813, -0.011087044316205035, 127.96626029654036
