Sweep Expansion, 1
P,0.001
I,0.003
D,0.0
All,1.0
t (s), Frequency Drift (GHz), Active Current (mA) 
2.093, 0.0, 128.62418451400328, 
17.429, 0.001252251095211161, 128.6326194398682, 
32.753, 0.0005233288159091419, 128.65792421746292, 
48.085, 0.00048594818620134605, 128.62418451400328, 
63.45, 0.0005793997604708356, 128.62418451400328, 
78.789, 0.0004298772416396523, 128.6410543657331, 
94.11, 0.0005607094456169378, 128.6410543657331, 
109.436, 0.0010466576318182838, 128.60731466227347, 
124.762, 0.0007102319644481212, 128.649489291598, 
140.101, 0.0010466576318182838, 128.62418451400328, 
155.426, 0.0008223738535715088, 128.67479406919273, 
170.76, 0.0011401092060877734, 128.6326194398682, 
186.082, 0.0008971351129871003, 128.62418451400328, 
201.456, 0.0008223738535715088, 128.62418451400328, 
216.789, 0.0013083220397728547, 128.649489291598, 
232.119, 0.0011027285763799775, 128.6410543657331, 
247.444, 0.001009277002110488, 128.62418451400328, 
262.821, 0.0010653479466721815, 128.6410543657331, 
278.146, 0.00099058668725659, 128.61574958813839, 
293.48, 0.001196180150649467, 128.6410543657331, 
308.805, 0.0010840382615260797, 128.6326194398682, 
324.174, 0.001214870465503365, 128.66635914332784, 
339.507, 0.0009345157426948963, 128.65792421746292, 
354.839, 0.0010840382615260797, 128.6326194398682, 
370.16, 0.0009345157426948963, 128.62418451400328, 
385.483, 0.0009718963724026921, 128.61574958813839, 
400.824, 0.0012896317249189567, 128.649489291598, 
416.146, 0.0012896317249189567, 128.65792421746292, 
431.482, 0.0010466576318182838, 128.649489291598, 
446.812, 0.0014017736140423446, 128.649489291598, 
462.135, 0.001252251095211161, 128.649489291598, 
477.463, 0.0011401092060877734, 128.67479406919273, 
492.798, 0.0014017736140423446, 128.65792421746292, 
508.125, 0.001196180150649467, 128.60731466227347, 
523.452, 0.0013083220397728547, 128.649489291598, 
538.812, 0.0012896317249189567, 128.67479406919273, 
554.147, 0.001270941410065059, 128.6326194398682, 
569.47, 0.0011214188912338757, 128.6410543657331, 
584.805, 0.001270941410065059, 128.6410543657331, 
600.136, 0.0011027285763799775, 128.65792421746295, 
615.474, 0.0012896317249189567, 128.65792421746292, 
630.804, 0.00099058668725659, 128.67479406919273, 
646.135, 0.001270941410065059, 128.6410543657331, 
661.462, 0.0011027285763799775, 128.6410543657331, 
676.816, 0.0012896317249189567, 128.649489291598, 
692.147, 0.0011774898357955694, 128.65792421746292, 
707.482, 0.0011774898357955694, 128.649489291598, 
722.828, 0.0013643929843345486, 128.68322899505765, 
738.184, 0.0013270123546267527, 128.67479406919273, 
753.524, 0.0010466576318182838, 128.67479406919273, 
768.852, 0.0013457026694806507, 128.65792421746292, 
784.185, 0.001270941410065059, 128.68322899505765, 
799.552, 0.001252251095211161, 128.649489291598, 
814.877, 0.0013270123546267527, 128.66635914332784, 
830.211, 0.0011401092060877734, 128.68322899505768, 
845.543, 0.001233560780357263, 128.649489291598, 
860.907, 0.001270941410065059, 128.66635914332784, 
876.246, 0.0013083220397728547, 128.65792421746292, 
891.575, 0.001214870465503365, 128.6410543657331, 
906.906, 0.001214870465503365, 128.68322899505765, 
