Sweep Expansion, 1
P,0.001
I,0.003
D,0.0
All,1.0
t (s), Frequency Drift (GHz), Active Current (mA) 
2.0, -0.019157572725245372, 165.77159802306426
17.33, -0.0056070944561693765, 165.77159802306426
32.674, -0.031306277380279024, 165.77159802306426
48.108, -0.028035472280846886, 165.77159802306426
63.479, -0.028502730152194334, 165.74629324546953
78.809, -0.031306277380279024, 165.76316309719937
94.14, -0.02943724589488923, 165.7462932454695
109.473, -0.028502730152194334, 165.75472817133442
124.836, -0.028502730152194334, 165.7378583196046
140.388, -0.01495225188311834, 165.7378583196046
155.72, -0.01495225188311834, 165.76316309719934
171.05, -0.027568214409499435, 165.7378583196046
186.384, -0.013550478269075995, 165.71255354200989
201.745, -0.026633698666804543, 165.76316309719937
217.07, -0.02943724589488923, 165.70411861614497
232.404, -0.014017736140423443, 165.7378583196046
247.735, -0.027568214409499435, 165.75472817133442
263.059, -0.01775579911120303, 165.7378583196046
278.39, -0.028502730152194334, 165.7294233937397
293.717, -0.028502730152194334, 165.75472817133442
309.035, -0.02896998802354178, 165.7378583196046
324.359, -0.02896998802354178, 165.7294233937397
339.812, -0.015419509754465788, 165.7209884678748
355.145, -0.01775579911120303, 165.76316309719937
370.468, -0.021026604210635163, 165.7294233937397
385.797, -0.02476466718141475, 165.75472817133442
401.18, -0.023830151438719853, 165.73785831960458
416.619, -0.023362893567372405, 165.71255354200989
431.95, -0.022428377824677506, 165.75472817133442
447.27, -0.022428377824677506, 165.7294233937397
462.593, -0.023830151438719853, 165.7294233937397
477.908, -0.020092088467940267, 165.7294233937397
493.231, -0.02476466718141475, 165.73785831960458
508.576, -0.028035472280846886, 165.7209884678748
523.906, -0.02476466718141475, 165.7209884678748
539.231, -0.021493862081982614, 165.7294233937397
554.55, -0.0018690314853897925, 165.7209884678748
570.064, -0.01962483059659282, 165.7294233937397
585.388, -0.021493862081982614, 165.7294233937397
600.753, -0.022895635696024957, 165.70411861614497
616.082, -0.01495225188311834, 165.7209884678748
631.418, -0.01728854123985558, 165.71255354200989
646.742, -0.018223056982550473, 165.7378583196046
662.121, -0.01027967316964386, 165.7209884678748
677.453, -0.019157572725245372, 165.70411861614497
692.788, -0.022895635696024957, 165.74629324546953
708.243, -0.021493862081982614, 165.7209884678748
723.574, -0.021026604210635163, 165.7294233937397
738.898, -0.019157572725245372, 165.7294233937397
754.228, -0.026633698666804543, 165.70411861614497
769.575, -0.026633698666804543, 165.7209884678748
784.903, -0.025231925052762196, 165.71255354200986
800.235, -0.0242974093100673, 165.7294233937397
815.707, -0.028035472280846886, 165.7209884678748
831.035, -0.027568214409499435, 165.7294233937397
846.368, -0.0242974093100673, 165.7462932454695
861.697, -0.02710095653815199, 165.71255354200986
877.029, -0.02616644079545709, 165.7462932454695
892.349, -0.030371761637584125, 165.7294233937397
907.674, -0.027568214409499435, 165.7378583196046
