Timestamp,Instrument Wavelength,Instrument Intensity
0.0, 384229.4210, 0.153, 
0.017, 384229.4317, 0.154, 
0.026, 384229.4451, 0.150, 
0.037, 384229.4534, 0.148, 
0.046, 384229.4641, 0.149, 
0.056, 384229.4726, 0.152, 
0.066, 384229.4837, 0.154, 
0.076, 384229.4926, 0.152, 
0.087, 384229.5037, 0.147, 
0.096, 384229.5117, 0.148, 
0.106, 384229.5227, 0.151, 
0.116, 384229.5306, 0.153, 
0.126, 384229.5438, 0.151, 
0.136, 384229.5521, 0.147, 
0.145, 384229.5634, 0.147, 
0.156, 384229.5689, 0.149, 
0.165, 384229.5817, 0.152, 
0.176, 384229.5901, 0.151, 
0.186, 384229.6030, 0.146, 
0.196, 384229.6103, 0.146, 
0.205, 384229.6205, 0.148, 
0.216, 384229.6288, 0.151, 
0.226, 384229.6409, 0.149, 
0.236, 384229.6494, 0.147, 
0.246, 384229.6609, 0.145, 
0.256, 384229.6704, 0.147, 
0.267, 384229.6800, 0.151, 
0.277, 384229.6880, 0.150, 
0.286, 384229.7002, 0.146, 
0.296, 384229.7080, 0.145, 
0.305, 384229.7206, 0.146, 
0.319, 384229.7293, 0.149, 
0.326, 384229.7242, 0.147, 
0.336, 384229.7171, 0.146, 
0.346, 384229.7077, 0.144, 
0.356, 384229.6993, 0.146, 
0.366, 384229.6870, 0.150, 
0.376, 384229.6796, 0.150, 
0.387, 384229.6702, 0.147, 
0.396, 384229.6621, 0.145, 
0.406, 384229.6519, 0.145, 
0.42, 384229.6409, 0.149, 
0.425, 384229.6328, 0.150, 
0.436, 384229.6249, 0.150, 
0.446, 384229.6149, 0.146, 
0.456, 384229.6090, 0.145, 
0.466, 384229.5971, 0.148, 
0.476, 384229.5888, 0.151, 
0.486, 384229.5755, 0.151, 
0.496, 384229.5689, 0.149, 
0.506, 384229.5594, 0.146, 
0.516, 384229.5524, 0.147, 
0.526, 384229.5412, 0.152, 
0.536, 384229.5320, 0.153, 
0.546, 384229.5203, 0.150, 
0.556, 384229.5129, 0.148, 
0.567, 384229.5019, 0.147, 
0.577, 384229.4943, 0.149, 
0.586, 384229.4808, 0.153, 
0.596, 384229.4736, 0.152, 
0.606, 384229.4637, 0.149, 
0.616, 384229.4554, 0.146, 
0.625, 384229.4452, 0.150, 
0.636, 384229.4365, 0.153, 
0.646, 384229.4241, 0.153, 
0.656, 384229.4179, 0.151, 
0.666, 384229.4057, 0.147, 
0.676, 384229.3983, 0.148, 
0.686, 384229.3857, 0.153, 
0.696, 384229.3788, 0.155, 
0.706, 384229.3675, 0.152, 
0.716, 384229.3588, 0.148, 
0.726, 384229.3481, 0.148, 
0.736, 384229.3397, 0.152, 
0.746, 384229.3287, 0.156, 
0.756, 384229.3218, 0.155, 
0.766, 384229.3101, 0.149, 
0.776, 384229.3004, 0.148, 
0.787, 384229.2889, 0.153, 
0.796, 384229.2820, 0.157, 
0.806, 384229.2719, 0.156, 
0.816, 384229.2634, 0.152, 
0.829, 384229.2485, 0.150, 
0.836, 384229.2445, 0.152, 
0.846, 384229.2319, 0.157, 
0.856, 384229.2234, 0.158, 
0.866, 384229.2129, 0.153, 
0.876, 384229.2053, 0.150, 
0.886, 384229.1937, 0.153, 
0.896, 384229.1862, 0.157, 
0.905, 384229.1733, 0.160, 
0.916, 384229.1663, 0.156, 
0.926, 384229.1547, 0.151, 
0.936, 384229.1474, 0.153, 
0.946, 384229.1355, 0.159, 
0.956, 384229.1276, 0.160, 
0.966, 384229.1166, 0.156, 
0.976, 384229.1084, 0.152, 
0.985, 384229.0965, 0.154, 
0.996, 384229.0895, 0.158, 
1.005, 384229.0773, 0.161, 
1.016, 384229.0694, 0.158, 
1.025, 384229.0565, 0.152, 
1.037, 384229.0505, 0.152, 
1.046, 384229.0382, 0.160, 
1.056, 384229.0314, 0.162, 
1.067, 384229.0200, 0.158, 
1.076, 384229.0114, 0.154, 
1.086, 384228.9988, 0.153, 
1.096, 384228.9915, 0.159, 
1.106, 384228.9807, 0.164, 
1.116, 384228.9741, 0.161, 
1.125, 384228.9606, 0.153, 
1.137, 384228.9481, 0.155, 
1.146, 384228.9414, 0.160, 
1.156, 384228.9343, 0.163, 
1.166, 384228.9241, 0.161, 
1.176, 384228.9152, 0.156, 
1.185, 384228.9019, 0.154, 
1.196, 384228.8934, 0.159, 
1.205, 384228.8847, 0.165, 
1.216, 384228.8756, 0.163, 
1.225, 384228.8635, 0.156, 
1.24, 384228.8525, 0.156, 
1.246, 384228.8442, 0.161, 
1.256, 384228.8365, 0.165, 
1.266, 384228.8259, 0.163, 
1.276, 384228.8167, 0.159, 
1.286, 384228.8055, 0.155, 
1.296, 384228.7978, 0.160, 
1.306, 384228.7863, 0.168, 
1.316, 384228.7790, 0.166, 
1.326, 384228.7826, 0.167, 
1.341, 384228.7920, 0.166, 
1.346, 384228.7993, 0.159, 
