Timestamp,Instrument Wavelength,Instrument Intensity
2021-08-04T11:39:16.239,384229.4210,0.153
2021-08-04T11:39:16.256,384229.4317,0.154
2021-08-04T11:39:16.265,384229.4451,0.150
2021-08-04T11:39:16.276,384229.4534,0.148
2021-08-04T11:39:16.285,384229.4641,0.149
2021-08-04T11:39:16.295,384229.4726,0.152
2021-08-04T11:39:16.305,384229.4837,0.154
2021-08-04T11:39:16.315,384229.4926,0.152
2021-08-04T11:39:16.326,384229.5037,0.147
2021-08-04T11:39:16.335,384229.5117,0.148
2021-08-04T11:39:16.345,384229.5227,0.151
2021-08-04T11:39:16.355,384229.5306,0.153
2021-08-04T11:39:16.365,384229.5438,0.151
2021-08-04T11:39:16.375,384229.5521,0.147
2021-08-04T11:39:16.384,384229.5634,0.147
2021-08-04T11:39:16.395,384229.5689,0.149
2021-08-04T11:39:16.404,384229.5817,0.152
2021-08-04T11:39:16.415,384229.5901,0.151
2021-08-04T11:39:16.425,384229.6030,0.146
2021-08-04T11:39:16.435,384229.6103,0.146
2021-08-04T11:39:16.444,384229.6205,0.148
2021-08-04T11:39:16.455,384229.6288,0.151
2021-08-04T11:39:16.465,384229.6409,0.149
2021-08-04T11:39:16.475,384229.6494,0.147
2021-08-04T11:39:16.485,384229.6609,0.145
2021-08-04T11:39:16.495,384229.6704,0.147
2021-08-04T11:39:16.506,384229.6800,0.151
2021-08-04T11:39:16.516,384229.6880,0.150
2021-08-04T11:39:16.525,384229.7002,0.146
2021-08-04T11:39:16.535,384229.7080,0.145
2021-08-04T11:39:16.544,384229.7206,0.146
2021-08-04T11:39:16.558,384229.7293,0.149
2021-08-04T11:39:16.565,384229.7242,0.147
2021-08-04T11:39:16.575,384229.7171,0.146
2021-08-04T11:39:16.585,384229.7077,0.144
2021-08-04T11:39:16.595,384229.6993,0.146
2021-08-04T11:39:16.605,384229.6870,0.150
2021-08-04T11:39:16.615,384229.6796,0.150
2021-08-04T11:39:16.626,384229.6702,0.147
2021-08-04T11:39:16.635,384229.6621,0.145
2021-08-04T11:39:16.645,384229.6519,0.145
2021-08-04T11:39:16.659,384229.6409,0.149
2021-08-04T11:39:16.664,384229.6328,0.150
2021-08-04T11:39:16.675,384229.6249,0.150
2021-08-04T11:39:16.685,384229.6149,0.146
2021-08-04T11:39:16.695,384229.6090,0.145
2021-08-04T11:39:16.705,384229.5971,0.148
2021-08-04T11:39:16.715,384229.5888,0.151
2021-08-04T11:39:16.725,384229.5755,0.151
2021-08-04T11:39:16.735,384229.5689,0.149
2021-08-04T11:39:16.745,384229.5594,0.146
2021-08-04T11:39:16.755,384229.5524,0.147
2021-08-04T11:39:16.765,384229.5412,0.152
2021-08-04T11:39:16.775,384229.5320,0.153
2021-08-04T11:39:16.785,384229.5203,0.150
2021-08-04T11:39:16.795,384229.5129,0.148
2021-08-04T11:39:16.806,384229.5019,0.147
2021-08-04T11:39:16.816,384229.4943,0.149
2021-08-04T11:39:16.825,384229.4808,0.153
2021-08-04T11:39:16.835,384229.4736,0.152
2021-08-04T11:39:16.845,384229.4637,0.149
2021-08-04T11:39:16.855,384229.4554,0.146
2021-08-04T11:39:16.864,384229.4452,0.150
2021-08-04T11:39:16.875,384229.4365,0.153
2021-08-04T11:39:16.885,384229.4241,0.153
2021-08-04T11:39:16.895,384229.4179,0.151
2021-08-04T11:39:16.905,384229.4057,0.147
2021-08-04T11:39:16.915,384229.3983,0.148
2021-08-04T11:39:16.925,384229.3857,0.153
2021-08-04T11:39:16.935,384229.3788,0.155
2021-08-04T11:39:16.945,384229.3675,0.152
2021-08-04T11:39:16.955,384229.3588,0.148
2021-08-04T11:39:16.965,384229.3481,0.148
2021-08-04T11:39:16.975,384229.3397,0.152
2021-08-04T11:39:16.985,384229.3287,0.156
2021-08-04T11:39:16.995,384229.3218,0.155
2021-08-04T11:39:17.005,384229.3101,0.149
2021-08-04T11:39:17.015,384229.3004,0.148
2021-08-04T11:39:17.026,384229.2889,0.153
2021-08-04T11:39:17.035,384229.2820,0.157
2021-08-04T11:39:17.045,384229.2719,0.156
2021-08-04T11:39:17.055,384229.2634,0.152
2021-08-04T11:39:17.068,384229.2485,0.150
2021-08-04T11:39:17.075,384229.2445,0.152
2021-08-04T11:39:17.085,384229.2319,0.157
2021-08-04T11:39:17.095,384229.2234,0.158
2021-08-04T11:39:17.105,384229.2129,0.153
2021-08-04T11:39:17.115,384229.2053,0.150
2021-08-04T11:39:17.125,384229.1937,0.153
2021-08-04T11:39:17.135,384229.1862,0.157
2021-08-04T11:39:17.144,384229.1733,0.160
2021-08-04T11:39:17.155,384229.1663,0.156
2021-08-04T11:39:17.165,384229.1547,0.151
2021-08-04T11:39:17.175,384229.1474,0.153
2021-08-04T11:39:17.185,384229.1355,0.159
2021-08-04T11:39:17.195,384229.1276,0.160
2021-08-04T11:39:17.205,384229.1166,0.156
2021-08-04T11:39:17.215,384229.1084,0.152
2021-08-04T11:39:17.224,384229.0965,0.154
2021-08-04T11:39:17.235,384229.0895,0.158
2021-08-04T11:39:17.244,384229.0773,0.161
2021-08-04T11:39:17.255,384229.0694,0.158
2021-08-04T11:39:17.264,384229.0565,0.152
2021-08-04T11:39:17.276,384229.0505,0.152
2021-08-04T11:39:17.285,384229.0382,0.160
2021-08-04T11:39:17.295,384229.0314,0.162
2021-08-04T11:39:17.306,384229.0200,0.158
2021-08-04T11:39:17.315,384229.0114,0.154
2021-08-04T11:39:17.325,384228.9988,0.153
2021-08-04T11:39:17.335,384228.9915,0.159
2021-08-04T11:39:17.345,384228.9807,0.164
2021-08-04T11:39:17.355,384228.9741,0.161
2021-08-04T11:39:17.364,384228.9606,0.153
2021-08-04T11:39:17.376,384228.9481,0.155
2021-08-04T11:39:17.385,384228.9414,0.160
2021-08-04T11:39:17.395,384228.9343,0.163
2021-08-04T11:39:17.405,384228.9241,0.161
2021-08-04T11:39:17.415,384228.9152,0.156
2021-08-04T11:39:17.424,384228.9019,0.154
2021-08-04T11:39:17.435,384228.8934,0.159
2021-08-04T11:39:17.444,384228.8847,0.165
2021-08-04T11:39:17.455,384228.8756,0.163
2021-08-04T11:39:17.464,384228.8635,0.156
2021-08-04T11:39:17.479,384228.8525,0.156
2021-08-04T11:39:17.485,384228.8442,0.161
2021-08-04T11:39:17.495,384228.8365,0.165
2021-08-04T11:39:17.505,384228.8259,0.163
2021-08-04T11:39:17.515,384228.8167,0.159
2021-08-04T11:39:17.525,384228.8055,0.155
2021-08-04T11:39:17.535,384228.7978,0.160
2021-08-04T11:39:17.545,384228.7863,0.168
2021-08-04T11:39:17.555,384228.7790,0.166
2021-08-04T11:39:17.565,384228.7826,0.167
2021-08-04T11:39:17.580,384228.7920,0.166
2021-08-04T11:39:17.585,384228.7993,0.159
2021-08-04T11:39:17.595,384228.8054,0.155
2021-08-04T11:39:17.605,384228.8170,0.159
2021-08-04T11:39:17.615,384228.8246,0.164
2021-08-04T11:39:17.625,384228.8345,0.166
2021-08-04T11:39:17.635,384228.8419,0.163
2021-08-04T11:39:17.645,384228.8531,0.156
2021-08-04T11:39:17.655,384228.8592,0.155
2021-08-04T11:39:17.664,384228.8710,0.161
2021-08-04T11:39:17.675,384228.8784,0.165
2021-08-04T11:39:17.685,384228.8885,0.163
2021-08-04T11:39:17.695,384228.8950,0.158
2021-08-04T11:39:17.705,384228.9065,0.154
2021-08-04T11:39:17.715,384228.9159,0.157
2021-08-04T11:39:17.725,384228.9274,0.164
2021-08-04T11:39:17.735,384228.9338,0.164
2021-08-04T11:39:17.745,384228.9431,0.157
2021-08-04T11:39:17.756,384228.9512,0.154
2021-08-04T11:39:17.765,384228.9640,0.156
2021-08-04T11:39:17.775,384228.9718,0.161
2021-08-04T11:39:17.785,384228.9814,0.164
2021-08-04T11:39:17.795,384228.9885,0.161
2021-08-04T11:39:17.805,384228.9999,0.153
2021-08-04T11:39:17.815,384229.0076,0.154
2021-08-04T11:39:17.825,384229.0202,0.161
2021-08-04T11:39:17.835,384229.0267,0.163
2021-08-04T11:39:17.844,384229.0380,0.160
2021-08-04T11:39:17.855,384229.0444,0.154
2021-08-04T11:39:17.864,384229.0566,0.153
2021-08-04T11:39:17.875,384229.0656,0.157
2021-08-04T11:39:17.888,384229.0787,0.161
2021-08-04T11:39:17.895,384229.0835,0.161
2021-08-04T11:39:17.906,384229.0951,0.154
2021-08-04T11:39:17.915,384229.1015,0.152
2021-08-04T11:39:17.924,384229.1141,0.157
2021-08-04T11:39:17.935,384229.1210,0.161
2021-08-04T11:39:17.945,384229.1329,0.159
2021-08-04T11:39:17.955,384229.1412,0.156
2021-08-04T11:39:17.965,384229.1517,0.151
2021-08-04T11:39:17.975,384229.1594,0.154
2021-08-04T11:39:17.989,384229.1740,0.160
2021-08-04T11:39:17.995,384229.1787,0.160
2021-08-04T11:39:18.005,384229.1914,0.155
2021-08-04T11:39:18.015,384229.1987,0.150
2021-08-04T11:39:18.025,384229.2094,0.153
2021-08-04T11:39:18.036,384229.2168,0.157
2021-08-04T11:39:18.044,384229.2288,0.158
2021-08-04T11:39:18.055,384229.2378,0.155
2021-08-04T11:39:18.065,384229.2489,0.149
2021-08-04T11:39:18.075,384229.2563,0.151
2021-08-04T11:39:18.084,384229.2684,0.156
2021-08-04T11:39:18.095,384229.2760,0.158
2021-08-04T11:39:18.104,384229.2867,0.153
2021-08-04T11:39:18.115,384229.2946,0.149
2021-08-04T11:39:18.124,384229.3071,0.150
2021-08-04T11:39:18.135,384229.3144,0.153
2021-08-04T11:39:18.144,384229.3255,0.156
2021-08-04T11:39:18.155,384229.3329,0.154
2021-08-04T11:39:18.164,384229.3456,0.149
2021-08-04T11:39:18.175,384229.3531,0.148
2021-08-04T11:39:18.184,384229.3647,0.153
2021-08-04T11:39:18.196,384229.3723,0.155
2021-08-04T11:39:18.205,384229.3837,0.153
2021-08-04T11:39:18.215,384229.3926,0.149
2021-08-04T11:39:18.224,384229.4034,0.148
2021-08-04T11:39:18.235,384229.4116,0.151
2021-08-04T11:39:18.245,384229.4226,0.153
2021-08-04T11:39:18.255,384229.4306,0.153
2021-08-04T11:39:18.265,384229.4436,0.148
2021-08-04T11:39:18.275,384229.4506,0.147
2021-08-04T11:39:18.284,384229.4622,0.149
2021-08-04T11:39:18.295,384229.4697,0.152
2021-08-04T11:39:18.305,384229.4825,0.152
2021-08-04T11:39:18.316,384229.4910,0.150
2021-08-04T11:39:18.326,384229.5022,0.146
2021-08-04T11:39:18.335,384229.5094,0.147
2021-08-04T11:39:18.344,384229.5194,0.151
2021-08-04T11:39:18.355,384229.5285,0.153
2021-08-04T11:39:18.366,384229.5423,0.148
2021-08-04T11:39:18.375,384229.5498,0.146
2021-08-04T11:39:18.385,384229.5605,0.147
2021-08-04T11:39:18.398,384229.5717,0.151
2021-08-04T11:39:18.405,384229.5794,0.151
2021-08-04T11:39:18.415,384229.5900,0.149
2021-08-04T11:39:18.425,384229.6009,0.146
2021-08-04T11:39:18.435,384229.6078,0.146
2021-08-04T11:39:18.444,384229.6181,0.149
2021-08-04T11:39:18.455,384229.6266,0.151
2021-08-04T11:39:18.466,384229.6395,0.148
2021-08-04T11:39:18.475,384229.6471,0.145
2021-08-04T11:39:18.485,384229.6590,0.145
2021-08-04T11:39:18.495,384229.6665,0.148
2021-08-04T11:39:18.505,384229.6776,0.150
2021-08-04T11:39:18.515,384229.6859,0.149
2021-08-04T11:39:18.526,384229.6981,0.145
2021-08-04T11:39:18.535,384229.7063,0.145
2021-08-04T11:39:18.544,384229.7178,0.147
2021-08-04T11:39:18.556,384229.7245,0.149
2021-08-04T11:39:18.566,384229.7208,0.147
2021-08-04T11:39:18.576,384229.7147,0.146
2021-08-04T11:39:18.585,384229.7027,0.144
2021-08-04T11:39:18.595,384229.6963,0.145
2021-08-04T11:39:18.605,384229.6852,0.149
2021-08-04T11:39:18.615,384229.6781,0.150
2021-08-04T11:39:18.626,384229.6677,0.148
2021-08-04T11:39:18.635,384229.6604,0.145
2021-08-04T11:39:18.644,384229.6484,0.145
2021-08-04T11:39:18.655,384229.6419,0.147
2021-08-04T11:39:18.664,384229.6297,0.151
2021-08-04T11:39:18.675,384229.6210,0.150
2021-08-04T11:39:18.684,384229.6113,0.147
2021-08-04T11:39:18.695,384229.6043,0.145
2021-08-04T11:39:18.708,384229.5913,0.150
2021-08-04T11:39:18.714,384229.5866,0.150
2021-08-04T11:39:18.724,384229.5731,0.151
2021-08-04T11:39:18.735,384229.5657,0.150
2021-08-04T11:39:18.745,384229.5563,0.146
2021-08-04T11:39:18.755,384229.5489,0.146
2021-08-04T11:39:18.765,384229.5370,0.150
2021-08-04T11:39:18.775,384229.5283,0.152
2021-08-04T11:39:18.784,384229.5176,0.151
2021-08-04T11:39:18.795,384229.5110,0.148
2021-08-04T11:39:18.808,384229.4961,0.147
2021-08-04T11:39:18.816,384229.4921,0.150
2021-08-04T11:39:18.824,384229.4789,0.153
2021-08-04T11:39:18.835,384229.4712,0.152
2021-08-04T11:39:18.845,384229.4598,0.150
2021-08-04T11:39:18.855,384229.4532,0.147
2021-08-04T11:39:18.864,384229.4425,0.148
2021-08-04T11:39:18.875,384229.4340,0.152
2021-08-04T11:39:18.885,384229.4213,0.154
2021-08-04T11:39:18.895,384229.4148,0.152
2021-08-04T11:39:18.905,384229.4028,0.147
2021-08-04T11:39:18.915,384229.3948,0.147
2021-08-04T11:39:18.924,384229.3836,0.152
2021-08-04T11:39:18.935,384229.3752,0.155
2021-08-04T11:39:18.945,384229.3648,0.153
2021-08-04T11:39:18.955,384229.3565,0.150
2021-08-04T11:39:18.965,384229.3444,0.147
2021-08-04T11:39:18.975,384229.3375,0.151
2021-08-04T11:39:18.985,384229.3251,0.156
2021-08-04T11:39:18.995,384229.3194,0.155
2021-08-04T11:39:19.004,384229.3062,0.150
2021-08-04T11:39:19.015,384229.2992,0.148
2021-08-04T11:39:19.024,384229.2867,0.152
2021-08-04T11:39:19.035,384229.2791,0.156
2021-08-04T11:39:19.044,384229.2674,0.156
2021-08-04T11:39:19.055,384229.2611,0.153
2021-08-04T11:39:19.064,384229.2493,0.149
2021-08-04T11:39:19.075,384229.2421,0.151
2021-08-04T11:39:19.084,384229.2293,0.157
2021-08-04T11:39:19.095,384229.2209,0.158
2021-08-04T11:39:19.105,384229.2095,0.155
2021-08-04T11:39:19.121,384229.1943,0.151
2021-08-04T11:39:19.126,384229.1918,0.153
2021-08-04T11:39:19.135,384229.1826,0.156
2021-08-04T11:39:19.145,384229.1712,0.159
2021-08-04T11:39:19.155,384229.1639,0.157
2021-08-04T11:39:19.164,384229.1511,0.152
2021-08-04T11:39:19.175,384229.1448,0.153
2021-08-04T11:39:19.185,384229.1326,0.159
2021-08-04T11:39:19.195,384229.1239,0.160
2021-08-04T11:39:19.204,384229.1140,0.158
2021-08-04T11:39:19.215,384229.1046,0.153
2021-08-04T11:39:19.225,384229.0936,0.153
2021-08-04T11:39:19.235,384229.0865,0.158
2021-08-04T11:39:19.245,384229.0742,0.161
2021-08-04T11:39:19.255,384229.0668,0.160
2021-08-04T11:39:19.264,384229.0554,0.153
2021-08-04T11:39:19.275,384229.0475,0.152
2021-08-04T11:39:19.284,384229.0358,0.159
2021-08-04T11:39:19.295,384229.0276,0.162
2021-08-04T11:39:19.304,384229.0178,0.160
2021-08-04T11:39:19.315,384229.0096,0.155
2021-08-04T11:39:19.326,384228.9966,0.153
2021-08-04T11:39:19.335,384228.9897,0.158
2021-08-04T11:39:19.344,384228.9777,0.163
2021-08-04T11:39:19.355,384228.9702,0.162
2021-08-04T11:39:19.364,384228.9589,0.154
2021-08-04T11:39:19.375,384228.9503,0.153
2021-08-04T11:39:19.384,384228.9379,0.159
2021-08-04T11:39:19.395,384228.9315,0.164
2021-08-04T11:39:19.404,384228.9207,0.162
2021-08-04T11:39:19.415,384228.9126,0.157
2021-08-04T11:39:19.425,384228.8986,0.154
2021-08-04T11:39:19.435,384228.8911,0.157
2021-08-04T11:39:19.445,384228.8816,0.165
2021-08-04T11:39:19.455,384228.8726,0.165
2021-08-04T11:39:19.465,384228.8604,0.158
2021-08-04T11:39:19.476,384228.8530,0.155
2021-08-04T11:39:19.485,384228.8427,0.160
2021-08-04T11:39:19.495,384228.8344,0.166
2021-08-04T11:39:19.504,384228.8221,0.165
2021-08-04T11:39:19.515,384228.8148,0.160
2021-08-04T11:39:19.525,384228.8019,0.155
2021-08-04T11:39:19.535,384228.7957,0.159
2021-08-04T11:39:19.544,384228.7831,0.167
2021-08-04T11:39:19.556,384228.7766,0.167
2021-08-04T11:39:19.564,384228.7802,0.167
2021-08-04T11:39:19.575,384228.7862,0.165
2021-08-04T11:39:19.585,384228.7972,0.158
2021-08-04T11:39:19.595,384228.8048,0.156
2021-08-04T11:39:19.605,384228.8154,0.161
2021-08-04T11:39:19.615,384228.8223,0.164
2021-08-04T11:39:19.624,384228.8332,0.165
2021-08-04T11:39:19.635,384228.8413,0.160
2021-08-04T11:39:19.645,384228.8515,0.155
2021-08-04T11:39:19.655,384228.8578,0.156
2021-08-04T11:39:19.664,384228.8687,0.163
2021-08-04T11:39:19.674,384228.8763,0.165
2021-08-04T11:39:19.685,384228.8868,0.161
2021-08-04T11:39:19.695,384228.8930,0.156
2021-08-04T11:39:19.705,384228.9060,0.155
2021-08-04T11:39:19.715,384228.9147,0.159
2021-08-04T11:39:19.725,384228.9246,0.165
2021-08-04T11:39:19.735,384228.9315,0.163
2021-08-04T11:39:19.745,384228.9417,0.156
2021-08-04T11:39:19.755,384228.9494,0.154
2021-08-04T11:39:19.765,384228.9632,0.158
2021-08-04T11:39:19.775,384228.9698,0.162
2021-08-04T11:39:19.785,384228.9792,0.163
2021-08-04T11:39:19.795,384228.9876,0.159
2021-08-04T11:39:19.805,384228.9974,0.153
2021-08-04T11:39:19.815,384229.0067,0.155
2021-08-04T11:39:19.824,384229.0183,0.161
2021-08-04T11:39:19.835,384229.0249,0.162
2021-08-04T11:39:19.844,384229.0366,0.158
2021-08-04T11:39:19.855,384229.0439,0.153
2021-08-04T11:39:19.865,384229.0552,0.154
2021-08-04T11:39:19.875,384229.0643,0.159
2021-08-04T11:39:19.885,384229.0741,0.161
2021-08-04T11:39:19.895,384229.0827,0.160
2021-08-04T11:39:19.905,384229.0941,0.153
2021-08-04T11:39:19.915,384229.1014,0.152
2021-08-04T11:39:19.925,384229.1130,0.158
2021-08-04T11:39:19.935,384229.1200,0.160
2021-08-04T11:39:19.945,384229.1325,0.159
2021-08-04T11:39:19.955,384229.1393,0.154
2021-08-04T11:39:19.965,384229.1505,0.152
2021-08-04T11:39:19.975,384229.1584,0.155
2021-08-04T11:39:19.985,384229.1703,0.159
2021-08-04T11:39:19.995,384229.1781,0.158
2021-08-04T11:39:20.005,384229.1895,0.153
2021-08-04T11:39:20.015,384229.1972,0.150
2021-08-04T11:39:20.026,384229.2091,0.154
2021-08-04T11:39:20.035,384229.2160,0.157
2021-08-04T11:39:20.045,384229.2267,0.157
2021-08-04T11:39:20.055,384229.2356,0.153
2021-08-04T11:39:20.065,384229.2487,0.148
2021-08-04T11:39:20.076,384229.2535,0.152
2021-08-04T11:39:20.085,384229.2662,0.157
2021-08-04T11:39:20.095,384229.2736,0.158
2021-08-04T11:39:20.105,384229.2863,0.152
2021-08-04T11:39:20.115,384229.2930,0.148
2021-08-04T11:39:20.125,384229.3059,0.150
2021-08-04T11:39:20.135,384229.3138,0.155
2021-08-04T11:39:20.144,384229.3238,0.156
2021-08-04T11:39:20.155,384229.3329,0.153
2021-08-04T11:39:20.165,384229.3439,0.147
2021-08-04T11:39:20.175,384229.3519,0.148
2021-08-04T11:39:20.185,384229.3637,0.154
2021-08-04T11:39:20.195,384229.3704,0.155
2021-08-04T11:39:20.205,384229.3842,0.152
2021-08-04T11:39:20.215,384229.3916,0.148
2021-08-04T11:39:20.225,384229.4035,0.148
2021-08-04T11:39:20.235,384229.4113,0.151
2021-08-04T11:39:20.245,384229.4209,0.154
2021-08-04T11:39:20.255,384229.4304,0.153
2021-08-04T11:39:20.265,384229.4423,0.147
2021-08-04T11:39:20.275,384229.4488,0.146
2021-08-04T11:39:20.285,384229.4608,0.151
2021-08-04T11:39:20.295,384229.4682,0.152
2021-08-04T11:39:20.305,384229.4820,0.152
2021-08-04T11:39:20.315,384229.4907,0.148
2021-08-04T11:39:20.325,384229.5005,0.146
2021-08-04T11:39:20.335,384229.5085,0.148
2021-08-04T11:39:20.345,384229.5199,0.152
2021-08-04T11:39:20.355,384229.5278,0.153
2021-08-04T11:39:20.365,384229.5409,0.149
2021-08-04T11:39:20.375,384229.5495,0.146
2021-08-04T11:39:20.385,384229.5594,0.148
2021-08-04T11:39:20.395,384229.5660,0.150
2021-08-04T11:39:20.405,384229.5794,0.152
2021-08-04T11:39:20.415,384229.5886,0.148
2021-08-04T11:39:20.425,384229.5995,0.145
2021-08-04T11:39:20.435,384229.6057,0.146
2021-08-04T11:39:20.454,384229.6249,0.150
2021-08-04T11:39:20.465,384229.6379,0.148
2021-08-04T11:39:20.475,384229.6456,0.145
2021-08-04T11:39:20.485,384229.6579,0.146
2021-08-04T11:39:20.495,384229.6652,0.148
2021-08-04T11:39:20.505,384229.6759,0.150
2021-08-04T11:39:20.515,384229.6851,0.148
2021-08-04T11:39:20.525,384229.6970,0.145
2021-08-04T11:39:20.535,384229.7044,0.145
2021-08-04T11:39:20.545,384229.7178,0.148
2021-08-04T11:39:20.555,384229.7244,0.149
2021-08-04T11:39:20.564,384229.7196,0.148
2021-08-04T11:39:20.574,384229.7133,0.146
2021-08-04T11:39:20.585,384229.7023,0.144
2021-08-04T11:39:20.595,384229.6947,0.145
2021-08-04T11:39:20.605,384229.6837,0.148
2021-08-04T11:39:20.615,384229.6761,0.150
2021-08-04T11:39:20.625,384229.6663,0.148
2021-08-04T11:39:20.635,384229.6583,0.146
2021-08-04T11:39:20.645,384229.6468,0.144
2021-08-04T11:39:20.655,384229.6398,0.147
2021-08-04T11:39:20.665,384229.6296,0.150
2021-08-04T11:39:20.674,384229.6204,0.150
2021-08-04T11:39:20.684,384229.6101,0.147
2021-08-04T11:39:20.695,384229.6035,0.145
2021-08-04T11:39:20.705,384229.5929,0.146
2021-08-04T11:39:20.715,384229.5845,0.149
2021-08-04T11:39:20.725,384229.5714,0.151
2021-08-04T11:39:20.735,384229.5644,0.150
2021-08-04T11:39:20.745,384229.5540,0.146
2021-08-04T11:39:20.755,384229.5464,0.146
2021-08-04T11:39:20.764,384229.5353,0.150
2021-08-04T11:39:20.775,384229.5273,0.153
2021-08-04T11:39:20.785,384229.5148,0.151
2021-08-04T11:39:20.795,384229.5073,0.149
2021-08-04T11:39:20.805,384229.4969,0.146
2021-08-04T11:39:20.815,384229.4894,0.148
2021-08-04T11:39:20.825,384229.4770,0.153
2021-08-04T11:39:20.835,384229.4693,0.153
2021-08-04T11:39:20.845,384229.4581,0.150
2021-08-04T11:39:20.858,384229.4470,0.146
2021-08-04T11:39:20.865,384229.4393,0.148
2021-08-04T11:39:20.875,384229.4320,0.152
2021-08-04T11:39:20.886,384229.4201,0.154
2021-08-04T11:39:20.895,384229.4126,0.152
2021-08-04T11:39:20.905,384229.4009,0.147
2021-08-04T11:39:20.915,384229.3932,0.147
2021-08-04T11:39:20.924,384229.3820,0.152
2021-08-04T11:39:20.935,384229.3736,0.154
2021-08-04T11:39:20.945,384229.3632,0.154
2021-08-04T11:39:20.955,384229.3554,0.150
2021-08-04T11:39:20.965,384229.3433,0.147
2021-08-04T11:39:20.975,384229.3349,0.151
2021-08-04T11:39:20.985,384229.3242,0.156
2021-08-04T11:39:20.995,384229.3166,0.155
2021-08-04T11:39:21.005,384229.3052,0.150
2021-08-04T11:39:21.015,384229.2967,0.148
2021-08-04T11:39:21.025,384229.2850,0.152
2021-08-04T11:39:21.035,384229.2771,0.156
2021-08-04T11:39:21.045,384229.2677,0.157
2021-08-04T11:39:21.055,384229.2586,0.154
2021-08-04T11:39:21.064,384229.2462,0.149
2021-08-04T11:39:21.075,384229.2396,0.150
2021-08-04T11:39:21.084,384229.2266,0.156
2021-08-04T11:39:21.095,384229.2193,0.159
2021-08-04T11:39:21.105,384229.2085,0.155
2021-08-04T11:39:21.115,384229.1997,0.151
2021-08-04T11:39:21.125,384229.1895,0.151
2021-08-04T11:39:21.135,384229.1814,0.156
2021-08-04T11:39:21.145,384229.1692,0.160
2021-08-04T11:39:21.155,384229.1615,0.158
2021-08-04T11:39:21.165,384229.1483,0.152
2021-08-04T11:39:21.175,384229.1424,0.151
2021-08-04T11:39:21.184,384229.1312,0.159
2021-08-04T11:39:21.195,384229.1222,0.160
2021-08-04T11:39:21.205,384229.1129,0.159
2021-08-04T11:39:21.215,384229.1033,0.155
2021-08-04T11:39:21.225,384229.0916,0.153
2021-08-04T11:39:21.235,384229.0836,0.158
2021-08-04T11:39:21.245,384229.0716,0.161
2021-08-04T11:39:21.255,384229.0648,0.160
2021-08-04T11:39:21.264,384229.0582,0.156
2021-08-04T11:39:21.276,384229.0439,0.152
2021-08-04T11:39:21.285,384229.0339,0.158
2021-08-04T11:39:21.295,384229.0252,0.162
2021-08-04T11:39:21.305,384229.0149,0.161
2021-08-04T11:39:21.315,384229.0075,0.156
2021-08-04T11:39:21.325,384228.9942,0.153
2021-08-04T11:39:21.335,384228.9864,0.157
2021-08-04T11:39:21.345,384228.9753,0.164
2021-08-04T11:39:21.356,384228.9684,0.163
2021-08-04T11:39:21.365,384228.9560,0.156
2021-08-04T11:39:21.375,384228.9473,0.153
2021-08-04T11:39:21.385,384228.9363,0.159
2021-08-04T11:39:21.395,384228.9286,0.164
2021-08-04T11:39:21.405,384228.9179,0.163
2021-08-04T11:39:21.415,384228.9112,0.159
2021-08-04T11:39:21.425,384228.8956,0.153
