"Time (ms)";"Fine In 2 (V)";
0.000000;0.000502;
0.097846;0.000489;
0.195692;0.000487;
0.293538;0.000501;
0.391385;0.000506;
0.489231;0.000476;
0.587077;0.000484;
0.684923;0.000470;
0.782769;-0.001015;
0.880615;-0.003307;
0.978462;-0.001030;
1.076308;-0.000467;
1.174154;0.000019;
1.272000;0.000360;
1.369846;0.000414;
1.467692;0.000443;
1.565538;0.000434;
1.663385;0.000490;
1.761231;0.000486;
1.859077;0.000486;
1.956923;0.000498;
2.054769;0.000479;
2.152615;0.000510;
2.250461;0.000519;
2.348307;0.000490;
2.446153;0.000503;
2.543999;0.000492;
2.641845;0.000495;
2.739691;0.000506;
2.837537;0.000485;
2.935383;0.000491;
3.033229;0.000490;
3.131075;0.000511;
3.228921;0.000477;
3.326767;0.000501;
3.424613;0.000511;
3.522460;0.000485;
3.620306;0.000487;
3.718152;0.000473;
3.815998;-0.009712;
3.913844;-0.002635;
4.011690;-0.000684;
4.109536;-0.000057;
4.207382;0.000269;
4.305228;0.000387;
4.403074;0.000438;
4.500920;0.000484;
4.598766;0.000493;
4.696612;0.000430;
4.794458;0.000402;
4.892304;0.000384;
4.990150;0.000133;
5.087996;-0.000110;
5.185842;-0.000562;
5.283688;-0.002278;
5.381534;-0.004336;
5.479380;0.000254;
5.577226;0.000474;
5.675072;0.000482;
5.772918;0.000475;
5.870764;0.000497;
5.968610;0.000507;
6.066456;0.000496;
6.164302;0.000485;
6.262148;0.000499;
6.359994;0.000515;
6.457840;0.000502;
6.555686;0.000504;
6.653533;0.000488;
6.751379;0.000486;
6.849225;0.000505;
6.947071;0.000492;
7.044917;0.000516;
7.142763;0.000495;
7.240609;0.000500;
7.338455;0.000507;
7.436301;0.000479;
7.534147;0.000490;
7.631993;0.000501;
7.729839;0.000482;
7.827685;0.000480;
7.925531;0.000474;
8.023377;0.000460;
8.121223;0.000413;
8.219069;0.000368;
8.316916;0.000053;
8.414762;-0.000472;
8.512608;-0.000947;
8.610454;-0.002865;
8.708300;-0.005520;
8.806146;0.000466;
8.903992;0.000452;
9.001838;0.000490;
9.099684;0.000493;
9.197530;0.000493;
9.295376;0.000498;
9.393222;0.000501;
9.491068;0.000489;
9.588914;0.000512;
9.686760;0.000492;
9.784606;0.000495;
9.882452;0.000491;
9.980298;0.000483;
10.078144;0.000524;
10.175990;0.000507;
10.273836;0.000495;
10.371682;0.000488;
10.469528;0.000478;
10.567374;0.000492;
10.665220;0.000508;
10.763066;0.000488;
10.860912;0.000507;
10.958758;0.000462;
11.056604;0.000485;
11.154450;0.000434;
11.252296;0.000398;
11.350142;0.000377;
11.447989;-0.000088;
11.545835;-0.000558;
11.643681;-0.002154;
11.741527;-0.005180;
11.839373;0.000402;
11.937219;0.000464;
12.035065;0.000485;
12.132911;0.000490;
12.230757;0.000471;
12.328603;0.000493;
12.426449;0.000479;
12.524295;0.000469;
12.622141;0.000515;
12.719987;0.000479;
12.817833;0.000491;
12.915679;0.000489;
13.013525;0.000486;
13.111371;0.000486;
13.209217;0.000514;
13.307063;0.000505;
13.404909;0.000489;
13.502755;0.000503;
13.600601;0.000483;
13.698447;0.000488;
13.796293;0.000478;
13.894139;0.000490;
13.991985;0.000456;
14.089831;0.000463;
14.187677;0.000455;
14.285523;0.000384;
14.383369;0.000120;
14.481215;-0.000323;
14.579062;-0.000054;
14.676908;0.000171;
14.774754;0.000356;
14.872600;0.000393;
14.970446;0.000441;
15.068292;0.000478;
15.166138;0.000478;
15.263984;0.000478;
15.361830;0.000483;
15.459676;0.000508;
15.557522;0.000493;
15.655368;0.000497;
15.753214;0.000508;
15.851060;0.000496;
15.948906;0.000484;
