timestamp,pixel,wavelength pm,,,,,,,,,,,,,,,,,
0.22,965,0.00E+00,,,,,,,,,,,,,,,,,
3.418,967,-4.54E-03,,,,,,,,,,,,,,,,,
6.609,964,2.27E-03,,Mean ,2.27E-15,,,,,,,,,,,,,,
9.8,968,-6.81E-03,,std,5.00E-17,,,,,,,,,,,,,,
12.999,963,4.54E-03,,,,,,,,,,,,,,,,,
16.206,963,4.54E-03,,,,,,,,,,,,,,,,,
19.406,966,-2.27E-03,,,,,,,,,,,,,,,,,
22.603,964,2.27E-03,,,,,,,,,,,,,,,,,
25.813,961,9.08E-03,,,,,,,,,,,,,,,,,
29.021,964,2.27E-03,,,,,,,,,,,,,,,,,
32.22,962,6.81E-03,,,,,,,,,,,,,,,,,
35.422,959,1.36E-02,,,,,,,,,,,,,,,,,
38.624,963,4.54E-03,,,,,,,,,,,,,,,,,
41.834,961,9.08E-03,,,,,,,,,,,,,,,,,
45.039,961,9.08E-03,,,,,,,,,,,,,,,,,
48.246,962,6.81E-03,,,,,,,,,,,,,,,,,
51.453,959,1.36E-02,,,,,,,,,,,,,,,,,
54.662,960,1.14E-02,,,,,,,,,,,,,,,,,
57.866,959,1.36E-02,,,,,,,,,,,,,,,,,
61.063,955,2.27E-02,,,,,,,,,,,,,,,,,
64.272,959,1.36E-02,,,,,,,,,,,,,,,,,`
67.472,957,1.82E-02,,,,,,,,,,,,,,,,,
70.672,958,1.59E-02,,,,,,,,,,,,,,,,,
73.88,956,2.04E-02,,,,,,,,,,,,,,,,,
77.081,956,2.04E-02,,,,,,,,,,,,,,,,,
80.288,954,2.50E-02,,,,,,,,,,,,,,,,,
83.485,954,2.50E-02,,,,,,,,,,,,,,,,,
86.688,955,2.27E-02,,,,,,,,,,,,,,,,,
89.889,953,2.72E-02,,,,,,,,,,,,,,,,,
93.082,951,3.18E-02,,,,,,,,,,,,,,,,,
96.29,952,2.95E-02,,,,,,,,,,,,,,,,,
99.498,953,2.72E-02,,,,,,,,,,,,,,,,,
102.706,951,3.18E-02,,,,,,,,,,,,,,,,,
105.911,953,2.72E-02,,,,,,,,,,,,,,,,,
109.121,950,3.41E-02,,,,,,,,,,,,,,,,,
112.328,952,2.95E-02,,,,,,,,,,,,,,,,,
115.531,949,3.63E-02,,,,,,,,,,,,,,,,,
118.731,950,3.41E-02,,,,,,,,,,,,,,,,,
121.926,951,3.18E-02,,,,,,,,,,,,,,,,,
125.138,950,3.41E-02,,,,,,,,,,,,,,,,,
128.33,947,4.09E-02,,,,,,,,,,,,,,,,,
131.532,947,4.09E-02,,,,,,,,,,,,,,,,,
134.732,947,4.09E-02,,,,,,,,,,,,,,,,,
137.933,946,4.31E-02,,,,,,,,,,,,,,,,,
141.133,944,4.77E-02,,,,,,,,,,,,,,,,,
144.335,943,4.99E-02,,,,,,,,,,,,,,,,,
147.535,941,5.45E-02,,,,,,,,,,,,,,,,,
150.739,946,4.31E-02,,,,,,,,,,,,,,,,,
153.93,942,5.22E-02,,,,,,,,,,,,,,,,,
157.13,948,3.86E-02,,,,,,,,,,,,,,,,,
160.338,945,4.54E-02,,,,,,,,,,,,,,,,,
163.546,942,5.22E-02,,,,,,,,,,,,,,,,,
166.757,943,4.99E-02,,,,,,,,,,,,,,,,,
169.958,940,5.68E-02,,,,,,,,,,,,,,,,,
173.166,939,5.90E-02,,,,,,,,,,,,,,,,,
176.363,938,6.13E-02,,,,,,,,,,,,,,,,,
179.571,938,6.13E-02,,,,,,,,,,,,,,,,,
182.77,943,4.99E-02,,,,,,,,,,,,,,,,,
185.972,938,6.13E-02,,,,,,,,,,,,,,,,,
189.172,944,4.77E-02,,,,,,,,,,,,,,,,,
192.373,938,6.13E-02,,,,,,,,,,,,,,,,,
195.578,937,6.36E-02,,,,,,,,,,,,,,,,,
198.78,936,6.58E-02,,,,,,,,,,,,,,,,,
201.986,939,5.90E-02,,,,,,,,,,,,,,,,,
205.182,936,6.58E-02,,,,,,,,,,,,,,,,,
208.385,937,6.36E-02,,,,,,,,,,,,,,,,,
211.579,936,6.58E-02,,,,,,,,,,,,,,,,,
214.77,932,7.49E-02,,,,,,,,,,,,,,,,,
217.972,938,6.13E-02,,,,,,,,,,,,,,,,,
221.165,932,7.49E-02,,,,,,,,,,,,,,,,,
224.366,932,7.49E-02,,,,,,,,,,,,,,,,,
227.567,935,6.81E-02,,,,,,,,,,,,,,,,,
230.77,936,6.58E-02,,,,,,,,,,,,,,,,,
234.012,932,7.49E-02,,,,,,,,,,,,,,,,,
237.24,933,7.26E-02,,,,,,,,,,,,,,,,,
240.454,935,6.81E-02,,,,,,,,,,,,,,,,,
243.674,931,7.72E-02,,,,,,,,,,,,,,,,,
246.887,934,7.04E-02,,,,,,,,,,,,,,,,,
250.086,930,7.95E-02,,,,,,,,,,,,,,,,,
253.3,933,7.26E-02,,,,,,,,,,,,,,,,,
256.509,931,7.72E-02,,,,,,,,,,,,,,,,,
259.708,930,7.95E-02,,,,,,,,,,,,,,,,,
262.905,927,8.63E-02,,,,,,,,,,,,,,,,,
