"Piezo Voltage (V)";"Fine In 1 (V)";"Lock-In Out (V)";
57.108250;0.539094;0.000151;
57.108646;0.539078;0.000115;
57.108913;0.539063;0.000148;
57.109310;0.539163;0.000101;
57.109676;0.539368;0.000117;
57.110020;0.539389;0.000146;
57.110424;0.539513;0.000153;
57.110744;0.539775;0.000136;
57.111111;0.539755;0.000177;
57.111507;0.539873;0.000164;
57.111912;0.539975;0.000155;
57.112225;0.540146;0.000181;
57.112576;0.540380;0.000164;
57.112919;0.540385;0.000203;
57.113316;0.540534;0.000197;
57.113750;0.540697;0.000205;
57.114002;0.540751;0.000185;
57.114445;0.540997;0.000230;
57.114803;0.541030;0.000262;
57.115154;0.541113;0.000244;
57.115543;0.541299;0.000224;
57.115871;0.541570;0.000243;
57.116230;0.541662;0.000271;
57.116611;0.541623;0.000315;
57.116978;0.541861;0.000279;
57.117306;0.541977;0.000301;
57.117664;0.542122;0.000282;
57.118053;0.542272;0.000337;
57.118397;0.542428;0.000315;
57.118816;0.542504;0.000312;
57.119160;0.542692;0.000302;
57.119518;0.542916;0.000301;
57.119877;0.543058;0.000326;
57.120274;0.543183;0.000339;
57.120640;0.543138;0.000335;
57.120914;0.543470;0.000330;
57.121334;0.543669;0.000372;
57.121708;0.543861;0.000421;
57.122097;0.544036;0.000381;
57.122402;0.544212;0.000390;
57.122791;0.544499;0.000428;
57.123196;0.544634;0.000398;
57.123554;0.544837;0.000444;
57.123905;0.545141;0.000417;
57.124203;0.545456;0.000387;
57.124615;0.545620;0.000427;
57.124989;0.545867;0.000473;
57.125340;0.545932;0.000505;
57.125660;0.546248;0.000521;
57.126072;0.546514;0.000492;
57.126385;0.546861;0.000493;
57.126781;0.547195;0.000522;
57.127102;0.547483;0.000528;
57.127552;0.547769;0.000493;
57.127834;0.548171;0.000581;
57.128170;0.548463;0.000557;
57.128613;0.548846;0.000592;
57.128918;0.549111;0.000548;
57.129345;0.549464;0.000626;
57.129688;0.549760;0.000598;
57.130085;0.550127;0.000565;
57.130466;0.550494;0.000606;
57.130764;0.550915;0.000652;
57.131138;0.551351;0.000676;
57.131512;0.551740;0.000690;
57.131901;0.552064;0.000642;
57.132298;0.552478;0.000655;
57.132618;0.552934;0.000683;
57.132977;0.553401;0.000732;
57.133305;0.553738;0.000716;
57.133671;0.554019;0.000739;
57.134045;0.554472;0.000740;
57.134418;0.554816;0.000774;
57.134808;0.555304;0.000774;
57.135181;0.555635;0.000760;
57.135540;0.555988;0.000779;
57.135868;0.556397;0.000789;
57.136280;0.556778;0.000840;
57.136631;0.557236;0.000840;
57.136974;0.557614;0.000893;
57.137356;0.557880;0.000876;
57.137714;0.558186;0.000861;
57.138111;0.558512;0.000886;
57.138462;0.558829;0.000843;
57.138851;0.558906;0.000895;
57.139225;0.559345;0.000909;
57.139500;0.559837;0.000881;
57.139889;0.560084;0.000945;
57.140263;0.560286;0.000964;
57.140675;0.560480;0.000966;
57.140980;0.560933;0.000978;
57.141354;0.561397;0.000974;
57.141773;0.561661;0.001002;
57.142094;0.562047;0.001099;
57.142475;0.562375;0.001023;
57.142803;0.562918;0.001011;
57.143246;0.563224;0.001069;
57.143589;0.563567;0.001119;
57.143925;0.564004;0.001051;
57.144306;0.564386;0.001108;
57.144650;0.564807;0.001150;
57.145054;0.565243;0.001092;
57.145412;0.566018;0.001132;
57.145756;0.566367;0.001069;
57.146145;0.567093;0.001224;
57.146511;0.567701;0.001107;
57.146854;0.568229;0.001178;
57.147243;0.568830;0.001254;
57.147556;0.569287;0.001207;
57.147938;0.570130;0.001290;
57.148342;0.570806;0.001227;
57.148655;0.571575;0.001257;
57.149036;0.572306;0.001243;
57.149410;0.573083;0.001305;
57.149769;0.573784;0.001361;
57.150143;0.574488;0.001369;
57.150486;0.575068;0.001414;
57.150860;0.575901;0.001363;
57.151218;0.576733;0.001396;
57.151592;0.577511;0.001363;
57.151981;0.578512;0.001400;
57.152325;0.579005;0.001370;
57.152683;0.579898;0.001551;
57.153034;0.581048;0.001468;
57.153461;0.581908;0.001514;
57.153774;0.582750;0.001473;
57.154224;0.583349;0.001583;
57.154499;0.584144;0.001557;
57.154835;0.585172;0.001441;
57.155209;0.586085;0.001509;
57.155590;0.586767;0.001588;
57.155949;0.587496;0.001525;
57.156345;0.588197;0.001646;
57.156666;0.588908;0.001644;
57.157001;0.589863;0.001719;
57.157413;0.590636;0.001626;
57.157726;0.591181;0.001718;
57.158123;0.592044;0.001661;
57.158497;0.592660;0.001746;
57.158901;0.593489;0.001689;
57.159283;0.594042;0.001859;
57.159588;0.594813;0.001771;
57.159939;0.595364;0.001835;
57.160328;0.595994;0.001827;
57.160694;0.596661;0.001817;
57.161053;0.597249;0.001882;
57.161381;0.597894;0.001936;
57.161808;0.598480;0.001919;
57.162144;0.598985;0.001908;
57.162510;0.599582;0.001950;
