"DateTime","RelativeTime (s)","Fine 1 (V)","Fine 2 (V)",
2021-07-16T13:04:42,0.000,0.326354,0.000178,
2021-07-16T13:04:43,1.006,0.441436,0.000504,
2021-07-16T13:04:44,2.001,0.441436,0.000504,
2021-07-16T13:04:45,3.000,0.306322,0.000152,
2021-07-16T13:04:46,4.006,0.306322,0.000152,
2021-07-16T13:04:47,4.997,0.441110,0.000152,
2021-07-16T13:04:48,6.000,0.441110,0.000512,
2021-07-16T13:04:49,7.008,0.441110,0.000526,
2021-07-16T13:04:50,7.998,0.431550,0.000526,
2021-07-16T13:04:51,9.006,0.306178,0.000505,
2021-07-16T13:04:52,10.007,0.306178,0.000505,
2021-07-16T13:04:53,10.997,0.306178,0.000505,
2021-07-16T13:04:54,12.000,0.314620,0.000514,
2021-07-16T13:04:55,13.000,0.314620,0.000514,
2021-07-16T13:04:56,13.995,0.325724,0.000514,
2021-07-16T13:04:57,15.001,0.325724,0.000514,
2021-07-16T13:04:58,15.997,0.353762,0.000055,
2021-07-16T13:04:59,17.005,0.353762,0.000055,
2021-07-16T13:05:00,18.008,0.412957,0.000113,
2021-07-16T13:05:01,19.001,0.412957,0.000113,
2021-07-16T13:05:02,20.007,0.301703,0.000008,
2021-07-16T13:05:03,20.997,0.301703,0.000008,
2021-07-16T13:05:04,22.001,0.301703,0.000495,
2021-07-16T13:05:05,23.000,0.308286,0.000495,
2021-07-16T13:05:06,23.997,0.308286,0.000524,
2021-07-16T13:05:07,25.001,0.311209,0.000524,
2021-07-16T13:05:08,26.001,0.311209,0.000518,
2021-07-16T13:05:09,26.999,0.264206,0.000518,
2021-07-16T13:05:10,28.005,0.264206,0.000489,
2021-07-16T13:05:11,28.995,0.295347,0.000489,
2021-07-16T13:05:12,29.996,0.295347,0.000489,
2021-07-16T13:05:13,31.001,0.340365,0.000508,
2021-07-16T13:05:14,32.004,0.340365,0.000508,
2021-07-16T13:05:15,32.995,0.287362,0.000527,
2021-07-16T13:05:16,34.000,0.287362,0.000527,
2021-07-16T13:05:17,35.005,0.350917,0.000520,
2021-07-16T13:05:18,35.999,0.350917,0.000520,
2021-07-16T13:05:19,37.002,0.290821,0.000493,
2021-07-16T13:05:20,37.997,0.290821,0.000493,
2021-07-16T13:05:21,39.003,0.354128,0.000509,
2021-07-16T13:05:22,40.000,0.354128,0.000509,
2021-07-16T13:05:23,41.001,0.354128,0.000509,
2021-07-16T13:05:24,42.000,0.349503,0.000509,
2021-07-16T13:05:25,43.001,0.349503,0.000435,
2021-07-16T13:05:26,44.009,0.438208,0.000435,
2021-07-16T13:05:27,44.996,0.438208,0.000293,
2021-07-16T13:05:28,46.000,0.323827,0.000293,
2021-07-16T13:05:29,46.999,0.323827,0.000532,
2021-07-16T13:05:30,48.005,0.340183,0.000532,
2021-07-16T13:05:31,49.000,0.340183,0.000203,
2021-07-16T13:05:32,50.003,0.331681,0.000203,
2021-07-16T13:05:33,51.003,0.331681,0.000521,
2021-07-16T13:05:34,52.001,0.273832,0.000521,
2021-07-16T13:05:35,53.000,0.273832,0.000511,
2021-07-16T13:05:36,54.000,0.455867,0.000511,
2021-07-16T13:05:37,54.996,0.455867,0.000511,
2021-07-16T13:05:38,56.009,0.335258,0.000524,
2021-07-16T13:05:39,56.997,0.335258,0.000524,
2021-07-16T13:05:40,58.006,0.353767,0.000507,
2021-07-16T13:05:41,58.995,0.353767,0.000507,
2021-07-16T13:05:42,59.996,0.449699,-0.000514,
2021-07-16T13:05:43,61.002,0.449699,-0.000514,
2021-07-16T13:05:44,61.998,0.405040,0.000484,
2021-07-16T13:05:45,63.001,0.405040,0.000484,
2021-07-16T13:05:46,63.996,0.446465,0.000427,
2021-07-16T13:05:47,65.006,0.446465,0.000427,
2021-07-16T13:05:48,65.996,0.444553,0.000516,
2021-07-16T13:05:49,67.006,0.444553,0.000516,
2021-07-16T13:05:50,67.999,0.449993,0.000539,
2021-07-16T13:05:51,69.002,0.449993,0.000539,
2021-07-16T13:05:52,70.007,0.427811,0.000484,
2021-07-16T13:05:53,71.008,0.427811,0.000484,
2021-07-16T13:05:54,72.012,0.335353,0.000519,
2021-07-16T13:05:55,73.013,0.335353,0.000519,
2021-07-16T13:05:56,74.019,0.352392,0.000459,
2021-07-16T13:05:57,75.013,0.352392,0.000459,
2021-07-16T13:05:58,76.016,0.342083,0.000523,
2021-07-16T13:05:59,77.011,0.342083,0.000523,
2021-07-16T13:06:00,78.017,0.339056,-0.001154,
2021-07-16T13:06:01,79.017,0.339056,-0.001154,
2021-07-16T13:06:02,80.015,0.454873,0.000521,
2021-07-16T13:06:03,81.017,0.454873,0.000521,
2021-07-16T13:06:04,82.019,0.327129,0.000521,
2021-07-16T13:06:05,83.011,0.327129,0.000502,
2021-07-16T13:06:06,84.013,0.401108,0.000529,
2021-07-16T13:06:07,85.014,0.401108,0.000529,
2021-07-16T13:06:08,86.019,0.352491,0.000529,
2021-07-16T13:06:09,87.012,0.352491,0.000235,
2021-07-16T13:06:10,88.018,0.367735,0.000235,
2021-07-16T13:06:11,89.016,0.367735,0.000520,
2021-07-16T13:06:12,90.020,0.356347,0.000520,
2021-07-16T13:06:13,91.011,0.356347,-0.001006,
2021-07-16T13:06:14,92.014,0.254868,-0.001006,
2021-07-16T13:06:15,93.025,0.254868,0.000484,
