"Piezo Voltage (V)";"Fine In 1 (V)";
64.655647;2.619952;
64.674332;2.624119;
64.693069;2.620074;
64.711784;2.616498;
64.730469;2.617020;
64.749199;2.616205;
64.767906;2.613121;
64.786591;2.613462;
64.805298;2.606121;
64.824028;2.600024;
64.842712;2.592245;
64.861427;2.593287;
64.880157;2.592734;
64.898857;2.593614;
64.917549;2.586977;
64.936256;2.584440;
64.954979;2.579172;
64.973671;2.575141;
64.992371;2.573004;
65.011101;2.574513;
65.029793;2.582429;
65.048500;2.583356;
65.067230;2.584810;
65.085930;2.581087;
65.104622;2.583747;
65.123352;2.588562;
65.142059;2.589944;
65.160744;2.591029;
65.179459;2.587850;
65.198166;2.589569;
65.216866;2.587263;
65.235580;2.591109;
65.254303;2.590141;
65.273003;2.593157;
65.291702;2.589525;
65.310425;2.591458;
65.329132;2.589417;
65.347824;2.589789;
65.366547;2.591142;
65.385262;2.593261;
65.403931;2.591594;
65.422653;2.590919;
65.441383;2.590348;
65.460068;2.591399;
65.478775;2.591491;
65.497505;2.591995;
65.516205;2.590286;
65.534897;2.590611;
65.553627;2.586544;
65.572334;2.586806;
65.591026;2.594899;
65.609734;2.602645;
65.628456;2.603745;
65.647148;2.603219;
65.665840;2.602790;
65.684578;2.604470;
65.703278;2.608928;
65.721962;2.611480;
65.740700;2.609347;
65.759415;2.607046;
65.778099;2.605948;
65.796806;2.609217;
65.815536;2.612448;
65.834221;2.613424;
65.852928;2.611339;
65.871658;2.609474;
65.890350;2.608363;
65.909058;2.610354;
65.927765;2.614067;
65.946487;2.614573;
65.965179;2.611444;
65.983887;2.608077;
66.002609;2.607579;
66.021301;2.610823;
66.040001;2.612635;
66.058731;2.610964;
66.077423;2.607106;
66.096130;2.604505;
66.114861;2.605247;
66.133568;2.607811;
66.152252;2.608677;
66.170982;2.607065;
66.189674;2.604403;
66.208374;2.602582;
66.227089;2.603490;
66.245796;2.606768;
66.264496;2.608337;
66.283211;2.606511;
66.301933;2.603087;
66.320633;2.600961;
66.339333;2.603118;
66.358055;2.606081;
66.376762;2.605978;
66.395454;2.602287;
66.414169;2.598456;
66.432892;2.598078;
66.451561;2.600821;
66.470284;2.602470;
66.489014;2.600927;
66.507706;2.597681;
66.526405;2.595155;
66.545135;2.595744;
66.563835;2.597960;
66.582527;2.599716;
66.601257;2.598919;
66.619965;2.596020;
66.638657;2.593648;
66.657349;2.594503;
66.676086;2.597938;
66.694778;2.599315;
66.713470;2.596617;
66.732208;2.592432;
66.750923;2.590383;
66.769600;2.593024;
66.788330;2.595611;
66.807045;2.594412;
66.825729;2.590777;
66.844437;2.587472;
66.863167;2.587395;
66.881851;2.590029;
66.900558;2.591005;
66.919273;2.589711;
66.937981;2.586908;
66.956688;2.584757;
66.975395;2.585296;
66.994118;2.588608;
67.012810;2.590233;
67.031517;2.588643;
67.050240;2.584777;
67.068932;2.582559;
67.087631;2.584608;
67.106361;2.587587;
67.125053;2.587418;
67.143761;2.583672;
67.162491;2.579478;
67.181183;2.579014;
67.199883;2.581853;
67.218613;2.583050;
67.237305;2.581244;
67.256004;2.577648;
67.274719;2.575136;
67.293434;2.575958;
67.312126;2.578900;
67.330841;2.580382;
67.349564;2.578810;
67.368271;2.575490;
67.386963;2.573236;
67.405685;2.575526;
67.424393;2.578955;
67.443069;2.579105;
67.461792;2.575453;
67.480522;2.571051;
67.499191;2.570912;
67.517914;2.574331;
67.536644;2.575590;
67.555336;2.572986;
67.574036;2.568844;
67.592766;2.566463;
67.611465;2.568031;
67.630157;2.570584;
67.648880;2.571078;
67.667595;2.568778;
67.686287;2.565680;
67.704979;2.564501;
67.723717;2.567232;
67.742409;2.570171;
67.761101;2.570143;
67.779839;2.566677;
67.798553;2.562757;
67.817230;2.563643;
67.835960;2.567345;
67.854675;2.568069;
67.873360;2.564780;
67.892067;2.559848;
67.910782;2.558712;
67.929482;2.561431;
67.948189;2.563729;
67.966904;2.562268;
67.985626;2.558611;
68.004318;2.555899;
68.023026;2.556504;
68.041748;2.559688;
68.060440;2.561355;
68.079140;2.559973;
68.097870;2.556058;
68.116562;2.553770;
68.135262;2.556249;
68.153992;2.559477;
68.172684;2.558978;
68.191391;2.554380;
68.210121;2.550114;
68.228813;2.550385;
68.247513;2.553722;
68.266235;2.554136;
68.284935;2.550724;
68.303635;2.546351;
68.322350;2.545084;
68.341064;2.547063;
68.359756;2.549177;
68.378471;2.548474;
68.397194;2.545479;
68.415901;2.541758;
68.434578;2.541469;
68.453316;2.544459;
68.472023;2.546039;
68.490700;2.543367;
68.509430;2.537964;
68.528152;2.535102;
68.546822;2.537139;
68.565544;2.539024;
68.584274;2.536520;
68.602974;2.531027;
68.621666;2.526659;
68.640396;2.526707;
68.659096;2.528387;
68.677788;2.527203;
68.696480;2.523038;
68.715225;2.517933;
68.733917;2.515296;
68.752609;2.516204;
68.771347;2.516997;
68.790039;2.514531;
68.808739;2.508546;
68.827469;2.502727;
68.846184;2.501512;
68.864861;2.502523;
68.883583;2.500203;
68.902283;2.493078;
68.920990;2.485023;
68.939697;2.481495;
68.958412;2.481084;
68.977112;2.478415;
68.995819;2.471695;
69.014534;2.463338;
69.033257;2.456916;
69.051949;2.454322;
69.070663;2.451570;
69.089378;2.446476;
69.108070;2.437615;
69.126770;2.428194;
69.145500;2.421904;
69.164177;2.418792;
69.182892;2.413893;
69.201622;2.404671;
69.220314;2.392868;
69.239021;2.383709;
69.257751;2.378790;
69.276443;2.372982;
69.295143;2.363122;
69.313850;2.350982;
69.332573;2.340903;
69.351265;2.335603;
69.369980;2.332180;
69.388695;2.327030;
69.407387;2.320594;
69.426079;2.315692;
69.444824;2.315432;
69.463531;2.321340;
69.482208;2.333050;
69.500946;2.350990;
69.519653;2.382033;
69.538330;2.406665;
69.557053;2.370658;
69.575783;2.339622;
69.594460;2.322437;
69.613174;2.314381;
69.631905;2.318159;
69.650604;2.338418;
69.669296;2.374990;
69.688011;2.414634;
69.706726;2.397847;
69.725418;2.338146;
69.744110;2.283326;
69.762856;2.239235;
69.781548;2.203084;
69.800240;2.171180;
69.818977;2.142580;
69.837677;2.118912;
69.856369;2.102721;
69.875099;2.092633;
69.893814;2.084218;
69.912491;2.076314;
69.931206;2.073877;
69.949913;2.086553;
69.968620;2.104998;
69.987328;2.083879;
70.006042;2.063995;
70.024742;2.051593;
70.043449;2.046122;
70.062164;2.046899;
70.080887;2.048977;
70.099579;2.050503;
