"Piezo Voltage (V)";"Fine In 1 (V)";"Fine In 2 (V)";
66.319542;0.388616;0.000464;
66.365540;0.385128;0.000491;
66.411476;0.385320;0.000484;
66.457466;0.388006;0.000486;
66.503464;0.388737;0.000505;
66.549400;0.386538;0.000456;
66.595398;0.384625;0.000308;
66.641380;0.388673;-0.009727;
66.687317;0.386138;-0.003607;
66.733315;0.382576;-0.003556;
66.779251;0.386602;-0.002776;
66.825241;0.383819;-0.001978;
66.871239;0.382327;-0.001031;
66.917175;0.386398;-0.000694;
66.963158;0.384325;-0.000369;
67.009155;0.384279;-0.000101;
67.055092;0.387958;-0.000050;
67.101082;0.382942;0.000055;
67.147079;0.385159;0.000097;
67.193016;0.384733;0.000202;
67.238998;0.380474;0.000264;
67.284996;0.385111;0.000327;
67.330933;0.382138;0.000359;
67.376930;0.382952;0.000456;
67.422867;0.386058;0.000460;
67.468857;0.381609;0.000485;
67.514854;0.385559;0.000466;
67.560791;0.382338;0.000458;
67.606773;0.381284;0.000472;
67.652771;0.383476;0.000481;
67.698708;0.379149;0.000499;
67.744698;0.383802;0.000521;
67.790695;0.382217;0.000510;
67.836632;0.381873;0.000493;
67.882614;0.384936;0.000515;
67.928612;0.379179;0.000522;
67.974548;0.383624;0.000515;
68.020546;0.379078;0.000513;
68.066483;0.380344;0.000489;
68.112473;0.381499;0.000509;
68.158470;0.378742;0.000512;
68.204407;0.383752;0.000507;
68.250389;0.379558;0.000513;
68.296387;0.381840;0.000511;
68.342323;0.380864;0.000515;
68.388313;0.377630;0.000489;
68.434311;0.381292;0.000521;
68.480247;0.376764;0.000534;
68.526230;0.381392;0.000509;
68.572227;0.379572;0.000489;
68.618164;0.379657;0.000526;
68.664162;0.382026;0.000520;
68.710098;0.376616;0.000507;
68.756088;0.381176;0.000490;
68.802086;0.375646;0.000497;
68.848022;0.379419;0.000486;
68.894005;0.378437;0.000493;
68.940002;0.377809;0.000509;
68.985939;0.381503;0.000507;
69.031929;0.376509;0.000505;
69.077927;0.381106;0.000522;
69.123863;0.375731;0.000511;
69.169846;0.378125;0.000486;
69.215843;0.376923;0.000505;
69.261780;0.376163;0.000504;
69.307770;0.379995;0.000515;
69.353714;0.376014;0.000500;
69.399704;0.380663;0.000499;
