"Piezo Voltage (V)","Fine In 1 (V)","Fine In 2 (V)",
78.945778,0.361799,0.000513,
78.962273,0.361476,0.000481,
78.978783,0.361973,0.000512,
78.995277,0.363241,0.000513,
79.011780,0.364131,0.000519,
79.028267,0.364042,0.000496,
79.044769,0.364339,0.000422,
79.061264,0.363633,-0.000705,
79.077751,0.362447,-0.001193,
79.094254,0.361728,-0.000649,
79.110748,0.361381,-0.000408,
79.127243,0.362883,-0.000642,
79.143730,0.363807,-0.000303,
79.160217,0.364593,-0.000339,
79.176704,0.365162,-0.000282,
79.193207,0.364072,-0.000097,
79.209702,0.363544,-0.000107,
79.226196,0.363010,0.000033,
79.242691,0.363394,0.000121,
79.259178,0.364870,0.000189,
79.275688,0.366091,0.000169,
79.292191,0.366987,0.000189,
79.308685,0.366259,0.000305,
79.325188,0.365569,0.000347,
79.341682,0.364226,0.000326,
79.358170,0.364769,0.000326,
79.374672,0.365890,0.000302,
79.391167,0.367445,0.000329,
79.407661,0.367840,0.000381,
79.424156,0.366775,0.000406,
79.440643,0.365150,0.000424,
79.457138,0.364569,0.000422,
79.473625,0.364732,0.000405,
79.490112,0.365769,0.000395,
79.506615,0.366308,0.000386,
79.523109,0.366498,0.000416,
79.539597,0.365747,0.000424,
79.556099,0.364782,0.000467,
79.572594,0.363984,0.000476,
79.589088,0.364483,0.000431,
79.605591,0.365733,0.000424,
79.622101,0.366799,0.000428,
79.638588,0.367205,0.000439,
79.655090,0.366304,0.000459,
79.671577,0.365824,0.000453,
79.688080,0.365331,0.000449,
79.704575,0.365918,0.000502,
79.721062,0.367340,0.000490,
79.737564,0.368549,0.000481,
79.754059,0.368729,0.000494,
79.770538,0.367651,0.000483,
79.787033,0.365833,0.000479,
79.803528,0.365781,0.000501,
79.820015,0.366443,0.000513,
79.836517,0.367552,0.000512,
79.853012,0.367590,0.000523,
79.869507,0.367230,0.000521,
79.886002,0.365793,0.000515,
79.902489,0.364922,0.000527,
79.919006,0.364859,0.000513,
79.935509,0.365519,0.000523,
79.951996,0.366232,0.000495,
79.968498,0.366503,0.000481,
79.984993,0.366317,0.000523,
80.001480,0.364921,0.000482,
80.017982,0.364062,0.000511,
80.034477,0.364444,0.000500,
80.050972,0.365493,0.000491,
80.067467,0.366863,0.000480,
80.083954,0.366636,0.000464,
80.100433,0.365209,0.000336,
80.116936,0.364059,-0.001806,
80.133423,0.364062,-0.005944,
80.149925,0.364748,-0.003844,
80.166420,0.366154,-0.002554,
80.182907,0.366237,-0.002302,
80.199409,0.364993,-0.002115,
80.215919,0.363303,-0.001310,
80.232414,0.361830,-0.001430,
80.248917,0.362451,-0.001047,
80.265419,0.362795,-0.000938,
80.281898,0.363327,-0.000674,
80.298401,0.362772,-0.000453,
80.314911,0.361306,-0.000304,
80.331390,0.359607,-0.000166,
80.347885,0.359016,-0.000150,
80.364372,0.359449,-0.000097,
80.380875,0.360462,-0.000010,
80.397362,0.360594,0.000059,
80.413841,0.359169,0.000190,
80.430344,0.357865,0.000224,
80.446846,0.356395,0.000216,
80.463326,0.357117,0.000241,
80.479828,0.358049,0.000241,
80.496338,0.358286,0.000281,
80.512817,0.357272,0.000273,
80.529312,0.355473,0.000312,
80.545822,0.353718,0.000305,
80.562317,0.353664,0.000343,
80.578827,0.353586,0.000374,
80.595306,0.354210,0.000365,
80.611809,0.353231,0.000422,
80.628311,0.351648,0.000420,
80.644791,0.349165,0.000408,
80.661293,0.348559,0.000435,
80.677803,0.348235,0.000451,
80.694283,0.348166,0.000443,
80.710762,0.348033,0.000450,
80.727264,0.347865,0.000456,
80.743744,0.345940,0.000494,
80.760254,0.344669,0.000496,
80.776733,0.344169,0.000521,
80.793236,0.345176,0.000507,
80.809738,0.345173,0.000501,
80.826218,0.346018,0.000506,
80.842735,0.345277,0.000520,
80.859245,0.345018,0.000478,
80.875725,0.345652,0.000521,
80.892227,0.346958,0.000469,
80.908730,0.344974,0.000514,
80.925209,0.344321,0.000494,
80.941719,0.341957,0.000512,
80.958221,0.340357,0.000503,
80.974701,0.338884,0.000513,
80.991203,0.339000,0.000495,
81.007683,0.339468,0.000512,
81.024162,0.341479,0.000477,
81.040672,0.343479,0.000520,
81.057152,0.343253,0.000506,
81.073654,0.338408,0.000513,
81.090157,0.334138,0.000539,
81.106636,0.331887,0.000504,
81.123146,0.331017,0.000497,
81.139648,0.329662,0.000514,
81.156143,0.327903,0.000522,
81.172653,0.325464,0.000511,
81.189148,0.323129,0.000510,
81.205627,0.323426,0.000507,
81.222137,0.323235,0.000521,
81.238617,0.323196,0.000492,
81.255127,0.322800,0.000500,
81.271622,0.319427,0.000515,
81.288101,0.319532,0.000533,
81.304611,0.318627,0.000523,
81.321091,0.319398,0.000536,
81.337570,0.320753,0.000529,
81.354080,0.320218,0.000514,
81.370575,0.318099,0.000504,
81.387054,0.315574,0.000526,
81.403564,0.315167,0.000517,
81.420044,0.315257,0.000510,
81.436554,0.315926,0.000495,
81.453049,0.315898,0.000516,
81.469551,0.316006,0.000516,
81.486061,0.314701,0.000506,
81.502556,0.314461,0.000519,
81.519035,0.314417,0.000543,
81.535545,0.316529,0.000529,
