"Piezo Voltage (V)";"Fine In 1 (V)";"Fine In 2 (V)";
63.113628;0.403306;0.000498;
63.171284;0.404440;0.000500;
63.228931;0.404476;0.000527;
63.286533;0.403904;0.000519;
63.344181;0.401350;0.000496;
63.401829;0.401699;0.000487;
63.459423;0.406144;0.000506;
63.517071;0.401499;0.000510;
63.574665;0.403945;0.000515;
63.632313;0.403384;0.000521;
63.689968;0.399009;0.000483;
63.747555;0.402436;0.000416;
63.805210;0.398056;-0.010347;
63.862858;0.402932;-0.004328;
63.920460;0.399954;-0.003039;
63.978107;0.403382;-0.001810;
64.035759;0.400758;-0.000774;
64.093353;0.400499;-0.000507;
64.151001;0.398490;-0.000134;
64.208656;0.398230;-0.000074;
64.266243;0.400153;0.000083;
64.323898;0.399043;0.000172;
64.381485;0.401673;0.000255;
64.439140;0.397955;0.000361;
64.496788;0.400205;0.000413;
64.554390;0.396245;0.000501;
64.612038;0.398495;0.000476;
64.669685;0.396111;0.000479;
64.727280;0.399895;0.000496;
64.784927;0.396903;0.000494;
64.842583;0.399846;0.000503;
64.900169;0.395868;0.000488;
64.957825;0.396726;0.000499;
65.015472;0.395219;0.000528;
65.073067;0.397255;0.000536;
65.130722;0.397061;0.000518;
65.188316;0.397810;0.000519;
65.245964;0.396865;0.000503;
65.303612;0.394737;0.000496;
65.361206;0.396067;0.000515;
65.418854;0.393811;0.000519;
65.476509;0.397191;0.000515;
65.534096;0.394799;0.000543;
65.591751;0.398721;0.000504;
65.649399;0.392825;0.000506;
65.706993;0.396950;0.000516;
65.764648;0.391177;0.000487;
65.822296;0.396911;0.000504;
65.879890;0.392778;0.000523;
65.937538;0.398472;0.000513;
65.995132;0.392794;0.000505;
66.052780;0.395907;0.000516;
66.110435;0.392149;0.000513;
66.168022;0.394052;0.000511;
66.225677;0.394002;0.000529;
66.283325;0.394938;0.000531;
66.340927;0.395992;0.000515;
66.398575;0.392123;0.000528;
66.456223;0.395117;0.000524;
66.513817;0.389971;0.000524;
66.571465;0.395701;0.000512;
66.629120;0.391409;0.000525;
